1d100	活动-火魔螈
1	勉强适应稍微凉爽的气候 Adapting begrudgingly to slightly cooler climes
2	以炽热阵型推进，构成一堵邪恶长矛之墙 Advancing in a fiery formation, a wall of wicked Spears
3	抓捕一名手持圣火火炬的侍僧 Apprehending an Acolyte, bearing a sacred Torch
4	用尾巴保持平衡，在狭窄的岩壁上穿行 Balancing with their tails as they navigate a narrow ledge
5	正在烧烤滋滋作响的蚓螈段作为晚餐 Barbecuing sizzling Caecilia segments for supper
6	在流动岩浆裂隙的辐射热中取暖 Basking in the radiant heat from a fissure of flowing magma
7	用炽热的烙铁为他们的巨型蜥蜴坐骑打上烙印 Branding their Giant Lizard mounts with white-hot Irons
8	捕捉巨型洞穴螯虾，准备一锅美味炖煮 Capturing Giant Cave Crawfish for a well-seasoned Boil
9	将一头烧焦的牛尸搬回储藏室以备后用 Carrying the charred carcass of a Cow to their larder for later
10	在熊熊篝火旁嬉戏，煽动火焰 Cavorting around a raging Campfire, stoking the flames
11	在陡峭的悬崖边奋力攀爬 Clawing their way up a steep cliffside
12	通过旋转的传送门与他们的家园位面沟通 Communing with their home plane through a swirling Gate
13	因寒冷环境而行动迟缓，节省体力 Conserving their energy, sluggish due to chilly conditions
14	随着争论升温，发出噼啪和嘶嘶声 Crackling and sputtering as an argument heats up
15	四肢着地爬行，穿越出奇狭窄的裂缝 Creeping on all fours through surprisingly narrow crevasses
16	为当地社区提供火化死者服务 Cremating the dead, as a service to a local community
17	用一条凹凸不平的链条吊着一只不快的腐尸爬行者 Dangling an unhappy Carcass Crawler on a lumpy Chain
18	用精细且艺术的灰烬涂抹装饰墙壁 Decorating walls with intricate and artful smears of Ash
19	将尾尖浸入水池，使水沸腾 Dipping tips of their tails in a pool of water, making it boil
20	搬动一块大石头，隐藏一条通道 Dislodging a large boulder, concealing a passage
21	兴致勃勃地一壶接一壶喝着刺鼻的灯油 Drinking jug after jug of acrid Lamp Oil with gusto
22	驱赶一群嚎叫的岩狒狒 Driving away a howling pack of Rock Baboons
23	轻松根除顽固的黄色霉菌感染 Easily eradicating a persistent Yellow Mould infestation
24	从异常美丽的烘烤泥茧中破壳而出 Emerging from strangely beautiful baked Mud Cocoons
25	路过时点燃一堆卷轴 Enkindling a stack of Scrolls, just by strolling by
26	煽动摇曳的火焰，蜷缩在热源旁取暖 Fanning a flickering fire, huddled close to the heat
27	正在享用一条富含松脆煤层的盛宴 Feasting on a rich seam of crunchy Coal
28	在大铁锅中酿造重香料炖菜 Fermenting heavily spiced Stews in huge cast iron cauldrons
29	对凉爽清新的微风愤怒地翕动狭窄的鼻孔 Flaring narrow nostrils angrily at a cool, refreshing breeze
30	在地狱犬与恐狼的搏斗中赌博 Gambling on a Hellhound/Dire Wolf fight
31	用长金属签轻轻烤炙大型幼虫 Gently charring large Grubs on long metal skewers
32	透过皮肤上干燥的裂痕发出暗淡的光芒 Glowing dully through jagged, dry cracks in their skin
33	闲聊即将到访的火巨灵 Gossiping about the upcoming visit from an Efreeti
34	以其存在逐渐加热整个洞穴群 Gradually warming an entire Cave Complex with their presence
35	在领地内捕获的矮人正在被烧烤 Grilling a captive Dwarf, apprehended in their territory
36	一边跟随火巨人的足迹，一边抱怨着 Grumbling as they follow a Fire Giant's tracks
37	礼貌地与保持距离的苦行僧们讨价还价 Haggling politely with Dervishes who keep their distance
38	以音乐般的节奏锤打熔融金属 Hammering molten metal with a musical rhythm
39	骚扰巨型蜘蛛群落，通过点燃蛛网 Harassing a Giant Spider colony, by setting Webs alight
40	从故障的魔法物品中汲取热量 Harnessing heat from a malfunctioning Magic Item
41	从逃亡的半人马部落中劫持铁砧 Hijacking an Anvil from a fleeing Centaur Clan
42	思乡心切，寻找强大巫师送其归家 Homesick and seeking a powerful Wizard to send them back
43	欢快地嚎叫，看着一只轻微烧焦的熊地精逃跑 Howling with glee as a slightly singed Bugbear runs away
44	点燃一堆巨大的木材和马车零件 Igniting a massive pile of wood and Wagon Parts
45	焚烧队伍中发现的一个变形怪 Incinerating a Doppelgänger, discovered among their ranks
46	在熔岩池中孵化着凝胶状、颤动的卵 Incubating gelatinous, twitching Eggs in a pool of Lava
47	正享用炖煮的巨型雪貂 Indulging in fricasseed Giant Ferret
48	居住在一条已死红龙被洗劫的巢穴中 Inhabiting the plundered den of a dead Red Dragon
49	伤害一群畏缩恐惧的巨魔 Injuring a pack of wincing and fearful Trolls
50	正在检阅一群忠心耿耿的狗头人仆从 Inspecting a group of fiercely loyal Kobold lackeys
51	打断召唤水元素的仪式 Interrupting a Summoning Ritual for a Water Elemental
