1d50	活动-熊类
1	谨慎地嗅探着诱饵陷阱上的死物 Cautiously sniffing a baited deadfall
2	正在迅速解决一群哥布林 Making short work of a group of Goblins
3	正在追逐一个金发小孩 Chasing after a blonde child
4	刚从冬眠中醒来，饥饿难耐 Recently wakeful after hibernation and hungry
5	本地狼人熊的同伴，正在巡逻 Companion of a local Were-bear, patrolling
6	闷闷不乐地寻找一位游侠同伴 Searching sullenly for a Ranger companion
7	正在享用一头死去的麋鹿或驯鹿，周围有狼群环伺 Eating a dead Elk/Reindeer while Wolves circle
8	轻声细语，由当地德鲁伊赋予的言语能力 Soft-spoken, gifted speech by a local Druid
9	被某种气味吸引，鼻子贴地嗅探 Intrigued by a scent, nose to the ground
10	正试图从肩膀上拔出一支箭 Trying to dislodge an arrow from their shoulder
11	哄诱幼崽从歌者树上下来 Coaxing cubs to come down from a Shipsinger Tree
12	正在调查一个悬挂着鹿的陷阱 Investigating a suspended snare containing a Deer
13	正在摧毁一株暗莓灌木，浑身沾满了小刺球 Decimating a Darkberry bush, covered in tiny burrs
14	大声咀嚼着掉落的窖藏坚果 Munching loudly on fallen Cellarnuts
15	马戏团逃逸的表演者，只想要一个拥抱 Escaped circus performer, just wants a hug
16	爬上一棵高树，用爪子拍打嗡嗡作响的蜂巢 Scaling a tall tree to paw at a buzzing beehive
17	用爪子刮树皮以标记领地边界 Gouging tree bark to mark a boundary
18	在粗糙的岩石上来回蹭痒 Shimmying back-and-forth on a rough rock to scratch
19	已习惯当地半身人群体，态度友好 Habituated to the local Halfling population, friendly
20	拍打地面以吓唬一只豪猪 Slapping the ground to frighten a Porcupine
21	正在啃食富含骨髓的乳齿象骨头 Crunching marrow-rich Mastodon bones
22	对着一只雄性对手咆哮，露出带血的牙齿 Roaring at a rival male, teeth bared and bloody
23	保护一顿巨型树懒大餐免受饥饿乌鸦的侵扰 Defending a Giant Sloth meal from hungry Ravens
24	将巨石滚下山坡 Rolling large boulders down a slope
25	拖拽着一具尼安德特人的尸体 Dragging a dead Neanderthal
26	正在寻找新巢穴，因被巨龙驱逐而流离失所 Searching for a new den, after being displaced by a Dragon
27	与剑齿虎陷入激烈战斗 Locked in combat with a Sabre Tooth Cat
28	挥击驱赶一群饥饿的狼群 Slapping away a pack of hungry Wolves
29	被石尖长矛刺得像针垫一样 Pin-cushioned with stone-tipped spears
30	大声喷鼻，追踪血迹斑斑的足迹 Snorting loudly over bloodstained tracks
31	彻底捣毁一处井然有序的营地 Absolutely wrecking an orderly campsite
32	从狂战士那里收到编织的浆果篮子 Receiving woven baskets of berries from Berserkers
33	弯下魔鬼梨树的枝条 Bending down branches of Devil Pear trees
34	撕开腐烂的木头，以获取美味的恐虫 Ripping open a rotten log to reach tasty Dire Grubs
35	正大快朵颐地吞食一只山羊，而一只狐狸在一旁专注地观望 Devouring a Mountain Goat as a Fox watches intently
36	从溪流中抢夺鲑鱼 Snatching Salmon from a stream
37	狂怒至极，被钢颚陷阱困住 Foaming mad, caught in a steel-jawed trap
38	这只食人熊已对人类血肉产生了偏好 This man-eater has developed a taste for Manflesh
39	大声喘息，与矮人陷入对峙 Huffing loudly in a standoff with Dwarfs
40	两只好奇的幼崽，愤怒的保护性母亲在附近 Two curious cubs, angry protective mother nearby
41	追逐一只被困在冰中的海象 Bounding after an ice-bound Walrus
42	孤立在浮冰上，因长途游泳而休息 Isolated on an ice float, resting from a long swim
43	咀嚼着腐臭的肉块，一头搁浅的独角鲸 Chewing chunks of rancid flesh, a beached Narwhal
44	正在巡逻，寻找霜巨人看守者 On patrol for Frost Giant keepers
45	用爪子刨开冰层最薄的部分 Clawing a hole into the thinnest part of the ice
46	拉着雪橇，上面载着好战的霜精灵 Pulling a sledge, loaded with the warlike Rime Elfs
47	正在咬碎一只巨型螃蟹的外壳 Crunching through the shell of a Giant Crab
48	用血迹斑斑的鼻子撕扯一只海豹 Ravaging a seal with a blood-stained snout
49	正拖着一条大鱼去给刚断奶的幼崽 Dragging a large Fish to just weaned cubs
50	在雪坡上滑行取乐 Sliding down snowy slopes for amusement
