d100	活动-狂信僧
1	由一位强大的魔法使用者及其傀儡伴随 Accompanied by a powerful Magic-User and her Golems
2	与一位当地狼人皈依者结盟，共同信仰其宗教 Allied with a local Werebear convert to their faith
3	按照特殊规定为新任指挥官举行涂油仪式 Anointing a new commander according to special strictures
4	正在用香气四溢的香料涂抹串在烤叉上的山羊 Basting a spit-skewered Goat with delicious smelling spices
5	拍打地毯，扬起五彩斑斓的尘埃云 Beating clouds of colorful dust out of rugs
6	正被一只凶猛的狮鹫兽跟踪 Being stalked by a ferocious Manticore
7	弯曲他们的反曲弓，准备卸下弓弦 Bending their recurve bowstaves to unstring them
8	被贪婪的食尸鬼围攻，战况不利 Beset by ravenous Ghouls, losing the battle
9	燃烧一种刺鼻的香，使他们能够免于进食 Burning a pungent incense that allows them to forego food
10	打磨奇异的头盔和护手 Burnishing exotic helms and gauntlets
11	仔细地打包神圣的卷轴筒 Carefully packing sacred scroll tubes
12	在击溃一支大地精军队后举行庆祝活动 Celebrating after routing a Hobgoblin army
13	愉快地以丰盛的宴席结束斋戒 Cheerfully breaking a fast with a sumptuous feast
14	清理一片区域以便夜间扎营 Clearing an area in order to bivouac for the night
15	正在考虑为俘虏的领袖提出赎金要求 Considering a ransom offer for a captured Leader
16	说服一位风暴巨人加入他们的圣战 Convincing a Storm Giant to help their crusade
17	惊讶地发现其中竟有大量狂热的豺狼人 Count a surprising number of zealous Gnolls among them
18	正在遮盖盾牌上的神圣符号 Covering the sacred symbols on their shields
19	保护妇女和儿童免受骷髅士兵的伤害 Defending women and children from Skeletal soldiers
20	正用串肉扦刺着肉块享用美食 Dining on morsels of meat, impaled en brochette
21	讨论殉道的价值 Discussing the merits of martyrdom
22	下马以穿越险峻的岩石坡地 Dismounting to negotiate a treacherous rocky slope
23	身着麻风病人般的装束，从头到脚裹着布条 Dressed like lepers, covered head to toe in cloth
24	正在饮用由浆果果肉研磨而成的芳香黑茶 Drinking a fragrant black tea from ground up berry piths
25	正在搭建一座装饰华丽但临时的神龛 Erecting a heavily decorated, but temporary shrine
26	护送侏儒商人进行一项利润丰厚的交易 Escorting Gnome merchants in a lucrative arrangement
27	向同信仰的牧师传教 Evangelizing to a Cleric of a similar faith
28	因对抗强盗的战役而精疲力竭 Exhausted from a campaign against Brigands
29	揭露附近城市中一个混沌邪教的影响力 Exposing a Chaotic Cult's influence in a nearby city
30	面庞被精美的金属面具所遮掩 Faces concealed by beautiful metal masks
31	用玫瑰香氛水细致地清洗双手 Fastidiously washing their hands in rose-scented waters
32	今日斋戒，却意外地易怒 Fasting today and surprisingly irritable
33	执行一位不寻常领袖的命令：一位牛头人圣武士 Follow the orders of an unusual Leader: a Minotaur Paladin
34	给被捕获的中型生物塞口以防止其施法 Gagging a captured Medium to prevent spellcasting
35	引导坐骑穿越浅滩 Guiding their mounts across a shallow ford
36	向饥饿的村民分发面包 Handing out loaves of bread to starving villagers
37	被变形怪渗透，使其倾向混沌 Infiltrated by a Doppelganger, shifting them towards Chaos
38	在矮人国王的秘密祝福下发动入侵 Invading with the secret blessing of a Dwarf King
39	监视投降的强盗俘虏 Keeping tabs on surrendered Bandit prisoners
40	远近闻名，擅长鉴定马匹品质 Known far and wide as excellent judges of horseflesh
41	满载着他们征战途中掠夺的珍贵战利品 Laden with valuable plunder from their campaigns
42	带领一群被束缚的狂战士 Leading a group of fettered Berserkers
43	由一位出奇虔诚、伪装成黄金龙的领袖带领 Led by a surprisingly devout, disguised Gold Dragon
44	将一座极其沉重且镀金的圣坛抬上马车 Lifting an incredibly heavy and gilt sacred altar onto a wagon
45	全神贯注地聆听一位牧师的布道 Listening intently to a sermon from a Cleric
46	将战利品装入鞍囊 Loading plunder into saddlebags
47	高声吟唱着旋律优美的守序颂词 Loudly chanting melodious litanies in Lawful
48	挤取来自异域的奇特牲畜的奶 Milking strange livestock from foreign lands
49	需要更多坐骑，会征用他们看到的任何马匹 Need additional mounts, will commandeer any they see
50	为华丽的皮甲上油保养 Oiling ornate leather armor
51	正在进行神圣朝圣，不容任何延误 On a Holy Pilgrimage, will broker no delays
52	无与伦比的骑手，在坐骑下发射弓箭 Peerless riders, fire bows from beneath their steeds
53	为厚重的衬垫棉甲喷洒香水 Perfuming thick padded gambesons
54	在沙桶中滚动链甲以打磨其表面 Polishing chain mail by rolling it in a barrel of sand
55	将粘稠、嵌有杏仁的面团捶打成薄片 Pounding sticky, almond-studded dough into flat sheets
56	虔诚地俯伏祈祷 Praying prostrate with fervent devotion
57	正在一丝不苟地为领袖的到访做准备 Preparing fastidiously for a visit from their Leader
58	将一名亵渎神灵的侍僧处以剑刑 Putting a blaspheming Acolyte to the sword
59	通过强大的祈祷将倒下的盟友从死亡中复活 Raising a fallen Ally from the dead with powerful prayers
60	队伍因瓷质活体雕像而士气大振 Ranks bolstered by Porcelain Living Statues
61	接受圣水的神圣祝福 Receiving a holy blessing of sacred waters
62	最近遭遇幽魂的经历动摇了他们的信仰 Recent encounter with a Wraith has shaken their faith
63	依赖从动物交谈中获取的情报 Rely on intelligence gleaned from Animal Speech
64	骑着脾气暴躁但速度迅捷的骆驼 Riding cantankerous but quick Camels
65	守护着六位天赋异禀的女预言家组成的姐妹会 Safeguarding a Sisterhood of six gifted Seers
66	寻找被盗的圣物 Searching for a stolen sacred Relic
