d100	活动-狂战士
1	完全默契地行动，无需言语交流 Act completely in concert without speaking
2	所有人脸上都带有相同的蝙蝠形疤痕 All bearing the same Bat-shaped scars on their faces
3	为解读一张藏宝图而争吵 Arguing over interpreting a Treasure Map
4	以创纪录的速度搭建牛皮毡房 Assembling cowhide yurts in record time
5	一见到精灵就攻击：他们与一位邪恶神祇相似 Attack Elfs on sight: They resemble an Evil Deity
6	身披公牛图案与装饰 Bedecked in Bull imagery/decorations
7	在战斗前编织美丽的长发 Braiding long, beautiful hair prior to battle
8	在年轻学徒的肋骨上烙印 Branding a young initiate on the ribs
9	折断一支被击败的精灵巡逻队的弓箭 Breaking the bows of a defeated Elf patrol
10	从兽人强盗手中购买偷来的谷物 Buying pilfered grain from Orc Brigands
11	抱着一捆捆柴火准备搭建火葬堆 Carrying armfuls of firewood to build a pyre
12	雕刻各种尺寸的诡异猫头鹰图腾 Carving eerie Owl Totems of all sizes
13	庆祝成功焚毁了一座修道院 Celebrating a successful razing of a monastery
14	用亡者之语吟唱圣歌 Chanting hymns in the language of the Dead
15	身披剑齿虎皮斗篷 Cloaked in Sabre-Tooth Tiger pelts
16	凝视云端并解读吉兆 Cloud-gazing and interpreting auspicious signs
17	说服一位吟游诗人演奏颚骨康特勒琴 Convincing a Skald to play a jawbone kantele
18	守护古墓，防止盗墓者入侵 Defending a barrow from tomb-robbers
19	不同部落，在同一旗帜下集结 Different tribes, rallied under the same standard
20	穿戴鳄鱼皮甲 Donning Crocodile leather armor
21	抽签决定守卫任务 Drawing lots for guard duty
22	衣着完全不顾及气温 Dressed with complete disregard for temperature
23	从狼的脚印中饮水 Drinking water out of Wolf-prints
24	每个人都似乎纹有一条巨大的蟒蛇图案 Each seems to be tattooed with a large Python
25	渴望升级粗制武器，有毛皮可供交易 Eager to upgrade crude weapons, have pelts to trade
26	即使在狂怒之中也异常沉默 Eerily silent even in the grasp of frenzy
27	被一位对之感到厌倦的本地树妖所迷住 Enthralled by a local Dryad who grows bored with them
28	搭建三角龙皮帐篷 Erecting Triceratops-hide tents
29	正在用羊皮纸和卷轴为火堆添柴 Feeding a fire with parchment and scrolls
30	互相搏斗，他们的哥布林敌人已被击败 Fighting each other, their Goblin foes defeated
31	为长途旅行灌满水囊 Filling waterskins for a long journey
32	逃离困扰他们故土的亡灵瘟疫 Fleeing the Undead blight that plagues their homeland
33	迷雾笼罩，昏昏欲睡，狂暴过后的状态 Foggy and lethargic, post-frenzy
34	寻找一种特别适合引发狂怒的蘑菇 Foraging for a particularly frenzy-friendly fungus
35	身着温暖的熊皮马裤 Girded in warm, bearskin breeches
36	挑唆两只狗为一只被绑的野兔争斗 Goading two dogs to fight over a tied hare
37	在石头表面刻划棱角分明的符文 Gouging angular runes into a stone surface
38	用颅骨研钵和骨杵研磨草药 Grinding herbs with a skull mortar and bone pestle
39	用短剑剖开一头十叉鹿的肚子 Gutting a ten-point buck with dirks
40	乘着龙形船只从海上呼啸而来 Hailing from the Sea on Dragon-shaped ships
41	在妖鬼的吸取之触下愉快地死去 Happily dying at the draining touch of a Wight
42	从巨型鲟鱼身上采集球形鱼子 Harvesting globular roe from a Giant Sturgeon
43	在火上加热装满沥青的桶 Heating buckets of pitch over a fire
44	共同用磨刀石打磨刀刃 Honing blades with whetstones in unison
45	像野兽般欢快地嚎叫 Howling gleefully like wild animals
46	蜷缩在微弱的篝火旁取暖 Huddled for warmth around a sickly fire
47	作为成年礼，正在猎杀一只扭曲兽 Hunting a Warp Beast as a rite of passage
48	在苦涩的熏香烟雾中歇斯底里地大笑 Hysterically laughing in bitter incense smoke
49	故意试图感染狼人病 Intentionally trying to contract Lycanthrope
50	哀悼因疾病失去的婴儿 Lamenting the loss of an infant to illness
51	在熊皮上摆放死者的遗体 Laying out the body of the dead, on bearskin
52	由一位复仇的女妖带领，全员皆为女性 Led by a vengeful Banshee, all women
53	全神贯注地聆听一位德鲁伊的寓言 Listening intently to a Druid's parable
54	高声宣誓誓言 Loudly uttering oaths
55	正迅速解决一桶偷来的美酒 Making quick work of a tun of purloined wine
56	将银币熔铸成便于运输的银锭 Melting silver coins into ingots for transport
57	最好保持距离：戈尔贡骑牛大赛 Might want to keep a wide berth: Gorgon Rodeo
58	正在与大地精谈判过路费，气氛逐渐紧张 Negotiating a toll with Hobgoblins, growing testy
59	新皈依法律信仰的信徒，心中充满疑问 New converts to a Lawful faith, have questions
60	不容小觑：正在切割紫色蠕虫肉排 Not to be trifled with: Carving up Purple Worm steaks
61	使用原始磁石进行定向导航 Orienteering with a primitive lodestone
62	痛苦地将双足飞龙的鳞片植入皮肤下 Painfully implanting Wyvern-scale under skin
63	正在身体上涂抹致幻颜料 Painting hallucinogenic pigments on their bodies
64	传递着奇美拉的心脏并轮流咬上一口 Passing around a Chimera heart and taking bites
65	正在玩一款华丽的棋盘游戏 Playing an ornate board-game
66	为当地的风暴巨人准备祭品 Preparing offerings for a local Storm Giant
67	曾是囚徒，仍戴着铁质手铐 Previously prisoners, still bear iron bracelets
68	受到宠物黑豹的保护 Protected by pet Panthers
69	在池塘中撕下巨魔的一只手臂 Pulling the arm off a Troll in a pool
70	从一只押韵的乌鸦那里接收行军命令 Receiving marching orders from a rhyming Raven
71	最近因狮鹫袭击失去了马匹，闷闷不乐 Recently lost horses to a Griffon attack, sullen
72	朗诵夸大的家族历史 Reciting exaggerated family histories
73	在遭遇熊地精伏击后人数减少 Reduced in number after a Bugbear ambush
74	正在用乳齿象牙雕刻放松 Relaxing with Mastodon tusk scrimshaw
75	崇拜一尊枭熊雕像 Revering a statue of an Owl Bear
76	骑着巨型喙头蜥 Riding Giant Tuatara
77	正在烤制一对野兔，香气四溢 Roasting a brace of hares, smells delicious
78	摩擦琥珀护身符以求好运 Rubbing an amber amulet for luck
79	正在腌制鱼片，为旅程保存食物 Salting fillets of fish to preserve them for a journey
