1d100	活动-独角兽
1	帮助母熊寻找她可爱的小熊 Aiding a Mother Bear in locating her adorable Cubs
2	缓步徐行，蹄印处绽放美丽花朵 Ambling slowly, beautiful flowers blossoming in every hoofprint
3	突然出现在一片清新、露水浸透的林间空地中央 Appearing suddenly in the center of a crisp, dew drowned clearing
4	躲避一支兽人狩猎队的侦测 Avoiding detection from a Hobgoblin Hunting Party
5	对粗劣的熊地精陷阱感到犹豫不前 Balking at a crude Bugbear booby trap
6	通过释放她的囚犯来迷惑一名强盗 Befuddling a Bandit by freeing her Prisoners
7	被一群咯咯笑的精灵梳理毛发 Being groomed by a group of giggling Sprites
8	在山顶以剪影祝福精灵的联姻 Blessing an Elf Union by silhouetting on a hillcrest
9	将一串成熟的黑莓枝带给一位盲眼乞丐 Bringing a branch of ripe Blackberries to a blind Beggar
10	用后蹄猛踢地精，造成毁灭性打击 Bucking to deliver a devastating kick to a Kobold
11	安抚迷路的孩子，希望有人能带他们回家 Calming a lost Child, hoping someone will return them home
12	在苍白的纸桦树林中悠然小跑 Cantering serenely within a stand of pale Paper Birch trees
13	悠闲地避开一个长满玫瑰的吸血鬼头骨 Casually sidestepping a Vampire Skull, overgrown with Roses
14	冲向一群流着口水的恐狼群 Charging at a pack of slavering Dire Wolves
15	将奇美拉逐出它们的森林 Chasing a Chimera out of their Forest
16	通过绊倒陷阱来迷惑捕猎者 Confusing a Trapper by tripping his snares
17	为林地圣地的涌泉进行祝圣仪式 Consecrating a Woodland Shrine's bubbling Spring
18	与一只雄鹿无声地交谈 Conversing silently with a Stag
19	在茂密的荆棘篱笆上优雅地跳跃 Curvetting over a thick hedge of brambles
20	守护一只瞬移犬的巢穴免受饥饿地狱犬的侵袭 Defending a Blink Dog den from a hungry Hellhound
21	摧毁一窝邪恶的鸡蛇兽蛋 Destroying a nest of vile Cockatrice Eggs
22	通过洗劫伐木工营地来阻止他们 Deterring Loggers by ransacking their camp
23	将角浸入被巨魔洗澡污染的池塘中 Dipping their horn in a pond, befouled by bathing Trolls
24	用角解除一个残忍设置的陷阱 Disarming a cruelly set snare with his Horn
25	正在剖开一个邪恶贵族的腹部 Disemboweling a Wicked Noble
26	在清澈的水池边饮水，蜻蜓在其间翩翩飞舞 Drinking from a pristine pool of water, as dragonflies flit by
27	从一片芬芳的紫藤花帘中现身 Emerging from a thick curtain of fragrant Wisteria
28	正在为躲藏的半身人施放魅惑，从树顶窥视 Enchanting a hidden Halfling, peering from a Treetop
29	无意识地甩动它们那狮尾般的蓬松尾巴 Flicking their tufted Lion-like tail reflexively
30	曾是圣骑士，意外转生为独角兽 Formerly a Paladin, inadvertently Reincarnated into this role
31	疾驰奔向远方的求救声 Galloping toward a distant cry for help
32	小心翼翼地踏过潺潺溪流中的鹅卵石河床 Gingerly crossing the pebbled bottom of a babbling brook
33	刺穿一只可憎的食人魔，过度捕捞她的湖泊 Goring an odious Ogre, overfishing her Lake
34	在芬芳的草地上吃草，被拴在一棵石榴树上 Grazing on perfumed grasses, chained to a Pomegranate Tree
35	守护着一片神圣的小树林，林中点缀着长满苔藓、刻有符文的石头 Guarding a sacred Grove, dotted with mossy, glyph covered stones
36	引导一位树精寻找稀有/珍贵/美味的蘑菇 Guiding a Dryad locate rare/valuable/delicious mushrooms
37	突然停下脚步，转头倾听某个声音 Halting midstride, turning her head to hear a sound
38	帮助天马寻找合适的产驹地点 Helping a Pegasus locate a suitable place to Foal
39	将一些过度放牧的羊群赶回羊圈 Herding some overgrazing Sheep back to their pen
40	使整片森林充满一种可感知的和平与安全氛围 Imbuing the entire Wood with a palpable sense of peace/safety
41	刺穿了一只误入她森林的流涎食尸鬼 Impaling a drooling Ghoul who wandered into her Wood
42	恳求伴侣不要离开这片森林 Imploring their Mate to not leave the Wood
43	瞬间消失，随后在两百英尺外重新出现 Instantly disappearing only to rematerialize two hundred feet away
44	审判一位奖杯猎人，被带刺藤蔓缠住 Judging a Trophy Hunter, entangled in barbed vines
45	在一块磨损的石块上磨砺角，以保持其锋利 Keeping their horn keen by sharpening it on a worn block of Stone
46	踢开一个笨拙地挥舞着圆盾和剑的强盗 Kicking aside a Brigand bumbling with Buckler and Blade
47	为饥饿的小猪敲落果实累累的树枝 Knocking fruit from overladen branches for hungry Piglets
48	引领一位彻底迷路的侏儒回家 Leading a hopelessly lost Gnome home
49	专注聆听蜡翅鸟的警告 Listening intently to warnings from the Waxwings
