1d60	活动-猫科
1	悄然蹲伏，准备猛扑猎物 Crouching stealthily, preparing to pounce on prey
2	饱餐之后，在树荫下慵懒地打着哈欠休息 Full bellies, relaxing in the shade with toothy yawns
3	用强大的爪子刨刮树皮 Gouging the bark of a tree with mighty claws
4	守护最近的猎物，防止被食腐动物抢走 Guarding a recent kill from scavengers
5	警惕地照看着好奇的幼崽 Keeping a watchful eye over curious cubs
6	懒洋洋地注视着动物在水源处饮水 Lazily watching animals drink at a water source
7	用它们的大舌头细致地梳理毛发 Meticulously grooming fur with their large tongues
8	对闯入领地的入侵者发出咆哮警告 Roaring a warning to territorial interlopers
9	在树桩上蹭脸：进行气味标记 Rubbing their face on a stump: scent marking
10	从制高点俯瞰并勘察周边区域 Surveying the area from a high vantage point
11	正在追逐一只幼年斑马，跃起准备致命一击 Bounding after a young Zebra, leaping for the kill
12	正在享用一位靠得太近的游侠的尸体 Dining on a dead Ranger who got too close
13	正前往参加百兽之王的加冕典礼 On their way to a coronation for the King of Beasts
14	对着偷窃猎物残骸的鬣狗和秃鹫咆哮 Snarling at Hyenas and Vultures stealing parts of prey
15	已习惯附近的游牧民族，数周内未曾发起攻击 Habituated to nearby Nomads, no attacks in weeks
16	激烈地捍卫领地，抵御一只年轻雄性的入侵 Aggressively defending territory from a young male
17	因近期干旱和猎物匮乏而消瘦不堪 Emaciated from a recent drought and lack of game
18	疯狂地舔舐前爪中深深扎入的恶刺 Furiously licking at a wicked thorn wedged in front paw
19	在稀疏树荫下，因酷热而喘息 Panting in the simmering shade of a scraggly tree
20	正在秃鹫啄食的河马尸体上觅食 Scavenging the Vulture-pecked carcass of a Hippopotamus
21	从上方伏击一只成年骡鹿 Ambushing an adult Mule Deer from above
22	避开一片大空地，沿着树林边缘绕行 Avoiding a large clearing by skirting the wooded edges
23	徒劳地抓挠着兔子窝的入口 Clawing futilely at the entrance to a Rabbit warren
24	正在吞食一头倒下的叉角羚的内脏 Eating the innards of a downed Pronghorn
25	对竞争对手的气味做出咧嘴皱眉的反应 Grimacing with a lip curling response to a rival's scent
26	为游侠伙伴进行狩猎 Hunting on behalf of their Ranger companion
27	与一群闲聊的乌鸦分享一头死野猪 Sharing a dead Boar with gossiping Ravens
28	与一只恼火豪猪搏斗，情况并不乐观 Sparring with a peeved Porcupine, and it isn’t going well
29	警觉：正被当地牧场主无情猎杀 Wary: Being hunted ruthlessly by local Ranchers
30	低声咆哮着向灰熊屈服 Yielding to a Grizzly with a low growl
31	爬上一棵大树检查猎物 Climbing a large tree to check on a kill
32	巧妙隐藏其狼人本性 Concealing their Lycanthrope nature well
33	以惊人的决心在水中滑行 Gliding through water with surprising determination
34	黑色且威严：在阴影中几乎难以察觉 Melanistic and majestic: barely visible in shadows
35	从刚被猎杀的母鹿身上挑选美味的部分 Picking choice bits from a just slain Doe
36	受到当地丛林居住的精灵们的激烈保护 Protected fiercely by local jungle dwelling Elfs
37	正在剥取一只刚被猎杀的狒狒的皮毛 Rending the hide from a freshly slain Baboon
38	坚定地坚守阵地，对抗一群紧张的豺狼人 Standing their ground fiercely against some nervous Gnolls
39	与树人形成共生关系：彼此相互保护 Symbiotic relationship with Treants: they protect each other
40	求偶时的嚎叫演变为暴力冲突 Yowling as a courtship turns violent
41	部落图腾：任何伤害都将遭到残酷的报复 A Tribal Totem: Any injury will be brutally avenged
42	谨慎地围绕一只受伤的乳齿象转圈 Circling a wounded Mastodon cautiously
43	拖着一只被击杀的白猿返回它们的巢穴 Dragging a slain White Ape back to their den
44	正在扩建一处废弃的雕齿兽洞穴 Expanding an abandoned Glyptodon burrow
45	大口吞食着毛犀牛的肉块 Gulping down huge chunks of Wooly Rhino flesh
46	被挥舞火把的尼安德特人逼退 Kept at bay by firebrand waving Neanderthals
47	从高处跃下，落在巨兽泰坦兽的背上 Leaping from a great height onto the back of a Titanothere
48	因最近被一只愤怒的恐鸟踢伤而跛行 Limping from a recent kick from an angry Terror Bird
49	被野蛮的石器时代半身人半驯化 Semi-domesticated by savage Stone Age Halflings
50	出奇地好奇且对矮人表现出温顺 Surprisingly curious and docile around Dwarfs
51	闪耀着华丽的翡翠色光芒的眼睛 Burning bright with gorgeous emerald eyes
52	正在吞噬一名蜥蜴人战士 Devouring a Lizard Man warrior
53	正拖着一只死鳄鱼穿过泥地 Dragging a dead Crocodile across the mud
54	巨颚紧锁羚羊的颈动脉 Jaws clamped around the carotid of an Antelope
55	依偎在一位美丽少女的膝上：榕树宁芙 Nuzzling in lap of a beautiful maiden: Banyan Dryad
56	从一处狰狞的箭伤中渗出鲜血 Oozing blood from a gnarly arrow wound
57	潜行追踪村民：已对人类血肉产生嗜好 Stalking Villagers: has acquired a taste for the flesh of Man
58	将一只死野猪储存在高树上以备后用 Storing a dead Boar high in a tree for later
59	造访一座神庙，当地人有时会留下美味的供品 Visiting a temple, locals sometimes leave tasty votives
60	警觉地从溪流中舔水喝 Watchfully lapping water from a stream
