1d100	活动-皮克精
1	劝告一位忧郁的矮人放下他的斧头 Advising a dour Dwarf to lay down his Axe
2	向苹果树请求采摘许可 Asking an Apple tree for permission to pick
3	参加独角兽的葬礼 Attending a funeral for a Unicorn
4	为一名昏迷流血游侠包扎伤口 Bandaging up an unconscious, bleeding Ranger
5	与一只脾气暴躁的猫头鹰使魔成为朋友 Befriending a curmudgeonly Owl Familiar
6	迷惑喇嘛，照料路旁的神龛 Befuddling a Lama, tending to a roadside Shrine
7	被一位将外套反穿的旅行者挫败 Being foiled by a Traveler wearing her coat inside out
8	向新生儿赐予超自然礼物 Bestowing supernatural gifts on a Newborn Baby
9	为树精编织与季节相配的发辫 Braiding a Dryad's season-matching tresses
10	在一圈色彩斑斓的毒蘑菇周围嬉戏玩耍 Cavorting around a ring of colorful Toadstools
11	责备挤奶女工未留下贡品 Chastising a Milkmaid for failing to leave tribute
12	为击败可憎的食人魔而欢呼 Cheering as they defeat an odious Ogre
13	在石圈上攀爬 Climbing about on a Cromlech
14	通过移动地标来迷惑伐木工 Confusing a Woodsman by moving landmarks
15	因远处教堂钟声而畏缩 Cowering from distant church bells tolling
16	用魔法卷轴剪裁真人大小纸娃娃 Cutting life-size paper dolls from Magical Scrolls
17	欢快地随着才华横溢的蟋蟀小提琴手跳舞 Dancing merrily to talented Cricket violinists
18	守护精灵古墓免受入侵者侵扰 Defending an Elfin Barrow from interlopers
19	正在（字面意义上）脱去一位尴尬修士的法衣 Defrocking (literally) an embarrassed Friar
20	通过封锁路径阻止半兽人的入侵 Deterring an incursion of Hobgoblins by blocking paths
21	将露水和花蜜蒸馏成强力饮品 Distilling dew and nectar into a potent brew
22	喝着从独眼巨人那里骗来的葡萄酒 Drinking wine, swindled from a Cyclops
23	驱赶友好农夫生菜上的毛毛虫 Driving caterpillars from a friendly Farmer's Lettuce
24	居住在本地人避之不及的空心山中 Dwelling within locally shunned hollow hills
25	鼓励一匹天马幼驹展翅高飞 Encouraging a Pegasus foal to fledge
26	从一只友善的瞬移犬爪子上拔出一根刺 Extracting a thorn from the paw of a friendly Blink Dog
