1d100	活动-矛蚁
1	因缓慢燃烧的火灾而放弃巢穴 Abandoning their lair due to a slow-burning fire
2	意外封存了一只冬眠的吸血鬼 Accidentally entombing a hibernating Vampire
3	将难以消化的金属堆积成有序的一堆 Amassing undigestible metal into an organized pile
4	漫无目的地游荡，寻找回家的气味踪迹 Ambling aimlessly, seeking a scent-trail home
5	正在截断一只尖叫地精的手臂 Amputating the arm of a screaming Goblin
6	用酸性分泌物涂抹自身以杀死寄生虫 Anointing themselves with acidic secretions to kill parasites
7	避开它们无意间挖出的一个静止的土元素 Avoiding an inert Earth Elemental they inadvertently unearthed
8	以迅捷一击斩下火焰甲虫的头颅 Beheading a Fire Beetle in a single, swift strike
9	啃咬树干基部以获取令人作呕的甜树液 Biting at the bases of tree trunks for sickeningly sweet sap
10	从蚁丘到附近池塘开辟一条新路径 Blazing a trail from their mound to a nearby pond
11	误闯入一只饥饿的巨型楔齿蜥那永不满足的巨口之中 Blundering into the insatiable mouth of a hungry Giant Tuatara
12	砖红色，入侵性极强，带有极度痛苦的蜇刺 Brick red, invasives with an excruciatingly painful sting
13	在极其坚硬的土壤中不知疲倦地挖掘 Burrowing tirelessly in extremely hard soils
14	正忙碌地围绕一块刻有奇异符号的巨石进行挖掘 Busily excavating around a strange, symbol carved boulder
15	能够喷射防御性蚁酸 Capable of spurting defensive Formic Acid
16	用触角相互抚摸以进行交流 Caressing each other’s antennae to communicate
17	正将塔盾般大小的蚁卵搬运至新的筑巢区域 Carrying large, tower-shield sized eggs to a new nesting area
18	正在啃噬早已逝去矿工留下的厚重横梁 Chewing through thick beams, left by long dead miners
19	贪婪地啃食着一只死去的洞穴蝗虫 Chomping ravenously on a dead Cave Locust
20	正爬过一堆被黄色霉菌侵染的骨堆 Climbing over a Yellow Mould infested bone-pile
21	正在塌陷的洞穴中，一只巨型塔兰图拉毒蛛刚刚移入 Collapsing the chamber a Giant Tarantella has moved into
22	利用蚂蚁搭建的桥梁运送同伴过河 Conveying comrades across a river with an ant-built bridge
23	沿着墙壁爬行以避开地板上的绿色粘液 Creeping along walls to avoid Green Slime on the floor
