1d100	活动-蚊禽
1	栖息在高处的铸铁灯笼钩上 Alighting on a cast iron Lantern hooks, high above
2	惹恼了一只石像鬼，却无法刺穿她的石质皮肤 Annoying a Gargoyle, unable to pierce her stony hide
3	躲避刺鼻气味：一只接近的胶质立方体 Avoiding a startling smell: an approaching Gelatinous Cube
4	拍打翅膀抖落湿气和露水 Beating their wings dry of damp and dew
5	从石头的裂缝中汹涌而出 Billowing forth from a fissure in the stone
6	笨拙地撞上一块悬挂的、血迹斑斑的布，发出沉闷的撞击声 Blundering into a hanging, bloodstained cloth with dull thuds
7	在它们痂状唾液巢中孵育 Brooding within their scab-like spittle nests
8	在交配飞行中，嗡嗡声逐渐增强 Buzzing with ever increasing intensity during a mating flight
9	围绕着一位牧师的干枯尸体盘旋 Circling the withered corpse of a Cleric
10	发出响亮的摩擦声以宣示领地 Clicking with loud stridulating sounds to claim territory
11	紧附在一盏粗制铁制吊灯上 Clinging to a crudely wrought iron Chandelier
12	聚集在一只尖叫的巨型老鼠身上 Clustering on a squealing Giant Rat
13	聚集在池塘上方，偶尔用喙刺捕青蛙 Congregating above a Pool, occasionally spearfishing for Frogs
14	因侏儒测试她最后一剂驱蚊剂而畏缩 Cowering from a Gnome testing her last dose of Stirge repellant
15	笨拙地在地板上爬行，因吸血过多而肿胀得无法飞行 Crawling clumsily across the floor, too swollen with cruor to fly
16	危险地悬挂在细长的钟乳石侧面 Dangling precariously from the sides of a skinny stalactite
17	在栖木间疾飞，以躲避一只恼火的巨型蜘蛛 Darting from perch to perch to avoid a frustrated Giant Spider
18	在黏滑的表面上产下一排排半透明的深红色卵 Depositing row upon slimy row of translucent carmine eggs
19	从死去的变形怪身上脱离，灰色皮肤和橡胶般的骨骼 Detaching from a dead Doppelgänger, grey skin and rubbery bone
20	俯冲攻击一个大喊大叫的矮人，疯狂挥舞着他的锤子 Divebombing a shouting Dwarf, wildly swinging his Hammer
21	正在吸干一位绝望的瘟疫医生的血液 Draining a desperate Plague Doctor dry
22	从无人看管的酒杯中用吸管般的小口啜饮 Drinking small straw-like sips from an unattended glass of wine
23	突然从门框上落下，落在强盗的背上 Dropping down suddenly from a doorway onto the back of a Bandit
24	用翅膀扇风干燥它们的血巢 Drying their hematic dens by fanning their wings
25	栖息在一口大铜钟内，铜钟仍悬挂在腐烂的横梁上 Dwelling inside a big bronze Bell, still suspended on a rotting beam
26	从一套空心的仪式盔甲的头盔中钻出 Emerging from the helm of a hollow suit of ceremonial Armor
27	正因膨胀无法飞行，吸食一只冬眠的猫头鹰熊 Engorging on a hibernating Owlbear, flightless due to bloat
28	因数量过多而建立分支群体 Establishing a splinter colony due to overpopulation
29	正在吸干一位探险者的血液，而他的搬运工们四散奔逃 Exsanguinating an Explorer, as his Porters scramble and flee
30	从死老鼠身上汲取微量的珍贵血液 Extracting precious little blood from a dead Rat
31	为繁殖季节增肥，比平时更具攻击性 Fattening for breeding season, much more aggressive than normal
32	通过反刍血腥混合物喂养幼崽 Feeding young by regurgitating gory mixtures
33	用尖喙进行决斗：为争夺交配权而战 Fencing with pointy proboscises: fighting over the right to mate
34	在拱门两侧埋伏，准备扑向任何路过的行人 Flanking an archway, ready to swoop on any passersby
35	在粘稠的蛛网中疯狂拍打翅膀 Flapping furiously within a sticky mass of Web
36	因一个诡异的血祭邪教定期献祭而繁盛 Flourishing from regular sacrifices made by a creepy Blood Cult
37	从烟囱管道中扑腾而下，浑身沾满煤灰 Fluttering down from a chimney flue, blackened with soot
38	笨拙地飞行，因吸食醉酒食人魔的血液而醉醺醺 Flying clumsily, drunk after feeding on an intoxicated Ogre
39	追踪着一位流血精灵的甜美气息 Following the sweet scent of a bleeding Elf
40	小心翼翼地从迅速凝固的深红色水坑中啜饮 Gingerly sipping from a crimson, quickly curdling puddle
41	正在大啖绞架上豺狼人的血肉 Gorging on a gibbeted Gnoll
42	用坚韧的腿紧紧抓住尖叫的地精 Gripping fast with tenacious legs to a screaming Goblin
43	密集悬挂在岩架底部，梳理羽毛 Hanging densely along the bottom of a shelf, preening
44	在原地盘旋，等待腐尸爬行者麻痹猎物 Hovering in place, waiting for a Carcass Crawler to paralyze prey
45	在远处的尖啸者嚎叫时，一致地发出嗡嗡声 Humming in unison as a distant Shrieker howls
46	正在追猎一匹受伤的马 Hunting down a wounded Horse
47	精心构筑着由凝固唾液制成的猩红巢穴 Immaculately constructing their scarlet nests of solidified spit
48	将刺吸式口器刺入一只剥制鹿头，感到挫败 Impaling proboscises into a taxidermized Stag Head, frustrated
49	从被吸食者体内传播血源性病原体 Infecting those they drink from with bloodborne pathogens
50	刺穿板甲圣骑士头盔的眼缝 Jabbing through the eye-slit of a Plate armored Paladin's helm
51	争夺在一头绝望嘶叫的骡子身上的最佳位置 Jockeying for prime position on a desperately braying Mule
52	从漆黑的空中发出哀鸣，不时俯冲而下 Keening from the inky darkness above, diving down periodically
53	在育儿袋中为新孵化的幼崽保暖 Keeping their newly hatched young warm in their pouches
54	落在咸水盆地上，用长舌谨慎地饮水 Landing on a brackish basin, drinking watchfully with long tongues
55	从栖木上扑向一位不幸的游侠 Launching from their perch at an unlucky Ranger
56	懒洋洋地在蒸汽热泉的暖流上滑翔 Lazily gliding on warm currents from steamy thermal vents
57	与巨型食尸鼠形成奇特的共生关系 Living in a strange symbiosis with Giant Ghoul Rats
58	威胁着一位挥舞火把的媒介，她动作鲁莽 Menacing a Medium as she waves a Torch recklessly
59	围攻商人，保镖用棍棒击打它们时自己也受伤 Mobbing a Merchant, Bodyguards bruise as they club them off
