1d100	活动-蚓螈
1	迷失方向的蜥蜴人鳄鱼猎手 Disorientated Lizard Man Crocodile Hunter
2	矮人女英雄：阿格纳莎·老缝 Dwarf Heroine: Agnatha Oldseam
3	远离家园的干涸树精，奄奄一息 Dying Dryad, far from her Tree Home
4	土元素，只是随行观光 Earth Elemental, just along for the ride
5	年迈的兽人，因断腿被喂给了巨兽 Elderly Orc, fed to the beast after a broken leg
6	精灵贤者，专门研究这些生物出人意料的生态学 Elf Sage, specializing in the surprising ecology of these beasts
7	四个侏儒正跟随一张藏宝图前进 Four Gnomes following a Treasure Map
8	石像鬼，爪子与牙齿皆已钝化 Gargoyle with blunted claws and teeth
9	镀金盒子内藏有三道残忍的阴影 Gilt box containing three sadistic Shadows
10	感激的地精国王，依靠他的保镖生存 Grateful Goblin King, surviving on his Bodyguards
11	半身人助产士，因重要分娩而迟到 Halfling midwife, late for an important delivery
12	心烦意乱、急躁不安的巨灵 Inconvenienced, impatient Djinni
13	静止但完全成型的青铜魔像 Inert but fully sculpted Bronze Golem
14	狗头人萨满，正在进行拯救部落的愿景之旅 Kobold Shaman, on a vision quest to save her tribe
15	手持战锤的狂笑豺狼人冠军 Laughing Gnoll Champion, Warhammer in hand
16	近十二只尼克斯精灵，渴望返回她们的洞穴 Nearly a dozen Nixies, eager to return to their grotto
17	来自遥远沙漠的游牧者，对消化作用免疫 Nomad from distant desert lands, immune to digestion
18	臭名昭著的熊地精刺客：黑牙 Notorious Bugbear Assassin: Blackteeth
19	携带圣物的侍僧：圣赫伯特的舌骨 Relic-bearing Acolyte: The Hyoid of St. Herbert
20	几颗来自已灭绝物种的树人种子 Several Treant Seeds from extinct species
21	六具部分消化的骨架，以一半力量战斗 Six partially digested Skeletons, fight at half strength
22	一位极其富有的商贾之王的儿子 Son of a very wealthy Merchant Prince
23	出奇平静的狂战士，已接受自己的命运 Surprisingly calm Berserker, resigned to his fate
24	恐怖军团中的食尸鬼士官 Thoul sergeant of the League of Terror
25	三名被震慑的熊地精工兵 Three stunned Hobgoblin Sappers
26	巨魔隐士，多年后成为一位沉思的和平主义者 Troll Hermit, a contemplative pacifist after years
27	昏迷的中型生物，濒临死亡 Unconscious Medium, very near death
28	倒霉的强盗，正在埋藏宝藏 Unlucky Bandit, who was burying treasure
29	非常恼火的木乃伊 Very peeved Mummy
30	一位几乎放弃希望的退伍老兵 Veteran who had nearly given up hope
31	允许幼崽以她的皮肤为食（皮肤营养） Allowing young to feed on her skin (dematotrophy)
32	正被一位亡灵炼金师精心梳理 Being carefully groomed by an Undead Alchemist
33	侧身伤口大量流血 Bleeding profusely from a gash on their side
34	盲目地撞倒一只熊地精 Blindly bowling over a Bugbear
35	在沙质土壤中钻洞，向美味的目标前进 Boring through sandy soil, toward a tasty target
36	从石化鸡蛇遭遇中剥离石质皮肤硬壳 Breaking off stony skin-crust from a Cockatrice encounter
37	伴随着低沉的咕噜声钻入地下 Burrowing into the ground with a low grumbling sound
38	大声咀嚼着一头牛 Chewing loudly on a Cow
