1d100	活动-野猪
1	焦躁不安，背部斑纹的鬃毛竖立 Agitated, with brindled back bristles standing erect
2	用焦虑的叫声惊扰了其他野猪群 Alarming the rest of the sounder with worried cries
3	沿着阴凉小径漫步觅食 Ambling down a shady path in search of food
4	在凉爽的夜晚过后，正在阳光下晒太阳 Basking in the sun after weathering a cool night
5	大声吼叫以寻找它们的幼崽 Bellowing loudly to locate their piglets
6	幸福地大嚼掉落的无花果 Binging blissfully on fallen figs
7	突袭一只嚎叫的山狮 Blindsiding a yowling Mountain Lion
8	在灌木丛中狂奔，逃离一头熊的追击 Bolting through the underbrush away from a Bear
9	在淹水的田野中狂奔，溅起大片水花 Bounding across flooded fields, splashing wildly
10	因远处恐狼的嚎叫而毛发竖立 Bristling at the distant howl of a Dire Wolf
11	残忍地撕咬一位不幸的猎人 Brutally gouging a hapless Hunter
12	推平半身人的菜园 Bulldozing a Halfling's vegetable garden
13	正在山坡上挖掘洞穴 Burrowing into the side of a hill
14	向另一头雄性发起挑战以争夺统治权 Challenging another male for dominance
15	陪伴几头母猪和幼崽 Chaperoning several sows and juveniles
16	直接冲向一只受惊的奇美拉 Charging directly at a startled Chimera
17	正在追赶一只胆小的山猫上树 Chasing a cowardly Bobcat up a tree
18	正在啃食独眼巨人的葡萄藤 Chewing on a Cyclops' grapevines
19	心满意足地大嚼着掉落的橡果 Contentedly gorging on fallen Acorns
20	用松针和泥土覆盖自己 Covering themselves in pine needles and soil
21	穿过荆棘丛，逃离灰熊的追赶 Crashing through brambles, fleeing a Grizzly
22	正开心地咀嚼橡果，不时发出满足的哼哼声 Crunching on acorns, punctuated by happy grunts
23	保护幼崽免受俯冲鹰隼的袭击 Defending young from a swooping Hawk
24	在最近雨水形成的泥潭中欢快地打滚 Delighting in the mud puddles recent rain created
25	用结实的鼻子挖掘块茎 Digging for tubers with their sturdy snouts
26	在溪岸边挖掘美味的根茎 Dredging a creekbank for delicious roots
27	驱赶一只吐着舌头的飞龙蜥蜴 Driving away a tongue-flicking Draco Lizard
28	侵入农民的茴香田 Encroaching on a Farmer's Fennel Fields
29	在潺潺的小溪中享受清凉的沐浴 Enjoying a cooling bath in a babbling brook
30	正在吞食拳头大小的毒蘑菇以增肥 Fattening up on fist-sized toadstools
31	无畏地冲向一只饥饿的地狱犬 Fearlessly bull rushing a hungry Hellhound
32	为争夺最佳放牧地而击退对手 Fighting off rivals for prime grazing ground
33	逃离一只紧追不舍的老虎 Fleeing from a persistent Tiger
34	因食用有毒草药而口吐白沫 Foaming at the mouth after eating toxic herbs
35	在落叶中翻找美味的幼虫 Foraging through the leaf litter for yummy grubs
36	用锋利的獠牙翻耕干燥的土壤 Furrowing dry soil with sharp tusks
37	疾驰逃离火球术的爆炸 Galloping away from a Fireball detonation
38	正在顶撞一个靠得太近的强盗 Goring a Brigand who encroached to close
39	正在啃食鲜嫩的新芽 Grazing on succulent shoots
40	用鼻子贴着地面发出咕噜声 Grunting with snouts to the ground
41	守护着一处泥泞富饶的泥塘，防止其他兽群侵占 Guarding a rich muddy wallow from another herd
