1d20	活动-长角变色龙
1	在翠绿的树叶间彻底融入环境 Blending thoroughly among the verdant leaves
2	用多节而错位的手指紧握一根粗大的树枝 Clutching a thick bough with knobby, offset fingers
3	用它们那能卷曲的尾巴悬挂着，小心翼翼地下降 Dangling from their prehensile tail to descend carefully
4	通过快速变色迷惑猎物 Dazzling their prey with rapid color changes
5	以闪电般的速度甩舌捕捉一只盗蝇 Ensnaring a Robber fly with a lightning fast flick
6	同时怒视两个方向 Glaring int two directions at once
7	正在吞食一只倒霉的虎甲虫 Gobbling down an unlucky Tiger Beetle
8	正紧握着残破不堪的桥梁缓慢移动 Gripping their way across a mostly demolished bridge
9	向完全隐形的对手点头示意 Head-bobbing to a completely camouflaged rival
10	向毫无防备的狗头人发射其粘性长舌 Launching their sticky tongue at an unsuspecting Kobold
11	懒洋洋地躺在一座巨大的石像鬼雕像顶部 Lounging atop a large Statue of a Gargoyle
12	完美模仿周围单调的环境 Mimicking rather drab surroundings perfectly
13	灵巧地甩出舌头捕捉鸟类或蝙蝠 Nimbly flinging their tongue to snare a Bird/Bat
14	自信地缓步走向一只巨型老鼠 Sauntering confidently towards a Giant Rat
15	意外惊扰了一名蜥蜴人，差点将其撞倒 Surprising a Lizard Man, nearly knocking them over
16	在危险的树枝上摇摆着节奏地移动 Swaying rhythmically as they navigate a precarious limb
17	用时机恰到好处的尾扫绊倒捕兽者 Tripping a Trapper with a well-timed tail-swipe
18	变得如同无烟煤般漆黑，怒目而视 Turning as black as anthracite and glowering
19	伏击一只咔嗒作响的尸骸爬行者 Waylaying a clattering Carcass Crawler
20	打着挑衅的哈欠，粉红色的嘴巴暴露了它的位置 Yawning defiantly, pink mouth betraying its position
