1d100	活动-食人魔
1	绑架一只珍贵的预言猪 Abducting a prized oracular Pig
2	被选错柴火产生的烟雾搞得晕头转向 Addled by the fumes of an ill-chosen firewood
3	"被一条通往并离开他们“秘密”巢穴的食人魔足迹所迷惑 Baffled by an Ogre trail that leads to and from their ""secret"" lair"
4	被银币大小的吸血蜱虫困扰 Bedeviled by blood-sucking Ticks the size of silver coins
5	在站岗时睡着后，被一个邪恶的魔法使用者审问 Being grilled by a nefarious Magic-User after sleeping on watch
6	粗鲁地打嗝，刚喝完一大桶醋 Belching boorishly after downing a large cask of vinegar
7	与唯一的同伴争吵：一只破旧不堪、目光呆滞的熊皮 Bickering with only companion: A motheaten, glassy-eyed Bearskin
8	与六名强盗打斗，并且占据上风 Brawling with half a dozen Brigands, and winning
9	"带走一户饥饿家庭的奶牛作为“保护费” Carrying off a starving family's Cow as payment for ""protection"""
10	感冒了，不停地打喷嚏和流口水 Catching a Cold, sneezing and dribbling constantly
11	正在追逐一只他命名为“齐格”的白化巨型老鼠 Chasing after an Albino Giant Rat that he's named Zig
12	正在啃食一颗巨大的生洋葱 Chewing on a massive raw Onion
13	将空的双耳罐扔下悬崖，并在它们破碎时鼓掌 Chucking empty Amphorae down a cliff and clapping as they break
14	与一群白猿发生冲突 Clashing with a troop of White Apes
15	温柔地紧握着一个孩子的玉米丝娃娃 Clutching a child's corn silk Doll tenderly
16	被一位法师微不足道的戏法完全震慑住 Completely awestruck by a Medium's paltry prestidigitations
17	被一群狡猾的闪犬搞得晕头转向 Confused by a pack of wily Blink Dogs
18	用他满是疮疤的背部蹭坏风车 Damaging a windmill by scratching his scabby back
19	正在用臭泥涂抹一处相当尴尬的皮疹 Daubing stinking mud on a rather embarrassing rash
20	白日梦想着成为一名强大的巫师 Daydreaming about becoming a powerful Wizard
21	将偷来的羊群赶入洞穴中安全保管 Driving a stolen herd of sheep into their cave for safe keeping
22	被装满厚重典籍的麻袋弄得目瞪口呆 Dumbfounded by a sack filled with weighty Tomes
