1d100	活动-食尸爬虫
1	即将蜕皮，受击后立即逃窜 About to molt, flees immediately when struck
2	盘踞在墙壁高处，用多足紧紧吸附 Adhering in a coil of legs, high on a wall
3	惹恼一群食尸鬼：吃掉它们储存的尸体 Annoying a Ghoul pack: eating cadavers they're saving
4	使一群狂怒的狂战士陷入麻痹状态 Benumbing a foaming Berserker band
5	围攻狗头人的军械库，无人敢靠近 Besieging a Kobold's armory, none dare approach
6	与黑螃蟹为了一条发臭的鲶鱼大打出手 Brawling with a Black Crabs over a stinking Catfish
7	埋在枯叶和碎屑堆下 Buried under a mound of dead leaves and detritus
8	抚摸着一位修士那惊恐而僵硬的面庞 Caressing the terrified, frozen face of a Friar
9	追逐着老鼠，滴着黏液的触手疯狂挥舞 Chasing after Rats, dripping tentacles flailing wildly
10	心满意足地对着一具死去的哥布林发出吱吱声 Chittering with contentment over a dead Goblin
11	在铁栅栏上嘈杂地攀爬 Clambering across an iron grate noisily
12	用断奏般的咔嚓声紧合颚钳 Clasping mandibles together with staccato snaps
13	用带刺的腿在石板路上咔嗒作响地爬行 Clicking with spiny legs across the flagstones
14	正从天花板上朝你爬来，滴落着血肉残骸 Climbing toward you on the ceiling, dripping gore
15	紧贴在大型木桌的下方 Clinging on the underside of a large wooden table
16	紧紧抓住一条满是蛆虫的断臂 Clutching tightly onto a maggot-filled severed arm
17	争夺一位身着白衣牧师的尸体 Competing for the corpse of a Cleric clad in white
18	悠闲地享用一只仍存活的白猿 Consuming a still living White Ape, leisurely
19	沿着角落缓缓爬行，避光而行 Creeping along the corners, shying from light
20	蜷缩成防御性球体以保护自己 Curled up in a defensive ball to protect itself
21	从门框上方垂下触须 Dangling tentacles down from over a doorway
22	正在从脚开始享用一具矮人尸体 Dining on a dead Dwarf, feet first
23	躲避一位忧心忡忡的霍比特人投掷的投石索石块 Dodging a sling stone, flung by a worried Halfling
24	正拖拽一名侍僧的静止躯体爬上墙壁 Dragging the still body of an Acolyte up a wall
25	像一条肿胀的披肩般搭在椅背上 Draped over the back of a chair, like a bloated stole
26	垂头丧气、步履蹒跚，已经数周未曾进食 Drooping and limping, hasn't eaten in weeks
27	轻松倒挂在拱形天花板上攀爬 Effortlessly ascending a vaulted ceiling, upside-down
28	从一种形状奇异的茧中破壳而出 Emerging from a weirdly geometric cocoon
29	通过刺穿一具肿胀的死骡子来吸引配偶 Enticing a mate by piercing a bloated dead Mule
30	因在一匹死马身上产卵而精疲力尽 Exhausted by the effort of egg-laying on a dead Horse
31	正在享用一名微弱呼吸的中型生物 Feasting on a shallow-breathing Medium
32	正在争夺一个被麻痹的熊地精 Fighting over a paralyzed Hobgoblin
33	因丰富的巨型鼠猎物而繁荣发展 Flourishing due to abundant Giant Rat prey
34	从天花板的缝隙中驱赶蝙蝠 Flushing out Bats from crannies in the ceiling
35	被一位坚韧的精灵激怒，正用棍棒猛烈击打对方 Flustered by a resilient Elf, beating it with a club
36	抚摸着一位冻僵渔夫的手指 Fondling the fingers of a frozen Fisherman
37	正在狼吞虎咽地啃食一只腐烂的岩狒狒，并拖着它四处移动 Gorging on a rotting Rock Baboon, dragging it around
38	用后腿直立，伸爪抓取飞过的蚊蝠 Grasping, erect on hindmost legs, as Stirges fly by
39	正在啃食同类新孵化出的幼虫 Grazing on larvae of its own kind, recently hatched
40	用口器研磨一只腐烂的僵尸手臂 Grinding a ripe Zombie arm within its mouthparts
41	在阴影中悬挂在钟乳石上 Hanging from a stalactite in the shadows
42	孵化中的卵开始立即吞噬它的身体 Hatching eggs that begin to devour it immediately
43	藏在一座倒塌的雕像下，发出嘶嘶声 Hiding beneath a toppled statue, hissing
44	紧贴墙壁，感知到捕食者：巨型黄蜂 Hugging walls as it senses a predator: Giant Wasp
45	在用餐前将队伍的最后一名成员固定住 Immobilizing the last member of a Party before dining
46	用触碰使逃跑的熊地精失去行动能力 Incapacitating a fleeing Bugbear with a touch
47	在湿滑长满苔藓的墙上缓缓蠕动前行 Inch-worming its way up a slick, mossy wall
48	用触须徒劳地抽打一尊活体雕像 Lashing a Living Statue futilely with its tentacles
49	正在一只巨大的麻痹猫头鹰熊身上产卵 Laying eggs on a large paralyzed Owl Bear
50	被一条绿色铜链拴住，显然饥饿难耐 Leashed with a green copper chain, obviously hungry
51	徘徊着寻找残羹剩饭，等待更大的同类吃完 Lingering for scraps as a larger one finishes eating
52	扑向一只倒挂在天花板上熟睡的巨型蝙蝠 Lunging at a Giant Bat, asleep on the ceiling
53	潜伏在深邃阴暗壁龛的潮湿之中 Lurking in the damp of a deep, dark, alcove
54	正在啃食一位目不转睛的侏儒的鼻子 Nibbling on the nose of an unblinking Gnome
55	正在嗅闻一只散发腐烂气味的死虎甲虫 Nuzzling a dead Tiger Beetle that smells of rot
56	用蠕动的面部在地面上摸索前行 Palpating the floor before it with its squirming face
57	正在麻痹一名身穿板甲的圣骑士 Paralyzing a plate mail wearing Paladin
58	在走廊巡逻，由当地居民训练 Patrolling a corridor, trained by local denizens
59	纠缠一只食尸鬼，后者不断将其踢开 Pestering a Ghoul, who keeps kicking it away
60	用前肢戳弄一块发霉的垫子 Poking at a moldy cushion with its forelimb
61	正在潜行前往一处秘密地下城出口 Prowling towards a secret dungeon exit
62	用口器碾碎一只穴居人的头骨 Pulverizing a Troglodyte skull with its' mouthparts
63	正贪婪地追逐一只较小的爬行者 Pursuing a smaller Crawler ravenously
64	正在从丢弃的火腿上刮下最后一点肉屑 Rasping the last bits of meat from a discarded Ham
65	散发着腐肉和腐烂尸体的恶臭 Reeking of rancid carrion and decaying flesh
66	误吞下一把硬币后正在反刍 Regurgitating a handful of coins, swallowed by mistake
67	正在从巨魔的恶咬伤口中结痂愈合 Scabbing over from a nasty bite from a Troll
68	正在攀爬一个布满尖刺的深坑边缘，嘴里叼着一只狗头人 Scaling the side of a deep spiked pit, Kobold in mouth
69	在踩到绿色粘液后，匆忙沿着墙壁爬下 Scampering down a wall after stepping in Green Slime
70	慌忙躲避一只饥饿的巨型蟾蜍 Scrambling to avoid a hungry Giant Toad
71	从凹陷的头盔中刮出脑浆碎屑 Scraping bits of brain out of a dented helmet
72	触发尖叫者菌落，浑然不觉还是吸引猎物？ Setting off Shrieker colony, oblivious or attracting meals?
73	躲在一根破败的陶瓷排水管中避雨 Sheltering in a crumbling ceramic drainpipe
74	因期待而颤抖抽搐：死狼 Shivering and twitching with anticipation: Dead Wolf
75	害羞地匆匆躲进几个箱子之间的藏身处 Shyly scurrying to a hiding place among several chests
76	在布满铁蒺藜的地板上轻松爬行 Skittering across a caltrop covered floor easily
77	正吸食着一只仍在抽搐的巨型鼩鼱，开始大快朵颐 Slurping as it starts to eat a still twitching Giant Shrew
78	嗅着一只被丢弃且散发着恶臭的旧靴子 Snuffling an old discarded and quite smelly boot
79	在巨型蜘蛛网的丝线中蠕动 Squirming in the strands of a Giant Spider's web
80	将盗贼尸体的精选部分藏匿起来以备后用 Squirreling away choice bits of a Thief's body for later
81	跟踪一群迷路的青少年寻宝者 Stalking a group of lost teenage Treasure Hunters
82	避开一群盗蝇的蜂拥 Steering clear of a swarm of Robber Flies
83	紧贴在地板陷阱门的另一侧 Sticking to the other side of a trap door on the floor
84	散发着夏日停尸房般的刺鼻恶臭 Stinking sharply of a charnel house in Summer
85	轻抚门把手，为其涂上麻痹毒素 Stroking a door handle, coating it in numbing toxins
86	正努力使一只沉睡的食尸鬼陷入麻痹状态 Struggling to paralyze a sleeping Thoul
87	将自己紧紧塞入墓穴壁龛中睡觉 Stuffing itself tightly within a burial niche to sleep
88	正在品尝一具骷髅，站得笔直 Taste-testing a Skeleton, standing at attention
89	体内闪烁着光芒，刚刚吞食了一只死去的火甲虫 Throbbing with inner light, just ate a dead Fire Beetle
90	将链甲扔到一旁，尽情享用其中的战士 Tossing aside chainmail to feast on the Fighter within
91	追踪一只被矛陷阱所伤的兽人 Tracking an Orc, wounded by a spear trap
92	被困在坑底，因炼金术处理过的滑腻侧壁无法脱身 Trapped at the bottom of a pit by alchemically slick sides
93	在下方突如其来的刺骨寒风中微微颤抖 Trembling slightly in a sudden frigid breeze form below
94	扭断蜥蜴人的头颅，发出令人作呕的声音 Twisting off the head of a Lizard Man a sickening sound
95	激怒一个哥布林部落，封锁他们的捷径 Vexing a Goblin tribe by blockading their shortcut
96	耐心等待当地狗头人部落的喂食 Waiting patiently to be fed by the local Kobold tribe
97	卡在生锈的塔盾下 Wedged under a rusty Tower Shield
98	令人作呕且恶臭难闻，你从这里就能闻到它的气味 Wretch-inducing and fetid, you can smell it from here
99	在昏暗的光线中，蠕动的触须闪闪发亮 Writhing tentacles glistening in the dim light
100	在墙面上曲折爬行，显然在避开地衣 Zigzagging across a wall, apparently avoiding the lichen
