1d100	活动-骡子
1	在崎岖的地面上缓步前行，谨慎地选择每一步 Ambling across broken ground, picking deliberate steps
2	吸引了一群肥大苍蝇，嗡嗡作响并叮咬 Attracting a swarm of large, fat Flies that buzz and bite
3	在墓穴入口处倔强不前，如同圣武士拉拽缰绳一般 Balking at a Barrow Entrance, as a Paladin pulls their lead
4	驮着鼓胀的驮篮，满载口粮和登山钉 Bearing a bulging Pannier, brimming with Rations and Pitons
5	向所有来者乞求耳后抓挠 Begging all comers for scratches behind the Ears
6	察觉到隐形追踪者后行为异常 Behaving erratically after sensing an Invisible Stalker
7	当矮人将它们从苹果树上拽下时，发出抗议的嘶鸣 Bellowing protest as a Dwarf yanks them from an Apple Tree
8	咬噬着它们被跳蚤叮咬的前腿，同时甩动着尾巴 Biting at their flea-bitten foreleg, as they swish their tail
9	油坑着火后，骡子惊慌逃窜 Bolting after a puddle of Oil catches fire
10	将商人的货物运送到遥远的半身人聚居地 Bringing a Trader's goods to a distant Halfling enclave
11	在五彩斑斓的蘑菇丛中觅食，寻找美味佳肴 Browsing among multicolored Mushrooms for a tasty treat
12	甩下一个经验不足的弩手 Bucking off an inexperienced Crossbowman
13	驮着匆忙捆扎的柴火捆在背上 Carrying hastily tied bundles of Firewood on her back
14	咀嚼着渗出鲜血般液体的树叶 Chewing on Leaves that leak blood-red liquid
15	选择一条不那么陡峭的路径，尽管主人抗议 Choosing a less steep path, despite their owner's protests
16	因鞍带断裂而突然停下，发出咔嗒声 Clattering to a stop as a saddle strap snaps
17	每走一步都以固执让主人困惑不已 Confounding Owner at every turn with their stubbornness
18	用大而响亮的牙齿将高草啃短 Cropping tall grasses short with large, loud teeth
19	自信地穿越一座危险破败的桥梁 Crossing a dangerously derelict bridge with confidence
20	将一条相当大的蛇猛砸向巨石 Dashing a rather large Snake against a Boulder
21	哀悼一位已故外交官那蜷缩的尸体 Desponding over the crumpled body of a deceased Diplomat
22	狂食发酵无花果，醉得相当厉害 Devouring fermented Figs and getting quite Drunk
23	拖拽着临时担架，运送一名受伤的战士 Dragging a makeshift liter carrying a wounded Warrior
24	从动物驱动的井中取水 Drawing water from an animal powered Well
25	从苦行僧的陶罐中大口饮水 Drinking deeply from a Dervish's Clay Jug
26	趁农夫分心时，吃下与自身体重相当的卷心菜 Eating their weight in Cabbages while a Farmer is distracted
27	警惕地注视着黑暗的洞穴入口，耳朵竖起 Eying a dark cave entrance suspiciously, ears perked
28	不断放屁，让潜行的盗贼大为恼火 Flatulating constantly, much to the chagrin of a Sneaky Thief
29	逃离一群喋喋不休的食尸鬼 Fleeing from a pack of gibbering Ghouls
30	用灵巧的尾巴驱赶昆虫 Flicking their dexterous tail to swat away Insects
31	在深且不稳定的沙地中挣扎 Floundering in deep, unstable sands
32	忠实地跟随过度兴奋的毛皮商，驮着成堆的毛皮 Following their over-excited Furrier dutifully, piled with pelts
33	涉过湍急的河流，毫不在意 Fording a rushing river, utterly unfazed
34	勇敢地冲向一只啜泣的蝎尾狮 Galloping bravely towards a sniveling Manticore
35	在主人滑下悬崖时抓住其斗篷 Grabbing their owner by the Cloak as they slip off a cliff
36	在一片未割的干草田里愉快地吃草 Grazing happily on an unmown hay field
37	引导一位盲人朝圣者前往隐秘且极为神圣的神殿 Guiding a blind Pilgrim to a hidden, very sacred Shrine
38	用链条拖拽一块部分砍削的大块木材 Hauling a large piece of partially hewn lumber on chains
39	无视一位沮丧商人的命令 Ignoring commands from a frustrated Merchant
