1d100	活动-骷髅
1	驱赶走一只吵闹的猫头鹰后，前往附近的房间休息 Adjourning to a nearby chamber after driving away a noisy Owl
2	身披发出声响的青铜链条，预示它们的到来 Adorned with noisy bronze chains that foretell their arrival
3	摇摇晃晃地走过布满岩石的地面 Ambling on unsteady legs, across a rock-strewn floor
4	愤怒地从泥塑像上抓下黏糊糊的块状物 Angrily clawing gooey chunks from a mud effigy
5	在移动一尊雕刻偶像后缓慢复苏 Animating slowly after a graven idol is moved
6	及时赶到，协助一只几乎胜利的食尸鬼 Arriving in time to assist a nearly victorious Ghoul
7	骑乘着仍能攀爬墙壁的巨型蜥蜴骨架 Astride skeletal Giant Lizards that can climb walls still
8	躲避一只饥渴的黑布丁怪 Avoiding a bone hungry Black Pudding
9	用生锈的刀剑敲打凹陷的盾牌 Bashing rust-covered blades against dented shields
10	在圣日围攻附近的旅店 Besieging a nearby Inn, only on Holy Days
11	覆盖着黑色甲虫，滴落着玛瑙般的瀑布 Blanketed with black beetles, dripping in onyx cascades
12	在灯油自焚后略微焦黑 Charred slightly after lamp-oil immolation
13	机械地凿刻着已采尽的矿脉 Chiseling at a played-out seam, mechanically
14	在回声的地板上咔嗒作响，左顾右盼 Clattering across an echoey floor, glancing to-and-fro
15	被迫和平地护送任何访客至最近的出口 Compelled to peacefully escort any visitors to the nearest exit
16	碾压他们遇到的每一个无人看管的头骨 Crushing every single unattended skull they come across
17	悬挂在一盏巨大的低垂吊灯上 Dangling from a massive, low-slung chandelier
18	被骨虫侵蚀变形，部分区域几乎被蛀穿 Deformed by Bone Worms, practically perforated in places
19	披挂着几片干瘪、木乃伊化的皮肉 Draped with dangling bits of leathery, mummified flesh
20	不停操练，向缺席的队长敬礼 Drilling incessantly, presenting arms to an absent captain
21	消灭这个房间内所有活物，直至最后一只老鼠 Eradicating every living thing, down to the Rats, in this room
22	未能加固门扉，食人魔破门而入 Failing to brace a door as an Ogre smashes through
23	每次跨过镶嵌的银圈时都会略微踉跄 Faltering slightly every time they cross an inlaid silver circle
24	对坐在王座上的干瘪国王尸体谄媚奉承 Fawning over their King, a shriveled corpse, seated on a throne
25	在一场混乱的混战中抵御哥布林掠夺者 Fending off Goblin looters in a frantic fracas
26	用脆弱的鸟骨或蝙蝠骨花环装饰拱门 Festooning an arch with brittle, bird/bat bone garlands
27	机械地向路过的圣徒雕像屈膝行礼 Genuflecting mechanically as they pass a statue of a Saint
28	被关在散落硬币的笼中绞刑架上，静待时机 Gibbetted in cages littered with coins, biding their time
29	每张嘲笑的颚骨上都装饰着闪闪发光的金牙 Glittering Gold Teeth adorn each jeering jaw
