1d30	活动-鲭鲨
1	饥饿地接近一群渔民的船队 Approaching a fleet of Fishermen hungrily
2	残忍地啄食一只膨胀的翻车鱼 Brutally pecking at a bloated Sunfish
3	冲向闪闪发光的沙丁鱼群 Charging into a scintillating school of Sardines
4	正在撕咬一群扭动的墨色乌贼 Chomping on a writhing swarm of Inky Cuttlefish
5	在礁石周围疯狂搅动海水进行捕食 Churning the seas around a Reef in a feeding frenzy
6	环绕牧师游动，紧贴着漂浮的木桶 Circling a Cleric, clinging to a floating Barrel
7	紧紧咬住一名霍比特海盗的手臂 Clamping onto the arm of a Hobgoblin Buccaneer
8	迅速穿梭于海藻间，搜寻猎物 Darting swiftly through seaweed in search of prey
9	察觉到并受受伤水獭吸引 Detecting and drawn to a wounded Otter
10	正在啃食一具被遗弃的剑鱼尸体 Eating a scavenged Swordfish corpse
11	从地精拖网渔船的破损网中逃脱 Escaping from a Gnome Trawler’s damaged nets
12	在海洋巨蛇巢穴入口周围成群游弋 Flocking around the entrance to a Sea Serpent's Den
13	贪婪地吞噬鲭鱼群的边缘 Gobbling the edges of a shoal of Mackerel
14	被海食人魔用鱼叉刺中，希望用鲨鱼鳍做晚餐汤 Harpooned by a Sea Ogre hoping for Shark-fin soup supper
15	追逐海龙以获取散落的残骸 Hounding a Sea Dragon for scattered scraps
16	突然向鱼群中的另一条鲨鱼猛扑 Lunging unexpectedly at another Shark in the shiver
17	潜伏在沉没帆船的肋骨残骸间 Lurking among the ribcage of a Sunken Galleon
18	威胁人鱼商人的海马驮兽 Menacing a Merman Trader's Sea Horse draft animals
19	正在追赶一艘划桨船，目标是一位溺水的桨手 Overtaking a Galley, after a drowning Rower
20	巡逻其海巫女的珊瑚环礁 Patrolling their Sea Sorceress' Coral Atoll
21	追逐沉船潜水员，主要是出于好奇 Pursuing a Wreck Diver, mostly out of curiosity
22	迅速吐出一只带刺的河豚鱼 Quickly spitting out a spiny Pufferfish
23	以翼状胸鳍破浪疾驰 Racing through waves with wing-like pectoral fins
24	在赶走一只好奇的海豚后重新出现 Reappearing after chasing off an inquisitive Dolphin
25	被任性的水生精灵半驯化 Semi-domesticated by capricious Aquatic Elfs
26	沿着海底懒洋洋地潜行 Slinking sleepily along the Seabed
27	因过度捕捞而饥饿，攻击船只 Starving due to overfishing, attacking Boats
28	从长钓线上偷走一条鲟鱼 Stealing a Sturgeon off a long fishing line
29	研究一群鲥鱼，试探其弱点 Studying a school of Shad, probing for weakness
30	迅速游动在一艘海盗船旁边 Swimming swiftly alongside a Pirate Ship
