1d30	活动-黑寡妇
1	正在切除一只洞穴蝗虫的后腿 Amputating the hind leg of a Cave Locust
2	将仍在抽搐的虎甲虫吊到角落以备后用 Hoisting a still twitching Tiger Beetle into a corner for later
3	正在孵育卵囊，不停地滚动它 Brooding an Egg Sac, rolling it around and around
4	正在束缚几只挣扎的蚊蝠 Immobilizing several struggling Stirges
5	正在吞噬一位交欢后扭曲的卡萨诺瓦 Cannibalizing a contorted Casanova post coitus
6	将兽人的器官液化，使其僵硬苍白 Liquifying the organs of an Orc, stiff and pale
7	在角落吐丝以重建它们的蛛网 Casting silken strands into corners to rebuild their web
8	精心修补她受损的蛛网 Mending her damaged meshwork meticulously
9	威胁性地悬挂在布满蛛网的天花板上 Clinging menacingly on a cobwebbed ceiling
10	用蛛网完全遮蔽出口/入口 Obscuring an exit/entrance completely with webbing
11	正在将一名面色苍白的侍僧裹入茧中 Cocooning an ashen faced Acolyte
12	反复梳理其怪异的颚部 Preening monstrous mouthparts repeatedly
13	在峡谷间搭建更坚固的引导索 Constructing a sturdier guideline across a chasm
14	迅速垂降以捕捉一只挣脱的盗蝇 Rappelling rapidly to fetch a Robber Fly that wriggled free
15	丢弃一只被彻底吸干的巨型蝙蝠的空壳 Discarding the husk of an utterly drained Giant Bat
16	随着大地精的靴子踩过，退入一个便利的壁龛中 Retiring to a convenient alcove as Hobgoblin boots stomp by
17	吃掉受损的蛛网以恢复必要的营养 Eating damaged webs to regain essential nutrients
18	通过吐丝器缓慢下降 Slowly descending via their spinnerets
19	用精心布置的蛛网困住几只小精灵 Ensnaring several Sprites with strategically placed toil
20	轻盈地踏过布满陷阱的危险地板 Stepping lightly over a treacherously trapped floor
21	正在纠缠一名地精保镖，后者正前往背叛国王的路上 Entangling a Goblin Bodyguard, on his way to betray the King
22	拨动蛛丝，吸引好奇的尸骸爬行者靠近 Strumming strands to draw a curious Carcass Crawler closer
23	从巢穴中抛出盔甲碎片和头盔，发出哗啦声 Flinging bits of armor and a helm from her home with a clatter
24	悬挂一只被包裹的兵蚁 Suspending an enveloped Driver Ant
25	在潮湿中闪烁着黑色光泽，她那标志性的红色计时器闪耀着 Glistening black in the damp, her telltale red timer blazing
26	转向面对试图营救朋友的半身人 Swiveling to confront a Halfling, trying to rescue a friend
27	温柔地守护着她四处爬行的蜘蛛幼崽 Guarding her skittering spiderlings tenderly
28	拉扯丝线以测试其韧性 Tugging on a silken skein to test its resiliency
29	悬挂在她纤细的蛛网住所中央，纹丝不动 Hanging, stock-still, in the center of her gossamer abode
30	编织出一座错综复杂的华丽蛛网迷宫 Weaving a magnificent labyrinth of interlacing webs
