1d20	特征-魔鬼猪猡
1	餐桌礼仪极差，挥舞着鸡腿手舞足蹈 Atrocious table manners, gesticulating wildly with chicken leg
2	深陷在圆润脸庞中的小眼睛，却有着奇异的吸引力 Beady eyes deep-set in a plump face but oddly compelling
3	从衣领中探出的项链，形似人类的牙齿 Peeking out from collar, a necklace looks like Huma n teeth
4	大腹便便，体态臃肿，双眼布满血丝，泪眼朦胧 Pot-bellied and portly, with rheumy, bloodshot eyes
5	不停地奔跑，圆脸上翘起的鼻子格外显眼 Constantly running, turned up nose centered in a round face
6	肥胖手指上戴着珍贵的戒指，因挤压而显得鼓胀 Precious rings on fat fingers, squeezing and bulging
7	肥胖的腹部因持续不断的喘息笑声而颤动 Corpulent belly quakes with incessant, wheezing laughter
8	尖锐如针的牙齿与细长咧笑的嘴唇 Sharp, needle like teeth and narrow, grinning lips
9	容易数不清那堆叠的下巴数量 Easy to lose count of the number of bulging chins
10	令人不安的眉毛缺失/半透明皮肤 Somewhat unsettling lack of eyebrows/semi-translucent skin
11	油腻的细发在波动的下巴上分散了注意力 Greasy, fine hair distracts on a rippling chin
12	巨大的宽鼻上布满了蛛网般的毛细血管 Spidery capillaries adorn an extremely large and wide nose
13	体型惊人，不禁让人为制带匠感到惋惜 Incredible girth, one can't help but feel sorry for belt-maker
14	兴奋地尖叫着，同时倒出一杯浓郁的红葡萄酒 Squealing excitedly while pouring a goblet of rich, red Claret
15	每说一句话，下颚的垂肉便随之颤动舞动 Jowls that jiggle and dance with every word
16	浑身散发着过量香水的刺鼻气味，勉强掩盖着浓重的体臭 Stinking of over-applied perfumes, barely masks bad body odor
17	喧闹不止，伴随着狂笑和咯咯笑声，间或响起响亮的鼻息声 Noisy, guffaws and chortles, punctuated with loud snorts
18	粗短四肢，穿着异常小巧且尖头十足的鞋子 Stubby, short limbs with unnaturally tiny, very pointy shoes
19	曾经精致的衣物，如今布满了可疑的污渍 Once fine clothing, covered in questionable stains
20	肿胀却灵巧的双手，悬挂在摇摆晃动的粗壮手臂末端 Swollen but nimble hands at the end of bulgy, joggling arms
