1d10	圣物-中立
1	星辰祈祷念珠。将准备神圣法术所需时间减半（按OSE标准规则），或每回合准备仪式祈祷的时间计为两倍。 Prayer Beads of the Stars. Halves the time required to prepare divine spells (OSE standard rules) or, each turn spent preparing a ritual prayer counts as two.
2	羽爪头饰。牧师可将“治疗重伤”、“治愈疾病”和“中和毒素”法术视为一级法术。 Headdress of Feathers and Claws. The cleric may consider the cure serious wounds, cure disease, and neutralize poison spells as level one spells.
3	青铜转经轮法杖。法杖+2，视为圣徽。 Bronze Staff of Prayer Wheels. Staff +2, counts as a holy symbol.
4	初母之玉。圣徽。使自然恢复速度翻倍；治疗法术额外恢复+2生命值。 Jade of the First Mother. Holy symbol. Doubles natural healing rate; healing spells restore +2 hp.
5	尖塔钢链甲 +2，对抗毒素的豁免检定+4。蛇类永远不会攻击穿戴者。 Spiresteel. Chainmail +2, +4 to saves versus poison. Snakes never attack the wearer.
6	守护者之盾。+2盾牌。中立随从获得所有豁免+1及忠诚度+1。 Shield of the Defender. Shield +2. Neutral retainers gain +1 to all saves and +1 to loyalty.
7	暮光空白面具。佩戴者获得60英尺的夜视能力，并能立即知晓10英尺内每个角色、怪物、物体或地点的阵营。 Blank Mask of Twilight. The wearer gains infravision to 60’, and has immediate knowledge of the alignment of every character, monster, object, or location within 10’.
8	先知之杖。+1法杖。牧师可将侦测陷阱、定位物体和通神术视为一级法术。 Staff of the Seer. Staff +1. The cleric may consider the find traps, locate object and commune spells as level one spells.
9	平等者。大型战锤+2（1d8伤害，钝击，缓慢，双手）。 The Equalizer. Large war hammer +2 (1d8 damage, blunt, slow, two-handed).
10	银叶冠冕。佩戴者可重掷一次失败的豁免检定。 Silver Tiara of Leaves. The wearer may reroll a failed save.
