1d10	圣物-守序
1	永恒之门。圣徽。驱散亡灵检定+1。 The Gate of Eternity. Holy symbol. +1 to turn undead rolls.
2	审判之锤。战锤+2，对抗混乱生物时+4。 Hammer of Judgment. War hammer +2, +4 vs chaotic creatures.
3	信仰之盾。坚不可摧的水晶盾牌，+2防御。佩戴者对凝视类能力免疫。通过命令词可激活或关闭盾牌上的持续光亮法术。 Shield of Faith. Indestructible crystal shield +2. The wearer is immune to gaze powers. Command word activates and deactivates continual light spell on the shield.
4	律法简编。小册子。将准备神圣法术所需时间减半（OSE标准规则），或每回合准备的仪式祈祷视为两回合。 Breviary of the Law. Small book. Halves the time required to prepare divine spells (OSE standard rules) or, each turn spent preparing a ritual prayer counts as two.
5	天使青铜钟。大型物品（需要合计力量25才能携带）。所有听到钟声的守序牧师，其治疗法术的恢复效果翻倍，直至次日黎明。 Bronze Bell of the Angels. Large item (requires a combined strength of 25 to be carried). All lawful clerics who hear the bell chime heal twice the hp with their healing spells until the following dawn.
6	圣战之甲。+2板甲，对抗法术的豁免检定+2。 Battle Vest of the Holy. Plate mail +2, +2 to saves versus spells.
7	十字军王冠。守序随从在所有豁免、攻击和伤害掷骰上获得+1加值，忠诚度+2。 Crown of the Crusader. Lawful retainers gain +1 to all saves, attack and damage rolls, and +2 to Loyalty.
8	大祭司圣袍。长袍（可穿在盔甲外）。防御等级+1，所有豁免+1。 Vestment of the Hierophant. Tunic (may be worn on top of armor). +1 to AC, +1 to all saves.
9	天冠之锤。+1钉头锤，若由守序角色持用则提升至+3。对抗不死生物时，可闻天界圣歌，30英尺内所有不死生物攻击掷骰、伤害及豁免均受-1减益。 Crowned Mace of the Heavens. mace +1, +3 if wielded by lawful characters. When fighting undead creatures, a heavenly choir is heard, and all undead within 30’ of the mace suffer -1 to attack rolls, damage, and saves.
10	圣洁法冠。佩戴者可重掷一次失败的豁免检定。 Miter of Holiness. The wearer may reroll a failed save.
