1d100	物品-魔法水袋
1	旋转于地面时，始终指向最近的淡水水源 Always points to nearest source of Fresh Water when spun on the Ground
2	将魔法武器浸泡于此水中，其所有力量将被抑制一昼夜。 Bathe a Magic Weapon in Water from this, all Powers Suppressed for a day and night
3	每日清晨，液体表面显现鸟类、昆虫、哺乳动物或鱼类图案：其内容物能驱散这些生物。 Bird, Insect, Mammal, or Fish appears on it each AM: Contents repel these Creatures
4	用此液体淬火的刀剑注定将斩杀龙兽与飞龙 Blades quenched using Liquid from this are destined to Slay Drakes and Wyverns
5	每日三次，按需煮沸置于其中的液体 Boils liquids placed within on Demand, thrice daily
6	若注入水与相应茶叶，可瞬间泡制出茶饮 Brews Teas instantly if filled with Water and the appropriate Leaves
7	可远超预期容量装填：每日至少供应二十人份的水 Can be filled well beyond expected Capacity: Enough daily Water for at least twenty
8	犬类饮用此液体后将获得言语能力 Canines drinking from this are gifted the Power of Speech
9	小心地将魔法液体通过魔法戒指倒入杯中：饮用后，可获得关于其功能的幻象。 Carefully Pour through Magic Ring into Cup: Drink, and receive Visions of function
10	可容纳最多四种自选液体（体积相同），开启时由持有者决定释放何种液体 Carries up to four Liquids of your choice (same volume), bearer chooses when opened
11	牧师若被说服饮下此物，将在一整天内失去祈祷能力。 Cleric's convinced to drink from this Lose access to their Prayers for a full day
12	涂抹于死亡生物体上，可完全阻止其腐烂，效果持续长达三周。 Coat a Dead Organism to completely prevent Decay for up to three weeks
13	通过将你的一颗牙齿浸泡一周，可以召唤出你曾经品尝过的任何饮料。 Conjure any Beverage you've ever Tasted by soaking one of your Teeth for a Week
14	内容用作墨水：书写内容仅对饮用过此液体者可见 Contents used as Ink: Writing only visible to those who have drunk from it
15	根据气候或饮品需求，或清凉提神，或温暖振奋 Cool and Refreshing or Warm and Invigorating as Climate/Beverage Dictates
16	治愈一种特定疾病一次，随后切换至另一种，最多可治愈十二种疾病 Cures a Specific Disease once, then switches to another, up to twelve Diseases
17	对狮身人面像、奇美拉和蝎尾狮而言，饮用此物将致命剧毒。 Deadly Poisonous to Sphinges, Chimera, and Manticora should they drink from it
18	将箭头浸入其中可快速镀银，每日最多可处理2d6支 Dip Arrowheads within for quick Silvering, up to 2d6 per day
19	能够扑灭元素之火，前提是需盛满高山融雪之水 Douse even Elemental Fires, provided it's filled with Snowmelt from a Tall Peak
20	滴几滴在你的影子上，它会脱离并为你侦察长达一小时 Dribble a bit on your Shadow, it detaches and will Scout for you for up to an hour
21	饮用此液体将使饮用者失明、失聪、失语或麻木：由饮用者自行选择 Drinking from this Renders drinker Blind, Deaf, Mute, or Numb: Drinker's Choice
22	将几滴液体洒在沉睡的生物身上，饮下后入睡，便可与其共享梦境。 Drizzle a few drops on a Sleeping Creature, drink, fall asleep and share their Dreams
23	昏昏欲睡的饮者无论噪音或舒适度如何都能安然入睡 Drowsy Drinkers will have no issue Sleeping regardless of Noise/Comfort
24	每周倒于门下，会带回另一侧的水洼倒影 Each Week, poured under a Door will return with a Puddle Reflection of other side
25	几滴酒即可诱使任何种类的蛋立即孵化。 Eggs of any kind can be coaxed to hatch immediately with a few drops of Wine
26	消除书写：每周一次，通过泼水可消除任何书写，包括刻在石头上的符文 Eliminate Writing: Even Runes carved in Stone, by pouring water over them 1/week
27	左手开启时为空，右手开启时则盛有正常内容物 Empty when opened with Left Hand, normal contents when opened with Right
28	神秘地使其倾倒之物瞬间干燥 Enigmatically dries anything it's poured upon
29	即使是最难闻的饮品也散发出芳香：对食尸鬼而言，其效果如同嗅盐。 Even the most foul smelling Drink is Perfumed: Works as Smelling Salts for Ghouls
30	昂贵的葡萄酒内含有真言药剂，可针对单一问题生效 Expensive Wine from within acts as a Truth Serum for a single Question
31	能从任何放置其旁的水果或花朵中提取汁液或花蜜 Extracts the Juice or Nectar from any Fruit/Flower placed next to it
32	灌满大教堂屋顶的圣水：饮用后化身为石像鬼，持续1小时 Fill with Water from a Cathedral Roof: Drink and Transform into a Gargoyle for 1 hour
33	从这片水体中捕捞的鱼儿几乎会自行跃入渔网，但其中一些会开口说话。 Fish from a Body of Water this is filled from practically leap into Nets, but some Speak
34	生成液体绳索（最长50英尺），仅持续十分钟 Generates Liquid Rope (up to 50') that only lasts for ten minutes
35	来自土元素位面的奇物：倒出速凝水泥般的物质 Gewgaw from the Plane Of Earth: Pours a quick setting Cement of sorts
36	小心翼翼地倒在石化者身上：每周一次，恢复血肉之躯持续3小时 Gingerly poured on the Petrified: Restore to Flesh for 3 hours, once a week
37	每周饮用一次勇气之饮，以增强对恐惧效果的抵抗力 Gulp Liquid Courage once weekly to steel oneself against Fear Effects
38	盗贼之手浸入此液后变得笨拙颤抖：技能往往失效 Hands of a Thief washed in this become Clumsy and Shaky: Abilities tend to fail
39	助益液体桥，跨度可达40英尺，持续1小时：仅能赤足通过 Helpful Liquid Bridge, spans up to 40 feet, lasts 1 hour: Only cross with bare feet
40	从此瓶中倒出的圣水可使饮用者获得一日内免受侦测法术影响的免疫效果。 Holy Water poured from this over someone grants immunity to Scrying for 1 day
41	若将此液体倒在感染伤口上，可获得再次抵抗疾病的机会 If poured on an infectious Wound, receive another chance to shake any Disease
42	饮用者每天一次，最多可在一小时内对植物/真菌隐形 Imbiber becomes Invisible to Plants/Fungus for up to an hour once a day
43	赋予任何置于其中的液体溶解外壳或骨骼的能力 Imparts the ability to Melt through Shell or Bone on any Liquid Placed within
44	用此牛奶哺育的婴儿将成长为强大的战士 Infant Nursed with Milk from this will grow to become a powerful Warrior
45	涂有此液体的无机物会发出柔和光芒，持续一小时 Inorganic Objects coated in Liquid from this glow softly for an hour
46	瞬间去除任何纺织品或盔甲上的魔法污渍 Instantly removes even Magical Stains from any Textiles or Armor
47	神奇的是那可拆卸的瓶塞：能封住手掌大小以下的任何破洞或孔洞 It's the detachable Stopper that's Magical: Seal any Puncture/Hole under a handspan
48	开启时发出的哀嚎声虽微弱，却令巨魔无法忍受 Keening Wail when opened is barely audible but intolerable to Trolls
49	空瓶时能从弓箭射程内的他人身上汲取液体以保持满溢 Leeches liquids from others within bowshot when Empty to stay topped-off
50	能够清除任何石雕上的苔藓、地衣甚至些许侵蚀痕迹 Lichen, Moss, and even a bit of Erosion can be removed from any Stone Carvings
51	置于其中的液体被充氧：每周一次，提供一小时的水下呼吸能力 Liquids placed within are Oxygenated: Water Breathing for an hour 1/week
52	使水变得好奇：滴出一些，它会流向隐秘之物 Makes water Inquisitive: Dribble some out, it flows toward Secret Things
53	能够精确计时，填充至特定水位，像水钟一样滴落 Manages to keep Impeccable Time, fill to certain levels, drips like a Clepsydra
54	倾倒内容物时，能瞬间融化冰或雪 Melts Ice or Snow instantly when the Contents are Poured upon it
55	若将此水倾洒于金属条或镣铐之上，它们将如沙般溶解。 Metal Bars/Shackles dissolve like sand if Water from this is poured upon them
56	元素战争中的小型神器：提升水元素的反应，削弱火元素 Minor Artifact from Elemental Wars: improve Reaction from Water, lower Fire
57	对于起泡或长茧的脚部，即刻愈合，舒缓并平滑脚底与脚趾 On Blistered/Calloused Feet, instantly heals, soothes, smooths soles and toes
58	每周一次，赋予使用者石巨人之力（以及相应的食欲） Once per week, grants the Strength of a Stone Giant (and an appetite to Match)
59	贪婪地痛饮一加仑此血后，可变形为蝙蝠一小时。 Polymorph into a Bat for one hour by greedily gulping a Gallon of Blood from this
60	将液体倒入脚印中，每月可短暂查看留下足迹者的影像一次。 Pour liquid in a Footprint, briefly view who left the tracks once a month
61	强力吸力能轻易捕获软泥怪、胶质怪和史莱姆，释放时需谨慎。 Powerful suction captures Oozes, Jellies, Slimes with ease. Release carefully
