1d100	特征-圣徽
1	仅适用于小额计算的算盘 Abacus only functional for smaller sums
2	从中心圆环向外辐射的抽象雷电符号 Abstract Thunderbolts Radiating from Central Circle
3	解剖学上不准确的蛇怪？还是龙？ Anatomically incorrect Basilisk? Dragon?
4	锚，环绕着欢笑的鳗鱼 Anchor, encircled with Laughing Eels
5	缺失一大口的苹果 Apple with one big bite missing
6	关节活动的人偶 Articulated Marionette
7	秃头少女 Bald Headed Maiden
8	仁慈的圆润面孔，双眼被缝闭 Benevolent Pudgy Face, eyes sewed shut
9	缺失几片羽毛的鸟翼 Birdwing missing a few feathers
10	黑色道路向地平线逐渐消失 Black Road vanishing toward Horizon
11	带有拉长耳垂的流血耳朵 Bleeding Ear with elongated Lobe
12	带刺边缘的书籍 Book with barbed edges
13	上指搭箭的弓 Bow with nocked arrow pointing upward
14	枝状鹿角 Branch-like Antlers
15	砖墙镶嵌图案 Brick Wall Tessellation
16	断裂的镣铐 Broken Fetters
17	斑点球状蘑菇 Bulbous Spotted Mushroom
18	鼓胀的葡萄串 Bulging Bunch of Grapes
19	带鼻环的公牛 Bull with nose-ring
20	紫色蠕蛇缠绕的赫尔墨斯之杖 Caduceus, but Purple Worms
21	蜡烛覆盖着滴落的蜡油 Candle coated in dripping Wax
22	满溢的大釜 Cauldron Brimming
23	呈“S”形的蜈蚣 Centipede in an 'S' Shape
24	仪式头盔 Ceremonial Helmet
25	紧握的拳甲 Clenched Gauntlet
26	公鸡啼鸣 Cockerel crowing
27	端庄女性面容，蛇发 Comely Female Visage, Snake Hair
28	海螺壳 Conch Shell
29	丰饶之角中溢出金币 Cornucopia overflowing with Coins
30	齿状塔楼 Crenelated Tower
31	扭曲的六边形 Crooked Hexagon
32	王冠，弯曲至几乎断裂 Crown, bent to the point of breaking
33	饰有已故英雄形象的圆盘 Disc emblazoned with a long-dead Hero
34	带有半宝石眼睛的狗 Dog with Semi-Precious Eyes
35	龙爪紧握宝珠 Dragon Clutching an Orb
36	坚固之门，金属镶边 Durable Door, Metal-Bound
37	无尽结 Endless Knot
38	水平瞳孔的眼睛 Eye with Horizontal Pupil
39	覆盖着可怕藤壶的螃蟹 Fearsome Barnacle Covered Crab
40	五层烛台 Five-tiered Candelabra
41	七瓣花 Flower with Seven Petals
42	泡沫翻涌的酒杯 Frothing Mug
43	屈膝螳螂 Genuflecting Mantis
44	扭曲风化的大树 Gnarled, weatherworn Tree
45	摇摇欲坠的山羊 Goat balancing precariously
46	英俊冷酷眼神的男子 Handsome Cruel-Eyed Man
47	马头侧面像 Horsehead in profile
48	巨大的潮汐波浪 Humongous Tidal Wave
49	手持波浪刃匕首的婴儿 Infant armed with a Wavy-bladed Knife
50	精细镂空的蜻蜓图案 Intricately filigreed Dragonfly
51	暗色背景上的锐利爪形手 Jagged Clawed Hand on a Dark Background
52	兔形兽爪 Lagomorph Paw
53	豆荚，溢出三颗豆子 Legume pod, spilling three Beans
54	衔尾蛇，尾部含于口中 Lemniscate Serpent, Tail in Mouth
55	一块面包，切去一片 Loaf of Bread, Slice removed
56	神圣战锤 Mighty Maul
57	顽皮的海豚 Mischievous Dolphin
58	木乃伊化的使徒 Mummified Apostle
59	近乎真人大小的马蹄铁 Nearly Life-Size Horseshoe
60	橡树叶 Oak Leaf
61	喧闹的驴子 Obstreperous Donkey
62	展开的典籍，五边形背景 Open Tome, pentagonal background
63	华丽提灯 Ornate Lantern
64	腹部鼓胀的过度喂食青蛙 Overfed Frog with distended belly
65	牛轭 Ox Yoke
66	手掌，纹理细致 Palm of a Hand, detailed ridges
67	部分被蚀的月亮 Partially Eclipsed Moon
68	倾泻圣杯 Pouring Chalice
69	脓泪蠕虫 Pus Weeping Maggot
70	五目之阵 Quincunx of Eyes
71	拥有壮观犄角的公羊 Ram with impressive Horns
72	环状行星 Ringed Planet
73	后腿站立的咆哮熊 Roaring Bear on her Hind Legs
74	锯齿圆盘 Saw-toothed Disc
75	麦穗束 Sheaves of Wheat
76	闪耀的圣甲虫甲壳 Shimmering Scarab Carapace
77	蜿蜒游动的鱼群 Sinuous Fishes
78	六趾足印 Six Toed Footprint
79	缺了一颗门牙的骷髅头 Skull with a missing front tooth
80	独眼巨人的微笑 Smirking Cyclops
81	蜘蛛网 Spider Web
82	螺旋蜗牛壳 Spiraling Snail Shell
83	条纹猫脸 Striped Feline Face
84	坚固之桥 Sturdy Bridge
85	风格化的火焰 Stylized Flame
86	即将展翅飞翔的天鹅 Swan about to take flight
87	惊恐的曼德拉草根 Terrified Mandrake Root
88	布满荆棘的钥匙 Thorn-covered Key
89	三只老鼠，互相追逐 Three Mice, chasing each other
90	倒三角尖的三角形 Triangle with inverted tips
91	缩入壳中的乌龟 Turtle Withdrawn into Shell
92	展开的卷轴 Unfurled Scroll
93	空置的王座 Unoccupied Throne
94	复仇之蝎 Vengeful Scorpion
95	哭泣的恶魔 Weeping Devil
96	构造精良的圣井 Well-Built Well
97	带有蜜蜂色泽的飞翼奶牛 Winged Cow with Honeybee Coloration
98	眨眼的猫头鹰 Winking Owl
99	蠕虫奔腾 Worm Rampant
100	打哈欠的鳄鱼 Yawning Crocodile
