1d100	特征-佣兵
1	抓获了一名变形怪双倍薪金者后，人人自危 After apprehension of a Doppelgänger Doppelsöldner, everyone is on edge
2	盟友必须通过一场涉及巨鼩的入团仪式来证明勇气 Allies must prove Mettle with a Hazing Ritual that involves Giant Shrews
3	队伍中有几名训练有素的工兵，擅长破坏城墙 Among their number are a few well-trained Sappers to undermine Walls
4	弓箭手未命中目标的箭矢似乎会绽放成红花 Arrows of Archers that miss their Mark seem to sprout into Red Flowers
5	烘焙并食用一种奇特的骨粉面包，据说能赋予他们巨人之力 Bake and Eat a strange Bone-Meal Bread, said to grant them Strength of Giants
6	战斗间隙，常能见到他们以鸡蛇兽打斗为赌 Between Battles, you'll often find them wagering on Cockatrice Fights
7	能以近乎超自然的速度和效率搭建大型帐篷 Capable of erecting Large Tents with almost preternatural speed/efficiency
8	团长在接任务前常咨询年长和受伤的成员 Captain often consults Older and Wounded Members before taking on Work
9	拖着一架发射魔法弹药的投石车：无人能操作 Cart around a Catapult that fires Magical Ammunition: None can work it
10	骑兵异常擅长渡河，传闻他们的坐骑有凯尔比血统 Cavalry unusually adept at Fording Rivers, whispers of Kelpie-blooded Steeds
11	某些营火歌曲似乎对听众有魔法效果 Certain Campfire Songs sung seem to have Magical Effects on Listeners
12	咀嚼一种恶臭的根茎，使所有笑容变得深黑 Chew on a disgusting smelling Root that turns all Smiles deep Black
13	传播带有当地统治者丑闻的八卦小报 Circulate Scandal Sheets with salacious Gossip about Local Rulers
14	完全禁酒：若被敬酒会感到极度冒犯 Complete Teetotalers: Utterly offended if offered a Drink
15	成员多为寡妇，是可怕的战士 Composed of a high number of Widowed Women, fearsome Fighters
16	大战前咨询占星师，为此花费了不少薪水 Consultations with an Astrologer before Big Battles have cost them Wages
17	由一支半身人侦察兵精英团队提供卓越的战场视野/狙击 Crack Team of Halfling Scouts provide impressive Battlefield Awareness/Snipers
18	习惯在可能的地方种植果树，每人携带一袋种子 Customarily Plant Fruit Trees wherever they can, each carries bag of Seeds
19	正拼命试图赎回一个非常烦人的小王子 Desperately trying to Ransom a very Annoying Princeling
20	营地肮脏不堪，其臭味在空气中滞留数月 Dingy and Dirty, the stink of their Camps linger in the Air for Months
21	在决定性战斗前将矛尖浸入某处圣泉 Dip their Speartips in a certain Sacred Spring before Decisive Battles
22	几乎所有成员的手臂上都纹有独特的鹿形纹身 Distinctive Stag Tattoos adorn the Arms of nearly all Members
23	不容忍任何劫掠行为：对罪犯实施船刑 Do not Broker any Banditry: Outlaws/Criminals face scaphism as punishment
24	面色苍白，这些士兵极不喜在日光下作战 Drawn/Pale, these Soldiers have a strong distaste for fighting during Daylight
25	因长期条约：他们永不向矮人族举兵 Due to a long-standing Treaty: They will never raise arms against Dwarfkind
26	急于扩充队伍，不惧招募怪物和野兽 Eager to bolster their Ranks, unafraid of taking on Monsters and Beasts
27	纪律严明得诡异，人人使用“皇家我们”且眼神呆滞 Eerie degree of Discipline, everyone uses the Royal We and has glazed Eyes
28	每晚讲述阵亡战友的详尽纪念故事 Elaborate Tales of Remembrance for Fallen Fellows told each night
29	装备有油滑的兽人链甲和粗犷的剑 Equipped with a Cache of Oily Hobgoblin Chain and Brutalist Swords
30	时刻准备，随行携带数艘小划艇 Ever-prepared, they Travel with several small Row Boats in Tow
31	每位成员都配有一把野猪獠牙柄的匕首，许多人用餐时使用 Every member is issued a Boar Tusk handled Dirk, many dine with it
32	个个都是蘑菇采集专家，偶尔能采到魔法品种 Expert Mushroom Foragers to a one, sometimes harvesting Magical Specimens
33	受够了硬饼干和干肉，新鲜食物是他们的动力 Fed up with Hard Tack and Dried Meat, motivated by Fresh Food
