1d12	地形事件-树林
1	遭遇树上的伏击 Ambush by an Encounter in the trees
2	危险野兽；移动时遭遇 Dangerous beast; Encounter if you move
3	落木坠落，对你造成Td6点伤害 Deadfall falls for Td6 damage to you
4	发热；无法移动，持续1d4天 Feverish; can't move for 1d4 days
5	迷路了；下一步行动随机 Got lost; next move is random
6	坐骑/驮兽误食毒根，不幸身亡 Mount / pack beast eats toxic root, dies
7	非魔法装备物品断裂或腐烂 Non-magic gear item breaks or rots away
8	毒虫叮咬；造成1d4点伤害 Poisonous vermin bite; Td4 damage
9	茂密的植被；今日无法移动 Thick foliage; can't move today
10	有毒花粉；无法移动1d4天 Toxic pollen; can't move for 1d4 days
11	无迹可寻的荒野；接下来的1d4次移动随机 Trackless waste; next 1d4 moves random
12	虫害毁掉了1d4天的口粮 Vermin eat 1d4 days of food
