1d100	地形事件-道路
1	队伍遇到一位正在费力拉网的渔夫。若提供帮助，会发现网被一个覆盖着古老圣徽的生锈铁棺材卡住了。棺材感觉异常沉重。 The party comes across a fisherman struggling to pull his net up. If assisted, it turns out to have been stuck on a rusted iron coffin covered in old holy symbols. The coffin feels heavy.
2	队伍注意到一辆旅行马车周围的小径上有几座雕像。靠近后，他们发现其中一些雕像呈现出恐惧的表情和姿态。一只石化蜥蜴正在路边的灌木丛中享用其中一名受害者。由于它正忙于进食且已饱腹，队伍可以轻松绕过它，除非他们决定发动攻击。 The party notices several statues in the path around a traveling wagon. As they approach closer they notice some of the statues are in poses with expressions of fear. A basilisk is feasting on one of the victims in the bushes just off the path. Since it is preoccupied and full, the party can easily pass it unless they decide to attack it.
3	一位贵族及其随从正从一场极其失败的狩猎中归来。他提议，如果队伍能为他猎杀一头野兽带回展示给朋友，他将给予金币和食物作为报酬。 A noble and his entourage are returning from a very unsuccessful hunt. He propositions the party with gold and food if they can hunt a beast for him to take back and show his friends.
4	队伍遇到一辆马车，窗户中轻轻飘出烟雾。若调查，队伍会发现一位半身人烟斗商人正在吸食一种浓烈的烟叶。他会用一些烟叶换取玩家们的硬币。 The party comes across a wagon with smoke lightly flowing out of the windows. If investigated, the party will find a halfling pipe salesman smoking a strong strand of pipeweed. He will offer the players some of his pipeweed in exchange for coins.
5	"队伍遇到一群愤怒的人，他们正在将一堆树枝堆放在一个被绑在木桩上的老妇人脚下。他们高喊着“女巫”、“烧死她！”和“她是黑暗领主的仆人！”，并要求火把。 The party comes across a crowd of people with an angry disposition. They are placing stacks of branches around the feet of an old woman tied to a stake. They call for a torch amid cries of, ""Witch"", ""Burn her!"", and ""She's a servant of the dark lord!"""
6	队伍遇到一条清澈潺潺的小溪，有踏脚石可过，河岸良好，浅得足以让轻载的马车涉水而过，而且还有丰富的鱼类资源！附近的一位德鲁伊对任何怀着善意、轻步踏过这片土地的旅人都颇为友好。 The party comes across a clear babbling stream, stepping stone crossing, good banks, shallow enough to ford a lightly loaded wagon, and with good fishing too! A nearby druid is somewhat friendly with any travelers passing through with good intentions and a light step upon the land.
7	玩家们发现地上有一个洞，周围跪着鹿、狐狸和其他森林动物，似乎在祈祷。它们并非有智慧生物，但似乎戴着粗糙的王冠和其他装饰。洞中喷出白色烟雾，能引发幻觉。 The players come across a hole in the ground surrounded by deer, foxes and other forest animals kneeling in apparent prayer, they are not sentient but appear to be wearing crude crowns and other adornments. The hole spews a white smoke that causes hallucinations.
8	路边有一座供奉守序善良神祇的小神龛。神龛由一英尺厚的木墙构成，上方有小型屋顶，墙上凸出一尊神祇的木雕。墙上钉着几张写有祈祷文的羊皮纸碎片。神龛脚下摆放着各种供品：新鲜割下的谷物、鲜花、编织的手绳、一个男孩的木雕等。一个木碗里盛有2d6枚金币。 On the side of the road is a small shrine to a lawful good deity. The shrine is a one-foot-thick wooden wall with a small roof over it with a wooden carving of the deity protruding from the wall. A handful of scraps of parchment bearing prayers are tacked to the wall. Various offerings lie at the foot of the shrine: Fresh cut grain, flowers, a woven cord bracelet, a wooden carving of a boy, etc. A wooden bowl contains 2d6 gold pieces.
9	前方路边停着一辆装满萝卜的马车。一个驼背的农民正试图修理车轮上断裂的辐条。他请求队伍帮忙将修好的车轮装回马车。在帮助者成功通过力量检定后，农民作为感谢，向队伍提供了一些腌猪蹄，这些猪蹄算作优质口粮。 A horse and cart loaded with turnips is stopped on the side of the road up ahead. A hunched peasant farmer is attempting to fix one of the wheel’s broken spokes. He asks if the party can help him get the mended wheel back onto the cart. After a successful strength check from whoever helps him, the farmer offers the party some pickled pigs feet in thanks that count as good-quality rations.
10	队伍在路边发现一辆被掀翻并点燃的马车。拉车的马已被杀死，大部分肉被割走。马车夫的尸体在附近的灌木丛中被发现。如果队伍检查烧焦的马车内容物，会发现车上装载着许多幸运符包裹。大部分已被烧毁或熔化，但他们还是找到了3d10个完好无损的幸运符。 The party finds a cart on the side of the road that has been overturned and lit ablaze. The horse that was pulling the cart has been killed and much of its meat removed. The corpse of the cart driver can be found in the bushes nearby. If the party examines the contents of the charred cart they find it was carrying a number of bundles of lucky charms. Most of them have been burned or melted together, but they do manage to find 3d10 lucky charms that survived the fire intact.
11	偏离常道后，队伍来到一座显眼的山丘，山顶上有一块巨大的铁砧，似乎由构成山丘的石头制成。魔法从铁砧中散发出来，渗向任何靠近它的武器。 After falling off the beaten path, the party comes upon a prominent hill topped with a large anvil that appears to be made of the very stone that comprises the hill. Magic can be seen emanating from the anvil and seeping towards any weapon that is brought close to it.
12	一位老猎人向玩家们打招呼，邀请他们共享篝火午餐。他开始用滑稽的老人嗓音讲述过去的美好时光。午餐后，他继续滔滔不绝地讲着。玩家们需要巧妙地进行角色扮演，以免冒犯这位友善的老人，或者干脆不顾他的感受，直接离开。 An old hunter greets the players and offers to share his fire for lunch. He gets to talking about the good old days, and talks in a funny old man voice. After lunch, he keeps talking. And talking. And talking. The players have to get clever with roleplay to avoid offending the nice man, or just disregard his feelings and take off.
13	一只白鹿从你面前快速跑过。队伍中任何迷信的成员都会认为这是神明的征兆。你们的旅程将受到祝福！ A white hart crosses your path before quickly sprinting away. Any superstitious member of the party recognizes this as a sign from the Gods. Your trip is blessed!
14	队伍注意到一个小村庄外一英里处，一棵孤树的阴影下放着一个木桶。敏锐的眼睛会发现密封盖边缘有苍蝇嗡嗡飞舞；地面上明显有木桶被滚动或拖拽到这里的痕迹。如果队伍打开木桶，他们会发现一具年轻男子的浮肿尸体以不自然的姿势卡在里面。桶底还残留着约两到三英寸深的葡萄酒；年轻男子似乎穿着送货公司的制服。 The party notices a barrel sat in the shade of a lone tree a mile outside of a small village. Keen eyes spot flies buzzing about the edge of the sealed lid; the ground shows clear signs of the barrel having been rolled or dragged to this spot. If the party opens the barrel, they find the bloated corpse of a young man wedged in an unnatural pose inside. The bottom of the barrel still has about two to three inches of wine sat in it; and the young man appears to be dressed in the livery of a delivery company.
15	队伍遇到一条从主路岔出的小土路，路上飘来一股非常甜美、芬芳的香气。如果队伍跟随香气前行，他们将发现一片小野花田，这些花正是当地一种昂贵香水的原料。 The party comes across a small dirt path branching off the main road. A very sweet, fragrant scent is coming from this path. If the party follows it, they will come across a small field of flowers that are used in an expensive perfume in the region.
16	玩家们遇到一个陷入完全混乱的小村庄。一只因出生时带有神祇圣徽形状的胎记而被视为奇迹的小猪失踪了。整个村庄因贪婪和猜疑而四分五裂。 The players come across a small hamlet that is in complete turmoil. A piglet who was seen as a miracle because it was born with a birthmark in the shape of a deity's holy symbol has gone missing. The entire hamlet is torn apart by greed and suspicion.
