1d100	剧情转折（非魔法）
1	他们希望你偷他们的口袋 They wanted you to pick their pocket
2	"一位老人是早已消失的著名NPC，可能是邪恶或英雄人物。消失那天发生的事件抹去了他/她的记忆，自此过着平凡生活。 An old man/woman is an evil or heroic, ""well known"" NPC who disappeared a long time ago. The day he/she disappeared something happened that erased his/her memories and since then he/she lives a normal life."
3	玩家们为任务偷取的毒药后来被委托人用来杀害了队伍中的朋友或伙伴等NPC。 The poison the players had to steal as a quest is later used by the client(s) to kill an NPC that was a friend/partner etc. of the group.
4	一个工匠行会与另一地区签订合同，允许其工人进入该地区的森林/山脉获取木材/矿物，但实际上他们搜寻该地区未知的珍贵水晶等，甚至可能是该地区视为圣物的物品。 A guild of tradesmen has a contract with another region that allows them to send their workers to the region's forests/mountains in order to get wood/minerals but in reality, they search for precious crystals etc. the region didn't know about or which are even holy to the region.
5	队伍发现了一个针对国王家族的阴谋，但在揭露之前他们被逮捕了。 The party discovers a plot against the king's family, but they are arrested before they can reveal it.
6	那个行为可疑的NPC其实只是暗恋着某个相关的人（可能是队伍中的成员，也可能是另一个NPC）。 The NPC who's acting all suspicious really just has a crush on someone involved (maybe in the party, maybe another NPC).
7	一封加密信件被截获，破解密码后，团队发现信中描述的是他们的冒险事迹，而发件人和收件人身份不明。 A ciphered letter is intercepted and when breaking the cipher and the group realizes it is describing the party's exploits when both sender and receiver are not discerned
8	"最初的冒险任务/问题等是村民或委托人“设计/伪造”的，只为让经验丰富的冒险者留在身边，以应对他们尚未知晓的更大威胁。 The initial quest/problem etc. was ""seeded/faked"" by the villagers or client only to have experienced adventurers around to be protected by a much bigger threat the group doesn't know about"
9	PC们被派去寻找的麦高芬毫无价值；任务发布者只是为了让他们忙碌，以避免他们真正解决另一个问题。 The McGuffin the PCs have been sent after is worthless; the quest giver is simply keeping them busy to avoid them actually solving another problem.
10	刚刚被暗杀的国王/领主等实际上是一个替身/双胞胎兄弟；无人知晓他是何时被替换的，真正的他又在何处。 The just-assassinated King/Jarl etc. was, in fact, a doppelganger/double/twin brother; no one knows when he was replaced or where the real one is.
11	采矿作业实际上正在挖掘皇家金库 The Mining operation is actually digging into royal coffers
12	盗贼公会实际上由政府资助，以控制盗窃行为 The Thieves' Guild is actually government-funded to keep stealing under control
13	角色们被怂恿触犯当地法律，以便没收其财产并合法施以酷刑 The PCs are being goaded into breaking the local laws so that their assets can be seized and they can be legally tortured
14	一个书呆子/年长等NPC实际上非常擅长战斗，过去的一些宝贵经历使他如此出色 A nerdy/old etc. NPC is actually very good in battle and had some valuable experiences in their past that made him so good
15	这个奴隶其实并非奴隶，他们选择假装成奴隶以便更有效地进行间谍活动。 The slave isn't actually a slave. They chose to pretend to be a slave so that they could spy more effectively
16	一位友好的NPC被公正地投入了监狱 A friendly NPC has been thrown in jail justly
17	原来任务发布者不喜欢这个队伍（无论出于什么原因），因此派他们去执行任务，认为他们会在过程中丧命 Turns out the quest giver didn't like the party (for whatever reason) and thus sent them on the quest thinking that they would die in the process
18	你受雇护送一位重要人物。旅途中遭到袭击并被指控绑架。为洗清罪名，你发现护送的人自导自演了绑架，或是任务发布者（即真正的绑匪）将人质交给你，以便脱身并嫁祸于你。 You are hired to escort someone important. While traveling you are attacked and accused of kidnapping. To clear your names you discover the person you were escorting faked their own kidnapping or the quest givers (and the real kidnappers) gave you the hostage in order to get away and also put you in trouble.
19	破译后发现那卷古老卷轴其实是一部文笔拙劣的情色小说（或其他出人意料的文学作品） The ancient scroll is revealed to be a badly written erotic fiction (or other unexpected literature) when deciphered
