1d100	城市任务
1	集市日上，一个肮脏而困惑的男子在市场上奔跑，声称自己是真正的国王。他被城镇卫兵抓获，并下令在下个集市日公开处决。尽管如此，国王的一位顾问兼朋友雇佣了团队进行调查。 On a market day a dirty and confused man runs on the market place and claims to be the real king. He gets captured by the town's guard and it is ordered that he gets executed publicly the next market day. Despite that, an adviser and friend to the king hires the group to investigate.
2	有人企图暗杀队伍成员。他们在刺客尸体上发现了一张指示悬赏的纸条，以及一枚象征同一城市中某个强大家族的徽章。 There is an attempt on the party’s lives. They find a note on the assassins' body which indicates the hit placed, and an emblem which indicates a powerful house in the very same city.
3	队伍被一位本地商人雇佣，调查当地的赌场。最近，赌场吸引了大量顾客，但赌客们的运气却出奇地差。为何赌徒们无法赢钱？是什么吸引了如此多的人群？谁或什么需要如此大量的金币？ The party has been hired by a local merchant to investigate the local gambling hall. Lately, they've been pulling in lots more customers, and the luck of the patrons has been shockingly bad. Why can't the gamblers win? What has been drawing such large crowds? What or who would be in need of such a large amount of gold?
4	队伍回到他们下榻的旅店，却发现之前的所有住客和员工都消失了。只有人不见了，任何物品或私人物品都原封不动。 The party returns to the inn they are staying at, only to find all of its prior occupants and staff missing. Only the people are gone, any items or personal affects remain untouched.
5	一座以炫目杂技和惊人烟火闻名的著名马戏团来到城市，他们自夸不使用任何幻术，欢迎观众用魔法检测来验证；只有咒法系法术！实际上，马戏团是一个崇拜远方沙漠中太阳与火焰恶魔领主的邪教组织的幌子，通过绑架和献祭受害者，他们的巫师和杂技演员获得了力量。 A renowned circus has come to the city, known for their dazzling acrobatics and amazing pyrotechnics. They brag that no illusions are used, and onlookers are welcome to detect magic to verify that; evocations only! It turns out that the circus is a front for a cult to a demonic lord of the sun and fire worshipped in a far off desert, and by kidnapping and sacrificing victims, their wizards and acrobats gain their powers.
6	奇怪的是，镇上居民的左袜和左鞋不断消失。无论是从晾衣绳、鞋匠那里，还是从门廊前被偷走，都找不到它们的踪迹。 Mysteriously, townspeople's left socks and shoes have been disappearing. Stolen from the clothesline, from the cobbler, or from the front stoop, no sign of them have been found.
7	一位城市官员在权力位置上待了异常之久。他们看起来只是个普通人，然而城中无人对此感到丝毫奇怪。 A city official has held a position of power for an unnaturally long time. They appear to just be a normal human, yet no one in the city finds this the least bit odd.
8	城市博物馆正在举办一场古代怪物的超自然历史展览。一名死灵法师正在四处游荡。 The city museum is hosting a Para-natural History Exhibit of ancient monsters. A necromancer is on the loose.
9	一名当地渔民意外带回了一群红色史拉蟾蝌蚪，它们混入了为皇家宴会准备的渔获中。玩家必须争分夺秒找到并治愈被感染的贵族，以免他们从内部被吞噬并转化为史拉蟾。 A local fisherman accidentally brought back a red slaad tadpole cluster in his catch destined for a royal feast. Players must race against the clock to find and cure the infected nobles before they're eaten from the inside and turned into slaad.
10	附近的一群侏儒因洪水被迫离开家园。稍作调查发现，城市的水坝最近被改造，导致河流大部分改道，直接冲毁了他们的住所。 A nearby colony of gnomes have been uprooted due to a flood. A little investigation reveals the city's dam has been recently modified, which diverted a large portion of the river right through their home.
11	一位贵族最爱的面包店突然关门，毫无预兆。他对着曾经装满饼干的篮子哭泣，请求你找到那位面包师。 A nobleman's favorite bakery has shut down without warning. While weeping over a basket that once held cookies, he asks you to find the baker.
12	一位操着奇怪神秘语言的旅人支付了一大笔钱，请导游带他们游览这座城市。 A traveler speaking in a strange, mysterious language pays a large sum of money for a tour guide to show them the city.
13	有人四处散布不和的魔瓶。一场婚礼爆发了，死亡人数是平常的三倍！ Someone is spreading Discord Bottles everywhere. A wedding broke out, and 3x as many people as normal died!
14	一只巨大的恶魔在集市广场中央沉睡，所有镇民似乎都对其存在视而不见。 A large demon is asleep in the center of the market square. All the townsfolk are seemingly oblivious to its presence.
15	一位本地商人希望你能恐吓他们的竞争对手离开城镇。 A local merchant wants you to intimidate their competition out of town.
16	城门在你身后猛然关闭，镇上的传令官宣布实施居家隔离，以阻止一位愤怒女巫引发的致命魔法瘟疫的传播。 The city gates slam shut around you as the town crier announces a house arrest to prevent the spread of a deadly magical plague caused by an angry hag.
17	三座不同的教堂崇拜同一位神明，却在争论谁才是正统。 Three different churches worship the same god, but are arguing over who is right.
18	城中最大的药剂商被发现库存全是毒药，引发丑闻。数位冒险者在任务中身亡，但即便在诚实之域下，药剂师坚称对此毫不知情，声称库存必定被调换。 A scandal erupts when the largest potion-seller in town is discovered to have nothing but potions of poison stocked. Several adventurers have died on quests, but, even under a zone of truth, the potion maker says they have no knowledge of how this happened, claiming their stock must have been switched.
