1d100	如何治疗诅咒&能量吸取
1	在十字路口埋下一个自己的陶土雕像，祈祷它永远不会被挖出 At a Crossroads, bury a Clay Effigy of Yourself and Pray it's never dug up
2	石化后，由一位才华横溢的雕塑家进行“改造” Become Petrified, and have a talented Sculptor make “alterations”
3	在骨之路上行走三个满月，沿途乞讨食物与饮水 Beg for Food and Drink as you walk the Road of Bones for three Full Moons
4	莱特纳里的主教为值得之人承担这些作为奇特的赎罪 Bishop of Letnary takes on these for the Worthy as a strange Penance
5	用几乎绝迹的歌唱水蛭来止血，效果必定显著 Bleeding by the nearly extinct Singing Leeches will fix things surely
6	在燃烧平原上游荡的烬鬃野马中，驯服其中一匹 Break one of the Cindermane Broncos that roam the Burning Plains
7	将战士埋在银制棺材中一周似乎对他有所帮助 Buried alive in an Electrum Coffin for a week seemed to help that Fighter
8	来自反幽灵之手的抚慰，需谨慎，极易上瘾 Caress from the hand of the Anti-Wraith, careful it's very Addictive
9	纵情狂欢，以至于忘记来此的初衷 Carouse extravagantly, so much that you Forget what brought you to this
10	在沉睡的树人树皮上刻下秘密而不惊醒它 Carve a Secret in the Bark of a Sleeping Treant without waking it
11	捕捉六十只密语翼蝶并组合咒语 Catch three score Cipherwing Butterflies and assemble the Incantation
12	猫蛇奶酪非胆小者所宜，盲眼僧侣严加守护 Catoblepa Cheese is not for the faint of Heart, Blind Monks guard it well
13	某些半人马品牌据说能缓解这种病痛，前提是你得挺过去 Certain Centaur Brands are said to ameliorate the Affliction, if you survive
14	由德鲁伊栽培的苹果酒被小妖精们嫉妒地守护着 Cider from Dryad Cultivars is jealously Guarded by Leprechauns
15	用那神圣泉源的赭石泥涂抹全身，可惜泉水已干涸 Coating yourself in Umber Mud from that Holy Spring too bad it dried up
16	将鸡蛇蛋浸泡在圣礼醋和圣化盐中腌制。美味！ Cockatrice Eggs, pickled in Sacramental Vinegars and Sanctified Salts. Yum!
17	徒手击杀一头凶暴狮并食用其心脏 Consume the Heart of a Dire Lion that you've killed with your Bare Hands
18	说服一位罗刹王子为你献出他们的九条命之一 Convince one of the Rakshasa Princes to give up one of their 9 lives for you
19	击败在哀嚎峡谷中游荡的孤独骑士 Defeat the Lonely Knight who Roams the Keening Canyon
20	一顿吃完巨鹏煎蛋实属不易，获取巨鹏蛋更是难上加难 Difficult to eat a Roc Omelet in one sitting, even harder to get the Eggs
21	饮用混入独角兽眼泪的咆哮峰雪水 Drink snowmelt from the Snarling Peaks, mixed with Unicorn Tears
22	德鲁伊制作奇异蛹壳，在其中沉睡一季：破茧而出时已蜕变 Druids fashion strange Pupae, Sleep inside for a Season: Emerge Changed
23	一年内只食用稀有的金羽雷鸟肉 Eat only the meant of the rare Giltfeather Ptarmigan for a year
24	古怪巫师将临终气息存于小瓶中：吸入一位先祖的气息 Eccentric Wizard keeps Dying Breath in Vials: Inhale one of an Ancestor
25	大象从不忘事，据说它们对此免疫：它们的秘密是什么？ Elephants never Forget and are said to be Immune: What is their Secret?
26	据说精灵培育了一种松露，食用后可治愈一切疾病 Elfs are said to cultivate a Truffle that when Eaten Cures All
27	每一代都会诞生一个婴儿，其第一次笑声能治愈聆听者 Every Generation a Babe is born who's first Laugh Cures the Listener
28	每个人都能喝一次喇嘛格兰帕尔的圣杯之水……仅限一次 Everyone can Drink from Lama Grampal’s Cup...Once
