1d100	盗贼公会任务
1	潜入男爵夫人的船上，偷走她的护身符。她从不离身，甚至在睡觉时也戴着它，所以发挥你的想象力吧！（无人知晓：这护身符被诅咒了。一旦触碰，就必须佩戴。佩戴者无法丢弃它，也无法请求他人取下。护身符要求你每天吸取他人的寿命，使这些人迅速衰老，你必须服从。作为小奖励，它能让你永葆青春。） Sneak on board the baroness’ ship and steal her amulet. She never departs from this amulet and even wears it in her sleep, so be imaginative! (No one knows: the amulet is cursed. Once touched, one must wear it. It cannot be dropped by the one who wears it and one is not able to ask someone else to take it away. The amulet requires you to drain the lifetime out of people every day, which ages these people fast and you must obey. As a small bonus, it keeps you forever young.)
2	我们的一位成员，吉迪恩·丹斯，即将结婚并打算走上正道（差不多）。他的新娘是一位有权势商人的独生女，两人是天作之合。但有一个问题——当地卫队队长曾是新娘的追求者，因被拒绝而心怀怨恨，正收集证据准备在婚礼当天逮捕吉迪恩。我们需要你潜入卫队队长的房间，偷走证据，并用明显伪造的证据替换。 One of our members, Gideon Dance, is getting married and going straight(ish). His bride is the only daughter of a powerful merchant, and the two will make a great pair. There's only one problem- the local captain of the guard is a spurned admirer of Gideon's wife-to-be, and is assembling evidence to arrest Gideon on the day of the wedding. We need you to steal the evidence from the Captain's Chambers in the guardhouse and replace it with evidence that's clearly fraudulent.
3	一位年轻贵族需要你潜入敌对家族的宅邸，取回他们与其中一位居民在禁忌激情之夜后遗落的衣物。 A young noble needs you to break into the mansion of a rival family and retrieve an item of clothing they left behind after a forbidden night of passion with one of the inhabitants.
4	紧急任务！我们在自家掩护业务中误杀了几人，但我们的探子听到附近有巡逻卫兵，惊慌逃离。卫兵并未进入建筑，因此还有挽回余地。潜入其中，消除所有暴力痕迹，带走尸体，藏到远处。此事必须今晚完成，因为建筑明日需照常营业。 Urgent mission! We killed some people in a front business of ours, but when our agents heard a guard patrol nearby, they got spooked and fled. The guards didn't actually enter the building, so there's still a way to make this right. Sneak in, erase any trace of violence, take the corpses, and hide them somewhere far away. This must be done tonight, since the building has to open for business as usual tomorrow.
5	一位自由窃贼趁艾谢夫人外出时，从她家中偷走了一些珠宝。他的第一个错误是选择独立而非加入我们。第二个错误是偷了向我们支付保护费的人。我们知道窃贼藏身的大致区域——追踪他，找到珠宝，将其与这封道歉信一同包装，归还给夫人。这位自由窃贼要么加入公会，要么死路一条。 A freelance thief stole some jewelry from Lady Aisheh's home while she was out of town. His first mistake was being independent instead of joining us. His second mistake was stealing from someone who pays us protection money. We know the general area where the thief is hiding - track him down, find the jewelry, put it in a package with this apology letter, and return it to the Lady. The freelancer himself must either join the guild or die.
6	我要你找到阿格温·诺斯达并跟踪她。花几天时间了解她，别让她察觉你在收集情报。一旦你认为掌握了重要证据，回来向我汇报，我们看看你做得如何。 I want you to find Agwen Northstar for me and tail her. Spend a few days doing this and get to know her without her realizing you’re getting information. Once you think you’ve gathered significant evidence, report your findings back to me and we’ll see how well you did.
7	你的任务是偷走一辆满载魔法药水的完整马车。这辆马车已在前往王国的路上。由13辆马车组成的车队，包括我们的目标马车，昨日从遥远城市雷霆港启程，此前他们乘船抵达该地。车队的牛马被魔法强化，能以疯狂的速度连续奔跑7天不停歇。两位高阶巫师将确保魔法持续生效，每辆马车上都有守卫。货物被锁在大型金属笼中运输。你只能在雷霆港与王国之间的山脉中拦截车队。一旦他们穿过山脉，进入开阔的平原，你就再无机会。车队将穿越一处重兵把守的山谷，那里有3名德鲁伊驱散云层，因为一旦下雨，山谷便无法通行。这是你的机会！ Your task is to steal a complete wagon full of magical potions. The wagon is already on its way to the kingdom. A convoy of 13 carts, including our cart, started yesterday from the remote city of Thunderhaven after arriving there by ship. The oxen and horses of the convoy are magically enhanced to run the whole 7 days at insane speed without any stop. Two high wizards will ensure that the magic persists and there will be guards on the carts. The goods are transported in large locked metal cages. You can only intercept the convoy in the mountains between Thunderhaven and the Kingdom. Once it passed the mountains they were out in the open plains and out of reach for you. At one point the convoy rushes through a heavily guarded canyon in the mountains where 3 druids keep the clouds away, because the canyon is impassable if it rains. This is your chance!
8	矮人贵族基拉克兹·石切者之所以能登上现位，全因盗贼公会从其祖墓中窃取了古代矮人贵族的徽章。不幸的是，我们的小基拉克兹开始妄自尊大，颁布法令影响我们的职责。潜入他戒备森严的庄园，夺回那枚徽章，尽量不留入侵痕迹。让他心生疑惧，正好提醒他我们的手段与过往交易。 The Dwarven Noble, Kirakzz Stonehewer, only arrived at his current position thanks to the Thieves' Guild stealing the Crest of an Ancient Dwarven Noble from their ancestral tomb. Unfortunately, our little Kirakzz has been getting ideas above his station and passing edicts that have been affecting our duties. Sneak into his fortified manor and steal that crest back, leaving as little evidence of your intrusion as possible. A little paranoia should serve as a reminder of our skills and past dealings.
9	公会中的一位大盗已逝。向他们表示敬意，或许能让上级对你印象深刻，从而获得晋升。通过偷取一件极其珍贵的物品并将其永久丢弃、焚烧或投入海中以示尊重。 A great thrift of the guild has died. Show respect to them and you might impress the bosses enough for a promotion. Show respect by stealing something really valuable and throw it away for good, burn it or drop it in the ocean.
10	一种新药在城市的街头悄然出现。盗贼公会想要查明制造者是谁、制造地点在哪里，以及如何掌控这两点及其市场。 A new drug has been showing up on the streets of the city. The guild wants to know who is making it, where they are making it and how they can control those 2 things as well as the market for it.
11	我们的客户要你偷走一台真正能飞的机器原型！潜入侏儒工匠辛卡特·银比特的工厂，偷走这台机器。完成后将其交给客户，领取你的报酬。 Our client wants you to steal the prototype of a machine that is actually able to fly! Sneak into the factory of artificer gnome Zinkkart Silverbit and steal the machine. After that, deliver it to the client and get your reward.
12	我们的客户愿意支付巨额金币，只要你能从罗顿勋爵那里偷取一些宝藏。只需闯入他的庄园……偷走他关于荒芜之地某座金矿的所有记忆。之后他将对此一无所知，而客户需要这些记忆来定位金矿并找到进入的方法。 Our client is willing to pay an insane amount of gold if you can steal some treasure from Lord Ronton. Simply break into his estate and ... steal all the memories he has about a certain gold mine in the barren lands. He shall not remember any of it afterwards and the client needs the memories to locate the mine and how to access it.
