1d100	道德模糊的任务
1	队伍受命追捕一群袭击定居点的野生动物。调查后发现，这是该地区/世界上该物种的最后一群。若玩家杀死它们，将导致可能维持生态系统所需的物种灭绝；但若放任其生存，则存在它们继续袭击定居点的风险。 The party is tasked to hunt down a pack of wild animals that has been attacking settlements. Upon investigating, it turns out this is the last of the specific animal species in the area/world. If the player's kill them, they are wiping out a species potentially needed for maintaining the Eco system, but letting them live runs the danger of them continuing to attack settlements.
2	一位死灵法师派遣他的亡灵到附近村庄掠夺物资，在这片贫瘠之地被指控盗墓。当队伍面对他时，发现他只是为了寻找并复活他早已逝去的家人——配偶、孩子和宠物。他只想再见他们一面。 A necromancer has been sending his undead to a nearby villages to raid supplies in an otherwise barren land and has been accused of grave robbing. When confronting the necromancer, the party finds out that he is only gathering supplies so he can find and restore his long dead family; spouse, children, pets. He only wants to see them one more time.
3	当地一个教派公开宣称在瀑布附近的空地上寻找新成员加入他们的精神联结与冥想。附近镇民觉得可疑并开始骚动，但这些教徒似乎并未做任何错事或施展魔法……除了公开承认他们是一个教派。 A local cult have become very vocal that they are looking for new members to join them in spiritual bonding and meditation in a clearing near a waterfall. The townsfolk nearby think it’s fishy and are getting riled up, but it doesn’t appear that these cultists are doing anything wrong or magical at all... except openly admitting that they’re in a cult.
4	队伍受雇从一片危险的沼泽中取回一种稀有且珍贵的药用植物，用于制作拯救垂死贵族的药剂。当他们找到这种植物时，却发现它是该物种的最后幸存者，拔除它会导致该物种灭绝。 The party is hired to retrieve a rare and valuable medicinal plant from a dangerous swamp which will be used to create a potion that can save a dying noble. When they find the plant, they discover that it is actually the last of its kind and uprooting it will force the plant's extinction.
5	一位本地牧师请求你阻止该地区一连串的盗墓行为，因为这可能惊扰亡魂甚至招致愤怒的幽灵。然而，盗墓者却是贫困的农民，他们声称需要尸体作为肥料，否则庄稼将歉收。 A local priest asks you to stop the string of grave-robberies in the area because they could disturb the souls or even create angry ghosts. The culprits, however, are destitute farmers who claim that they need the corpses as fertilizer or else their crops will fail.
6	一位军阀正在购买所有妓女和赌徒的契约，使他们脱离体面的服务生活。他们似乎正在将战争带入钢铁与火焰的新时代，但代价是森林和德鲁伊的毁灭。 A warlord is buying the contract of all the prostitutes and gambler from a life of respectable servitude. They seem to be bringing war into a new era of steel and fire, but, at the cost of the forest and druids.
7	一个贵族家族出重金雇佣某人绑架他们孩子绑架者的孩子，希望以此进行囚犯交换，而非满足绑架者的要求。 A noble family is paying a lot of gold for someone to kidnap the child of their child's kidnapper, in hopes they can do a prisoner trade instead of having to fulfil the kidnappers demands.
8	有一位强大的巫妖需要被阻止。与其他巫妖不同，它的灵魂与其后代绑定。对其家族树的调查显示，其大多数后代都是善良之人。只要有一人存活，巫妖就无法被真正击败。 There is a powerful lich that needs to be stopped. Unlike other liches its soul is bound to its descendants. Investigation into its family tree reveals that most of its descendants are good people. So, long as one survives the lich cannot be truly defeated.
9	一名前士兵接近玩家角色，请求他们帮助保护他免受昔日战友的愤怒。他在一场战斗中擅离职守，导致战友们阵亡。玩家必须决定是将其交给正义审判，还是帮助他逃离追捕者并保守他的秘密。 A former soldier approaches the player characters, asking for their help in protecting him from the wrath of his former comrades. He deserted his post during a battle, leaving his fellow soldiers to die. The players must decide whether to turn him in to face justice or to help him flee from his pursuers and keep his secret safe.
