1d100	酒馆布告栏上的工作
1	悬赏死活不论——南方的兽人酋长“碎骨者”！警告：极度武装且危险，拥有众多爪牙。赏金：1000金币。 Wanted Dead or Alive - Bonecrusher, Orc Chieftain to the south! Warning: very heavily armed and dangerous. Has many henchmen. Reward: 1,000gp'
2	寻龟启事：一只名为休伯特的大乌龟从变形术学院逃脱。若发现，请归还！ Missing: a large turtle named Hubert who has escaped from the Caster's School of Polymorphing. Please return if found!'
3	急需鸡群驯养员！有些混蛋砸了我的鸡舍，现在100只鸡都跑散了。每只鸡归还奖励1金币，不问来路。（发布者是一位住在古老鬼林中的真正中立女巫；所有鸡都已被放大。） Chicken Wrangler Needed! Some jerks smashed my coop and now 100 chickens are loose. 1GP/chicken to return them, no questions asked.' (Poster is True Neutral witch in old haunted forest; all the chickens have been enlarged.)
4	招募人手组建小型荣誉卫队，负责我庄园宴会的安保工作。涉及重要人物，务必谨慎行事。每人预付200金币，不问缘由。（所有宾客皆为吸血鬼。） Need men to form a small honor garrison for the banquet I am holding in my manor. Important people are involved, so discretion is mandatory. 200GP per person, payed upfront. No questions asked. (All the guests are vampires.)
5	书店即将到货一批稀有书籍，需要人手帮忙卸货。每人支付100金币，不负责工作中发生的任何伤害。（注意：周围有危险魔法和宠物书籍。） The book store has a shipment of rare books coming in and needs people to help unload them. Will pay 100gold per person and not responsible for any injuries incurred on the job. (Caution: dangerous magic and pet books around.)
6	灭鼠员需求：我家地下室老鼠成灾。带回10根鼠尾即可获得报酬。（所留地址并无地下室，且屋主无鼠患。广告有误，应指向更远处的一户人家。） Exterminator needed: I've got a mess of rats in my basement. Bring me 10 rat tails in return for payment. (Listed address has no basement and owner has no rat problem. The advert has a typo and should point to a house further down the way.)
7	除害师招聘：阁楼传来阵阵噪音，像是锁链声或呻吟声。估计又是那些该死的浣熊。本想让我丈夫去看看，但那懒汉突然去世了。报酬视完成情况而定。（所列地址并无阁楼，但地下室有鼠患。亡夫阴魂不散，请携带质子背包前来。） Exterminator needed: There's a bunch of noise coming from the attic. Like chains or moaning or something. It's probably those damn raccoons again. I would have my husband look into it, but the lazy oaf up and died on me. Payment dependent on work done. (Listed address has no attic, but does have a basement with a rat problem. Murdered husband is haunting the house, bring proton pack.)
8	急需游泳健将！我那糊涂学徒把矿石车丢在桥上不管，那该死的东西掉进河里了！希望矿石还在里面，谁能帮我找回矿石，我就付金币！ Strong Swimmer Needed! My simpleton apprentice left my ore cart unattended on the bridge and the blasted thing tumbled into the river! Hopefully the ore is still in there somewhere, I'll pay gold to anyone who can get me my ore!
9	生病的祖母：我祖母病了，急需一批药品。我们平常的信使失踪了，因此急需有人帮忙运送。提供加急费用，送达后还有额外奖励（祖母做的精灵面包可是一绝。） Sick Grandmother: My grandmother is sick and needs a shipment of medicine. Our normal courier has gone missing, so we desperately need it delivered. Expedited fee available with a bonus upon delivery (Grandma makes a mean elven bread.)
10	松鼠狩猎：镇上有松鼠偷窃居民珠宝，怀疑不止一只，盗窃后总往西逃。需捕获或消灭，归还失物有额外奖励。 Squirrel Hunting: A squirrel has been seen in town stealing jewelry from citizens. We think there may be more than one squirrel involved -- they always head west after the theft. They need to be captured or killed; a bonus available if stolen items are returned.
