1d100	钥匙在哪里
1	多年铁锈附着于铸铁大锅底部 Adhered to the bottom of a Cast Iron Cauldron by years of Rust
2	装饰在一只填充标本鹿头的鹿角上 Adorning an Antler of a Taxidermized Stag's Head
3	在腐尸爬虫巢穴的虫粪之中 Among the Frass of a Carcass Crawler's Den
4	在一根长绳的末端，系在一个青铜烛台上 At the end of a Length of Twine, attached to a Bronze Candle Holder
5	作为当地奇特习俗的一部分，被烤进肉馅饼中 Baked in a Meat Pie as part of an Unusual Local Custom
6	被用来垫平摇晃的椅子腿 Being used to level a wobbly Chair Leg
7	在一个发霉、长满霉菌的枕头下，被丢弃在角落里 Beneath a fusty, mildewed Pillow, cast off in a Corner
8	藏在一只为寻找主人而捣蛋的魔宠的牙齿之间 Between the Teeth of a Mischievous Familiar searching for their Master
9	覆盖着潮湿石板上的蓬松绿苔 Blanketed in the fuzzy Green Moss clinging to a moist Flagstone
10	在奇异软泥的无定形粘液中阴郁地漂浮着 Bobbing sullenly within the amorphous goo of a Strange Ooze
11	裹在一堆油布中：一面军旗的残片 Bundled in a bunch of Oily Rags: Remnants of a Military Pennant
12	埋在一个破碎鸟笼底部的杂物中 Buried among detritus at the bottom of a Broken Birdcage
13	在饥不择食的野兽腹中翻腾 Churning in the Belly of an indiscriminately ravenous Beast
14	与其他铁质废料一起附着在一块极强的磁石上 Clumped with other Ferrous Scrap to a very strong Lodestone
15	笨拙地卡在另一扇门的锁里，无法使用 Clumsily jammed within the Lock of another Door, where it doesn't work
16	握在一名已故盗贼的拳头中 Clutched in the Fist of a Deceased Burglar
17	因在天然池底沉睡了数十年，表面覆盖了一层钙质 Coated in Calcium from decades at the bottom of a natural Pool
18	藏于一颗镶有金牙的人类头骨空洞中 Concealed in the Hollow of a Human Skull with one Gold Tooth
19	在两个噼啪作响的节点之间传导强大的电流 Conducting a powerful Electric Current between two Crackling Nodes
20	方便地挂在附近的钉子上 Conveniently hanging from a Nearby Nail
21	藏于大陶罐内的谷物之中 Covered in Grain within a large Clay Jug
22	"在生锈的钉子和配件的盒子里被粗糙地弯成“L”形 Crudely Bent to an ""L"" shape within a box of Rusting Nails and Fittings"
23	悬挂在酋长腰带上的钥匙链上 Dangling from the Keychain at a Chieftain's Belt
24	叮当作响且凹陷，旁边有一些燧石碎片和烧焦痕迹 Dinged and dented, next to some Shards of Flint and Scorch Marks
25	被部分拖上由刺蚁守卫的土丘一侧 Dragged partially up the side of a Mound defended by Stinging Ants
26	插在一株下垂蘑菇的坚实菌柄中 Driven into the sturdy Stalk of a Sagging Mushroom
27	诡异悬吊于一张极具几何美感的蜘蛛网中 Eerily Suspended in an Impressively Geometric Spider Web
28	钥匙被蜡封在夹钳中：有人试图复制它 Encased in a clamp with Wax: someone was trying to duplicate it
29	固定在实用匕首的刀鞘上 Fastened to the Scabbard of a serviceable Dagger
30	牢牢嵌在一个雕刻得严丝合缝的壁龛中，位于一块破裂的大理石板顶部 Firmly stuck into a snug engraved niche, atop a fractured Marble Slab
