1d100	毒素效果
1	酒精若被摄入，将成为致命毒药 Alcohol is now a deadly poison if ingested
2	各种昆虫被你的伤口吸引而来 All manner of insects are drawn to your wounds
3	被锚定在此位面，传送和位面旅行失败 Anchored to this Plane, Teleporting and Planar Travel fail
4	任何饮用你血液的生物体型将增大十倍 Any creature that drinks your blood grows 10x in size
5	通过严格的海鲜饮食可以避免可怕的症状 Awful symptoms can be averted with a strict Seafood diet
6	肘部弯曲变得缓慢而痛苦 Bending at the Elbow becomes a slow and painful process
7	血液因严重血友病而无法凝结 Blood no longer clots due to severe hemophilia
8	剧烈咳嗽带血，有时血块会自行移动 Bloody coughing fits, sometimes the clots scurry away
9	骨骼软化如海绵般湿软的面包 Bones soften like spongy, soggy bread
10	衣物和任何护甲因肿胀开始勒紧 Clothes and any Armor begins to strangle with the Swelling
11	舌头上长出粗糙毛发，味觉消失 Coarse Fur grows on your tongue, sense of taste vanishes
12	无论技巧或努力如何，你都会像石头沉入水中般迅速下沉 Despite skill or best efforts, you sink like a Stone in Water
13	产生对蠕虫和害虫无法控制的渴望 Develop uncontrollable cravings for worms and vermin
14	皮肤上的变色与致命疾病极为相似 Discoloration on skin closely resembles a deadly Disease
15	你施放或接受的神圣魔法效果与其本意相反 Divine Magic cast by or upon you is Reversed from intent
16	每晚有1/20的几率，你的影子会脱离并发动攻击 Each night, 1-in-20 chance your Shadow detaches and attacks
17	魔法物品引发一种奇特而强烈的恶心感 Enchanted items induce a peculiar and strong Nausea
18	所有食物尝起来都过于咸，连水也不例外 Everything tastes entirely too salty, even water
19	在矮人胡须周围引发爆炸性喷嚏 Explosive sneezes around the beard hair of Dwarfkind
20	暴露于空气中，你的血液会转化为令人窒息的毒气 Exposed to air, your Blood turns into a choking Gas
21	对强于烛光的亮度极度光敏 Extremely photosensitive to light brighter than a Candle
22	疲劳与倦怠，需要比之前多一倍的休息时间 Fatigue and lethargy, require twice as much rest as before
23	猫类在你面前弓起背，犬类则对你低吼 Felines arch their backs and Dogs growl in your presence
24	在火源附近会感到发热般的寒战 Feverish Chills around any form of Fire
25	看到水果时会不自觉地发出嘶嘶声 Find yourself involuntarily Hissing at the sight of Fruit
26	精细运动技能因抽搐和痉挛而受损 Fine Motor skills impaired by twitches and spasms
27	每隔数月，手指甲和脚趾甲会变黑并脱落。 Fingernails/Toenails blacken and fall off every few months
28	手指滴落无法抹去的墨色物质，沾染一切 Fingers drip an indelible inky substance, staining everything
29	花香引发干呕，症状持续至少一年 Floral scents induce dry retching for at least a year
30	无论是福是祸，你的触碰现在极具毒性 For better or worse, your touch is now incredibly toxic
31	触碰果实即腐坏，播种的种子永不发芽 Fruit fouls on touch, seeds you plant will never sprout
32	玻璃下巴：若受到正好7点伤害，则陷入昏迷 Glass jaw: If hit for exactly 7 points of damage fall unconscious
33	逐渐使双眼闭合持续2d6周，虹膜变色 Gradually seals eyes shut for 2d6 weeks, iris changes color
34	可怕的噩梦逐渐使自然睡眠变得不可能 Horrific Nightmares gradually make natural Sleep impossible
35	耳内出现显著的红色蜡状堆积物，导致听力困难 Impressive Red waxy build-up in Ears makes listening difficult
36	注射部位硬化并钙化，形成难看的硬块 Injection site hardens and calcifies, unsightly hard lumps
37	对鸡蛋产生强烈渴望，尤其希望整颗吞下 Intense cravings for Eggs, preferably swallowed whole
38	下颌和关节僵硬疼痛：破伤风 Jaw stiffens painfully, along with joints: Tetanus
39	抽搐动作导致施法失败或意外 Jerking movements cause Spellcasting failures/mishaps
40	指节肿胀，无法戴上或摘下任何戒指 Knuckles swell up, unable to remove or wear any Rings
41	满月之光导致至少一天的失明 Light of the Full Moon induces Blindness for at least a day
42	大声喘息和急促呼吸妨碍潜行 Loud, wheezing breaths and gasping prohibit Stealth
43	魔法药剂有六分之一的几率引发剧烈呕吐 Magical Potions induce violent vomiting 1 out of 6 times
44	恶意污秽使你通过魔法被侦测为邪恶 Malevolent Taint causes you to Detect as Evil via Magic
45	新陈代谢受损，体重迅速下降 Metabolism compromised you start rapidly losing weight
46	金属铠甲摩擦，导致皮肤出现渗液的蓝黑色疮口 Metal Armor chafes, creates weeping blue-black sores
47	坏死注射部位，圣水现在会灼伤你 Necrotic injection site, Holy Water now burns you
48	脚底如针刺般的疼痛，大多会阻碍奔跑 Needle-like pains on soles of Feet mostly prevent Running
49	鼻血逐渐转为耳出血、眼出血，甚至更严重的症状 Nosebleeds give way to ear bleeding, eye bleeding, and worse
50	奇异的皮疹，形似邪恶圣徽，缓慢扩散 Odd rash, resembling Evil Holy Symbols, slowly spreads
51	一旦握紧拳头，至少一天内无法松开 Once clenched, you cannot unclench a fist for at least a day
52	随机一个肢体永久肿胀至三倍大小 One random limb permanently swells 3 times in size
53	黏液、史莱姆和果冻似乎被你磁性地吸引 Oozes, Slimes, and Jellies seem magnetically attracted to you
54	他人现在能通过你独特的步态轻易认出你 Others can now identify you easily by your peculiar gait
55	数周内，所有牙齿和头发都会脱落 Over the course of a few weeks, all Teeth and Hair fall out
56	痛苦的过程，但你逐渐长出一条带刺的尾巴 Painful process, but you slowly sprout a thorny tail
57	奇特狼人：转变为毒害你的生物形态 Peculiar Lycanthrope: Transform into whatever poisoned you
58	周期性幻觉，误以为敌人数量多于实际存在 Periodically Hallucinate more Foes than are actually there
59	醒后前两小时内莫名失声 Perplexingly Mute during the first two hours after waking
60	持续出汗，皮肤滑腻，似乎无法保持干燥 Persistently slick with perspiration, just cannot seem to stay dry
61	颤抖不止使得瞄准投射物变得极不可靠 Quivering tremors make aiming Missiles unreliable at best
62	降雨如酸液般灼伤你的皮肤 Rainfall burns your skin like Acid
63	随机肢体完全麻痹，却感觉如同被火焰灼烧 Random limb is utterly paralyzed, but feels like it's on fire
64	心跳加速导致预期寿命减半 Rapid heartbeats cut your expected lifespan in half
65	阅读虽仍可行，但耗时延长至五倍 Reading, while still possible, now takes 5x as long
66	红肉在食用或闻到时会引发剧烈不适 Red Meat makes you violently ill when consumed or smelled
67	看到自己的倒影会引发令人丧失行动能力的偏头痛 Seeing your Reflection induces incapacitating Migraines
68	嗅觉增强，但恶臭气味令人痛苦 Sense of smell heightens, but malodorous scents are painful
