1d100	旅行者
1	你遇到一位年长的绅士，他正沿着小路行走，身后跟着六只小狗。每只狗都系着一条小牵引绳，绳子连在他装满狗衣服和玩具的大背包上。过去几年里，这位男士训练这些狗表演各种把戏。他正从一个城镇游历到另一个城镇，试图成为一名著名的表演者。 You come across an older gentleman traveling down the path with a group of 6 small dogs walking behind him. He has them each on a small leash that is attached to his large backpack, filled with dog clothes and toys. Over the last few years, this man has trained these dogs to preform tricks. He is traveling from town to town to try and become a famous performer.
2	你经过一个身披红金色流动布袍的人，闭着双眼，正在表演一种极其缓慢的舞蹈。周围躺着几名昏迷的强盗。 You pass a person draped in flowing red and gold cloth, eyes closed and performing what looks like an incredibly slow dance. Around them are several unconscious bandits.
3	你看见一位老妇人和一个小女孩正缓缓向你的队伍走来。靠近后，你注意到老妇人其实是盲人，而女孩正在引导她。当你走近时，老妇人变得异常激动，并说出一连串话语，每一句都可视为预言。 You see an old woman with a young girl that is slowly moving towards your group. When you come closer you notice that the woman is actually blind, and the girl is guiding her. That woman gets intense when you come closer and gives away a series of phrases, each of those can be treated as a prophesy.
4	一对新婚夫妇正在前往森林中一处僻静小屋度蜜月。他们俩都迷人友善，但交谈越久，越明显感觉有些不对劲。尤其是，新郎在新娘意外身亡的情况下将获得巨大利益。 A pair of newlyweds on their honeymoon headed to a secluded cabin in the woods. They’re both charming and friendly, but the longer you talk to them, the clearer it is that something’s amiss. Specifically, it’s very clear that the groom has quite a lot to gain in the event of the bride’s untimely demise.
5	你踢到一块石头，它突然长出腿和爪子。仔细一看，原来是一只拳头大小的螃蟹伪装成石头。周围的所有石头也纷纷显露出螃蟹的真身，开始四散逃入草丛。如果抓住一只，它会在下次长休时消失。 You kick a rock, and it appears to grow legs and claws. On close inspection, it is a fist-sized crab disguised as a stone. All rocks in the immediate area reveal themselves to be crabs as well, which begin scattering into the grass. If one is captured, it disappears during the next long rest.
6	一只被拴在树上的狗。周围似乎没有其他人，但如果队伍带走了小狗，它的主人会试图找到它。 A dog leashed to a tree. There doesn’t seem to be anyone else around, but if the party takes the pup its owner will try to find it.
7	一位矮小的女子推着车兜售用过的魔法护符。她的助手是个聋哑巨人，正拉着那辆车，每当有人靠近时就会咧嘴笑。她名叫塔比莎，说话轻声细语，颇为迷人。稍加打听便知，这对伙伴曾是共同冒险的朋友。 A short woman peddling used magical talismans out of a cart. Her assistant, a large deaf giant who is pulling said cart, grins whenever someone comes near. Her name is Tabitha and she’s rather charming in a soft-spoken way. A bit of prodding into the pair reveals they are both friends who once adventured together.
8	一位身着破旧长袍的男子，自称贵族，被邪恶的兄弟逐出家门。更可能是因贪婪愚蠢被赶出，但队伍可以自行发现真相，因为他不断提出更多请求。 A man in tattered robes who claims to be nobility who was forced from his home by a wicked sibling. More likely he was kicked out for being a greedy twit, but the party can learn that on their own time as he makes more and more requests.
9	两只狗头人叠在一起，披着旧斗篷。他们自称是著名的龙裔战士，似乎并不知道自己其实是两只狗头人。 Two kobolds standing on top of each other wearing an old cloak. They claim they are a famous dragonborn warrior, and they do not seem to know that they are actually two kobolds.
10	一对看似被遗弃的马匹。进一步检查发现它们仍佩戴着马具，似乎是被匆忙遗弃的。 A pair of horses, seemingly abandoned. A further inspection reveals they are still wearing riding tack and seemed to be abandoned in a hurry.
11	一个正在挖坟墓的人，旁边裹着某种尸体的裹尸布。 A person digging a grave, with a body of some sort in a shroud nearby.
12	一位穿着圣骑士盔甲的蜥蜴人。他拙劣地模仿着盔甲原主人的行为，假装自己是守序善良。或者，他在得到装备后改变了心意。无论如何，他现在很饿。 A lizard folk wearing a paladin’s armor. He poorly impersonates the paladin whose armor he has and pretends to be lawful good. Or maybe he’s had a change of heart after getting the gear. Either way, he’s hungry.
13	一位牧羊人带着十几只羊。他坚称所有的羊都是他的，并不时回头张望。 A shepherd with a dozen sheep. He keeps insisting that all the sheep are his and keeps looking over his shoulder.
14	一支十人路工队正在路中央移除树桩。其中四人手持弓箭，抱怨一位树精干扰工作。两人实际负责移除树桩，其余人则在“监督”。 A 10-man road crew removing a stump from the middle of the road. Four of the crew are armed with bows and complain about a dryad interfering with their job. Two are doing the actual work of removing the stump. The rest are ‘supervising’.
15	一场山洪阻断了部分道路。一位术士站在附近，提出以小额费用清理出一条干燥通道。术士言而有信，开辟了一条通往对岸的干燥水道。过河后，水道、山洪和术士都消失了。 A flash flood has blocked part of the road. A sorcerer is standing nearby offering to clear a dry path for a small fee. The sorcerer is true to their word and forms a dry channel to the other side. After crossing, the channel, the flood and the sorcerer disappear.
16	一只纯黑、异常高大的塔巴克西。她以DM选择的魔法物品换取一个有趣的故事。玩家必须讲述一个揭示其部分背景的故事，并通过DC 14的说服检定才能获得物品。每个玩家只能尝试一次，但每次失败，塔巴克西的兴趣都会减弱，DC增加2。如果塔巴克西的DC达到20，她会失望地收回提议并离开。 A pure black, unnaturally tall Tabaxi. She offers a magical item of the DMs choice in exchange for an interesting story. A player must offer a story that reveals a portion of their backstory and beat a DC 14 persuasion check to receive the item. Each player may attempt this once, but each time it is failed the Tabaxi’s interest wanes, increasing the DC by 2. If the Tabaxi’s DC reaches 20, she retracts, unimpressed, and leaves.
17	一个贫穷的小家庭，带着全部家当，正迁往新城镇。 A small and poor family, all their belongings in tow, moving to a new town.
18	一位售卖魔法矿物、水晶和粉尘的火蜥蜴巫师。他住在一间中央有巨大火堆的小屋里，大部分时间都在家中制作粉末并在火边进行手工艺。尽管他并不算最友善，但他聪明、强壮且乐于助人。他出售魔法与非魔法珠宝、烟火、法术和配方所需的组件与材料。 A Firenewt wizard who sells magic minerals, crystals and dusts. He lives in a hut with a large fire in the middle. He spends most of his days at home making powders and crafting near the fire. Although he is not the kindest, he is smart strong and helpful. He sells magical and non-magical jewelry, fireworks, components and ingredients for spells and recipes.
19	一只迷路后住在洞穴里的孤独沼泽蛙人。他自认为是洞穴的皇帝，手下有青蛙和蟾蜍作为仆从和守卫。 A lonely Bullywug who got lost and lives in a cave. He considers himself the emperor of the cave. He has other frogs and toads as minions and guards.
20	你看到两个骑马的身影：一个半身人和一个绿龙裔。他们小跑了一英里，直到在路边遇到一支戒备森严的华丽商队。原来，龙裔是一位参议员，正从外村返回。他们停下来喂马饮水，龙裔不小心把钥匙掉在了商队里。半身人是来自下一个城镇的锁匠。 You see two figures riding on horseback: a halfling and a green dragonborn. They trot along for about a mile until they come across a heavily guarded ornate caravan on the side of the road. As it turns out, the dragonborn is a senator, on his way back from a trip to the outer villages. They stopped to feed and water the horses, and the dragonborn accidentally dropped his keys in the caravan. The halfling is the locksmith from the next town over.
21	一只流浪狗，饥饿且肮脏，急需帮助。它戴着项圈，上面附着一张纸条，似乎是求救的信号！ A stray dog, hungry and dirty, desperately needing help. It has a collar with a note attached to it which seems to be a cry for help!
22	一支完全同职业但不同专长的敌对队伍。他们对同行有些令人厌烦，且正要去完成与队伍相同的任务/使命/目标。 A Rival party of the exact same class but different archetypes. They are a little obnoxious to their counterparts and are out to do the same quest/mission/thing the party is up to.
23	一位骑马旅行的黑骑士。可能被揭露为某种幻象，或是游荡的Boss型怪物。 A black knight traveling on horseback. Could be revealed to be some sort of illusion, or a wandering boss-type monster.
24	一个饥饿的乞丐，若得到帮助，日后会前来相助；若遭冷落，则会反其道而行之。 A hungry beggar, who if helped will come to their aid at a later date, if shunned will do the opposite.
25	一个疯狂的老头，自称知道一片充满魔法的秘密森林所在。你跟随他，但实际上他只是想带你回他家，因为自从妻子去世后他一直很孤独。 A crazy old man who claims to know where a secret forest full of magic is located. You follow him but he is actually just trying to take you back to his home because he has lonely ever since his wife died.
