1d10	线索-飞镖陷阱
1	几乎难以察觉的呻吟声/某物在巨大张力下发出的轻微噼啪声 Almost imperceptible groan/slight crackle of something straining under incredible tension
2	此处略微变窄，墙壁的石头和质地与其他地方略有不同 It narrows a bit here, walls are of a slightly different stone and character than others
3	此处石材/灰泥明显有碎裂/刮痕，碎片被扫向墙边 Stone/Mortar is noticeably chipped/scratched here, splinters are swept against the wall
4	此处地板上有一条锈迹横穿（原为细绳绊线，已向前移动几英尺） Line of rust bisects the floor here (former twine tripwire, moved a few feet ahead)
5	被气流搅动，一根羽毛的绒毛不合时宜地漂浮在空中 Stirred by wind-currents, an out of place fluff from a Feather floats listlessly in the air
6	此处有等距排列的孔洞，约在胸部高度，似乎被某物钻出 Something has bored evenly spaced holes, about chest level high here
7	地面上散布着深色污渍，一些如硬币大小，一处较大，液体曾在此积聚成洼。 Dark stains stipple the ground, some coin sized, and one larger where the liquid puddled
8	在恰好的角度下，前方有东西在火炬光中闪烁 At just the right angle something glints in torchlight ahead
9	一支小箭的箭杆上装饰着油亮的黑羽，骄傲地插在墙上 Fletched with oily onyx feathers, the shaft of a small arrow sticks proudly in a wall
10	这里的石板略微歪斜/凸起，边缘微微翘起，可能会绊到脚趾 Slightly askew/raised, the flagstones here have a slight lip that could stub toes
