1d12	预兆-元素
1	鼻识天机：烟熏/沃土/清新/咸海 Nose Knows: Smoke/Loam/Fresh/Brine
2	发出噼啪/咚咚/呼呼/哗啦的巨大声响 Crackle/Thump/Woosh/Splash very Loud
3	植物首当其冲：闷烧/粉碎/席卷/浸透 Plants bear brunt: Smoldering/Smashed/Swept/Soaked
4	近期局部地区降下余烬/小石子/闪电/冰雹 Localized Recent Rain of Embers/Pebbles/Lightning/Ice
5	泥泞足迹：灼烧/硬化/泥浆/稀释 Mud Footprints: Fired/Firmed/Sloshed/Diluted
6	胸甲：烧焦的/土质的/被抛入树中的/湿漉漉的 Breastplate: Singed/Earthful/Flung into Tree/Wet
7	微小元素虫群瞬间消失 Miniscule Paramental Gnats Wink Out
8	预兆元素：足迹显踪：焦黑/践踏/旋涡/潮湿 Telltale Tracks: Charred/Stomped/Whirled/Damp
9	对立元素在此恶意作乱 Opposite Element Spitefully Misbehaves here
10	野兽：烹煮/埋葬/风干/溺亡 Beast: Cooked/Buried/Desiccated/Drowned
11	火葬堆/土丘/尘暴/水龙卷 Pyre/Mound/Dust Devil/Water Spout
12	试图强行开启新传送门的努力被挫败 Attempts to wrench open a new Gate Foiled
