1d12	预兆-巨人
1	空气中弥漫着浓重得令人窒息的体臭味 Scent of Body Odor hangs oppressively thick in the air
2	有节奏的沉重步伐，惊扰了动物，令植物颤抖 Rhythmic Plods, spooking Fauna and quivering Flora
3	回荡的雷鸣般巨响，却不见任何风暴云 Echoing, thunderous Crash, no storm clouds in sight
4	一整群兽群的骨骼遗骸 Bones of what must've been a whole Herd's worth
5	干涸的池塘底，鱼儿在扑腾抽搐中喘息 Dry pond bed, Fish gasping as they Flop and Twitch
6	尽管有荆棘，灌木却被意外地压得扁平 Despite thorns, bushes smashed surprisingly flat
7	一大块燧石和一个划痕累累/凹陷的圆盾 Huge chunk of Flint and a scratched/dented Buckler
8	被践踏的树干，像火柴棒一样散落一地 Trampled Tree trunks, tumbled like matchsticks
9	巨石上刻有巨大刀刃磨砺的深痕 Stone, scored deeply by Massive Blade for sharpening
10	布满跳蚤的兽皮，缝制成谷仓大小的毯子 Flea-ridden Hides, stitched to a barn-sized blanket
11	巨大篝火/营火的遗迹：周围环绕着巨石 Remains of massive Pyre/Bonfire: ringed with Boulder
12	一个你可以轻易躺进去的巨人靴印 Bootprint you could easily lie down inside
