1d12	预兆-精类
1	散发着薰衣草香气的咯咯笑声与欢笑 Giggles and Laughter that smell of Lavender
2	悬挂着几缕奇异颜色的发丝 Strands of strange colored Hair, hanging
3	阳光照耀的花丛，所有花朵皆被斩首 Sunny patch of Flowers, all decapitated
4	隐约的叮当声，如同成千上万的小铃铛 Faint tinkling as thousands of tiny bells
5	石头上溅满了颜料和涂鸦 Stones splashed with Paints and Graffito
6	一层细腻闪亮的粉末，使物品如宝石般璀璨 Fine coat of glittering powder, bejeweling things
7	草莓酱的微小手印 Tiny Handprints of Strawberry Jam
8	花瓣，散落在小径上 Flower Petals, strewn along a Pathway
9	诡异的松果金字塔堆 Eerily pyramidal pile of Pinecones
10	五彩缤纷的布条，系在每一处 Colorful Ribbons of Cloth, tied on everything
11	里外翻转的袜子，塞在一只漏水的鞋子里 Inside Out Sock, shoved in a leaky Shoe
12	不可思议的平衡岩石，一触即倾 Impossibly balanced Rocks, a breath could tip
