1d12	预兆-魔法兽
1	不自然的嚎叫或尖啸，几乎像人类般娇媚 Unnatural Yowls/Screams, almost coyly Human
2	具有强烈而独特的气味标记 Rather astringent and distinctive Scent Markings
3	被践踏的草地/巢穴被清扫一空 Trampled Grass/Nap Site swept bare
4	脱落的毛发/鳞片/皮（可能全部都有！） Molted Fur/Scales/Skins (potentially all!)
5	马/骡大小的拖拽痕迹 Horse/Mule sized drag marks
6	被猛烈撕碎的布制麻袋 Cloth sack, eviscerated ferociously
7	巨大的岩石，松动或翻倒 Large boulder, unseated/overturned
8	被撕裂的肋骨笼，内脏缺失 Savaged Rib-cage, Organ Meat missing
9	凹陷至无用：头盔/盾牌 Dented to uselessness: Helm/Shield
10	奇异地整齐划一的领地标记 Oddly uniform territorial Markings
11	足迹讲述了一次失败的狩猎 Tracks narrating an Unsuccessful Hunt
12	一只猎物藏于树中/埋藏以备后用 A Kill stored in a Tree/Buried for Later
