1d12	预兆-亡灵
1	轻微的颤栗，仿佛有手指沿着你的脊背滑下 Subtle shiver, like a finger down your spine
2	鼻孔对尘土和尸臭的气味皱起 Nostrils wrinkle at dusty, charnel odors
3	来源不明的哀悼般悲鸣 Dirge-like keening of uncertain providence
4	腐肉甲虫，在脚下嘎吱作响并匆匆爬行 Carrion Beetles, crunching and scurrying underfoot
5	令人不安的寂静，逐渐变得几乎震耳欲聋 Disturbing lack of Sound, growing almost Deafening
6	压抑的寒意，令人毛骨悚然，起鸡皮疙瘩 Oppressive Cold, Horripilation and Gooseflesh
7	用古老语言低语，提及早已被遗忘的名字 Whispers in an ancient Tongue, Names long Forgotten
8	被虫蛀的裹尸布碎片，古老的编织物 Strips of motheaten Shroud Linen, ancient Weave
9	下颌骨，牙齿齐全，朝上翻转，不见头骨踪影 Jawbone, replete with Teeth, upturned no Skull in sight
10	干瘪生物：面容凝固在恐惧的狞笑中 Desiccated Creature: Face locked in a Rictus of Fright
11	亵渎性地玷污了神圣符号 Blasphemously defaced Holy Symbols
12	紧握某物的骷髅手 Skeletal Hand, still gripping tightly onto something
