1d12	预兆-害虫
1	散落的蛛网团/细软绒毛/甲壳碎片 Tumbled tufts of Cobwebs/fine Fur/Carapace
2	微弱的窸窣声，低沉的嗡嗡声 Faint scurrying sounds, low droning buzzes
3	粪便、虫蛀屑和难看的污渍 Droppings, frass, and unsightly stains
4	食物被丢弃，啃咬和啃食 Foodstuffs Discarded, gnawed and nibbled
5	卵囊/蛹/筑巢材料 Egg Sac/Pupae/Nesting Material
6	瞥见一只饱食的害虫饲养者 Glimpse of a well-fed Vermin-feeder
7	多处小牙齿啃咬或啮食的痕迹 Numerous gnaw/nibble marks from tiny teeth
8	陷阱/水坑已夺走数名受害者 Trap/Puddle claimed a few Victims
9	螺栓孔/旧蜂巢现已废弃 Bolt Holes/Former Hives now disused
10	骨架化的生物，关节仍然可活动 Skeletonized Creature, still articulated
11	不适者之躯，被虫群践踏/吞噬 Bodies of the unfit, trampled/eaten by the Swarm
12	区域内的苔藓和植物被彻底清除 Area stripped clean of Mosses/Plants
