1d12	预兆-构装体
1	微弱的试剂或熏香气味 Faintest whiffs of Reagents or Incense
2	随着时间的推移，会脱落碎片、铁锈或尖刺 Splinters/Rust/Shards shed over time
3	杂乱堆叠的同类物品：树叶/石头/门 Haphazardly Piled Like Items: Leaves/Stones/Doors
4	永恒燃烧的骨灰瓮/火盆，燃料源源不断 Urns/Braziers Perpetually Lit/Fed with Fuel
5	明显缺乏蛛网和灰尘 Conspicuous Absence of Cobwebs/Dust
6	老鼠/小型害虫被完全压扁 Mouse/Small Vermin Utterly Flattened
7	磨损的魔法阵/符文/曼荼罗 Scuffed out Magic Circle/Sigil/Mandala
8	楼梯/门口/墙壁因频繁通行而变得光滑 Stairs/Doorways/Walls smoothed from Repeated Passage
9	刻意且均匀、深度一致的脚印 Deliberate, Uniform Footprints of equal depth
10	近期混战中弯曲、耗尽或断裂的武器 Bent, Spent, or Broken Weapons from recent Fracas
11	被猛烈击打的场景/受害者残骸 Positively Pummeled Scenery/Victim Remains
12	断裂的角/指/肢预示材料 Snapped Horn/Digit/Limb foretells Materials
