1d12	预兆-植物
1	清新的花香轻拂鼻尖 Fresh floral notes tickle the nose
2	森林地面散发出的气味并不完全令人不快 Not altogether unpleasant smell of forest floor
3	不合时宜或季节错乱，出现叶子、果实或坚果 Out of place or season, leaves/fruit/nuts
4	授粉者/害虫，蝴蝶/蜜蜂/虫群聚集 Pollinators/pests, butterflies/bees/bugs swarming
5	断裂的苔藓树皮条，排成一条直线 Broken strips of mossy Bark, all in a line
6	草地或碎屑，中间分开 Grass or detritus, parted down the middle
7	鸟巢翻覆，焦急的父母尖声鸣叫 Bird Nest, upturned, frantic parents screeching
8	异常弯曲却未折断的枝条 Unnaturally bent twigs, somehow unsnapped
9	黑色土壤，依旧湿润，结块粘连 Dark soil, still damp, clinging in clogs
10	散播种子，意外地繁花盛开 Shed seeds, blossoms in unexpected profusion
11	深沟纵横，似有物自地底被强行拽出 Deep Furrows, as something wrenched from earth
12	刻意、拖曳般的痕迹伴随着抓痕 Deliberate, drag-like tracks passing scratches
