1d70	节假日
1	回归节——节日期间全天敞开家门以示庆祝。纪念一支圣武士冒险队伍消灭了一群在夜间掳走人们进行仪式的女巫后，无数失踪者重返家园的日子。 Festival of Returns – Celebrated by keeping one’s door open all day during festivities. In remembrance of the day that countless missing people returned home after an adventuring group of paladins vanquished a coven of hags who had been stealing people away in the night for their rituals
2	织工之夜——为布艺工匠举办的巧妙节日。庆祝当地森林蜘蛛群向镇民求助，以保护其巢穴免受觅食的鸡蛇兽侵扰。本地女裁缝们响应号召，编织出坚固的大布网，供蜘蛛藏身，直至鸡蛇兽被处理。 Weaver’s Eve – An artful festival for fabric makers. Celebrates the day when the nearby forest’s local spider population came to the townspeople asking for help to safeguard their nests from foraging cockatrices. The local seamstresses responded by making large, sturdy fabric webs for the spiders to hide in until the cockatrices could be dealt with.
3	石之日——作为石匠技艺的认可日庆祝。起源于数百年前的一个纪念日，当时猎人回到镇子，发现所有居民都被游荡的美杜莎变成了石头。 Day of Stone – Celebrated as a masonry recognition day. Began as a day of remembrance some hundreds of years before when Hunters returned to town only to find that every person had been turned to stone by a roaming Medusa.
4	怨灵节——人们在这一天互相倾诉怨气，以免因压抑而被怨灵缠身。此节日起源于很久以前，一位死灵法师对小镇施加了沉默的敌意诅咒，直到人们开始互相残杀，随后他将死者复活，组建了一支亡灵军队。 The Haunt – A day when people offload their grievances with one another, lest they be haunted by holding it in. In recognition of the day long ago when a necromancer bestowed a curse of silent aggression over the town until people began killing one another, then raising them for his army of dead.
5	蜜月节——每隔几个月，月亮会连续两三个夜晚升起时散发出金色光芒。在名为&lt;我不擅长取名&gt;的小镇上，人们相信月亮之所以如此，是因为某处有人找到了真爱。在这些日子里，街道上摆满了桌子，人们邀请他人在这金色月光下共度约会，无论是友情还是爱情（类似于现实世界的情人节约会）。 The Honey Moon festival – Every few months, the moon will rise with a golden glow for two or three nights. In the little town of &amp;lt;im bad at names&amp;gt; they say that the moon does this when someone, somewhere, finds true love. During these days, tables are set out in the streets and people ask others to join them on dates, platonic and romantic, underneath the golden moonlight (similar to real world valentines dates).
6	酒吧凳焚烧节——在一次事件中，一只伪装成酒吧凳的拟态怪咬掉了一位可怜顾客的屁股，酒馆里醉醺醺的顾客们便在街上烧掉了所有的酒吧凳。从此，一个下午的饮酒和用酒吧凳及其他易燃物搭建街头篝火的活动，成为了一个年度节日，并蔓延到城市里所有的酒馆。酒馆们用增加的收入购买新的酒吧凳。 The Barstool Burning – After an incident where a mimic disguised as a barstool bit off a chunk of a poor patron’s bum, the tavern’s inebriated clientele burned all its barstools in the street. An afternoon of drinking and building street bonfires made of barstools and other flammables has since become an annual holiday that has spread to all the taverns in the city. The taverns use the bump in proceeds to buy new barstools.
7	怪物游行——每年一次，区域内所有城市举行游行，参与者身着精心制作的怪物服装。大城市可能雇佣法师施展特效，并制作多层楼高的巨兽，安装在带活动部件的轮车上，参与者可乘坐在内。游行的高潮是“神圣圣骑士”，他身着华丽的盔甲和道具武器，驱赶“怪物”。圣骑士角色通过人气竞赛或其他方式选出，几乎从不是真正的圣骑士。该游行纪念一次通过制造街道已被恐怖怪物占领的假象，吓退外国进攻，并轻松击败驱赶它们的守卫的计谋。 Monster Parade – Once a year, all the cities in region hold a parade where all the participants wear elaborate monster costumes. Larger cities may employ magicians for special effects and have multistory beasts mounted on wheeled carts with movable parts and participants riding inside. The final attraction in the parade is the “holy paladin” with an elaborate armor outfit and costume weapons who is driving the “monsters” away. The role of the paladin is chosen by popularity contest or some other method, and is almost never an actual paladin. The parade celebrates a plot to deter a foreign attack by making it appear that terrifying monsters had already overrun the streets, yet they were easily defeated and driven off by guards.
8	沐浴与游泳节——这一“节日”起源于一个间歇性遭受吸血鬼困扰的地区。每当发现又一具被吸干的人时，领地内的所有男女老少都会被召集起来，涉水渡过一条浅河。行动不便者被抬着并浸入水中。随后进行人口普查，任何未到场或拒绝参加的人（包括访客）都会被抓住并浸入水中。等待审判结束的无聊青年很快在河流较深处发起了一场如今已成传统的游泳比赛。多亏了一对富有创意的游吟诗人，一个反复上演的喜剧表演应运而生。两位诗人分别扮演一名迟钝的守卫和一只吸血鬼，坐在一个大木浴缸里，表演“直男与智者”的小品。这一喜剧表演以教育意义收尾：它讲述了吸血鬼的能力与弱点，并警告人们不要明确邀请任何人进入你的家，或是你的浴缸。 The Bath and Swim – This “festival” originated in a region with intermittent vampire problems. When another drained person is found, every man, woman, and child in the territory are ordered to assemble and wade across a shallow river. Immobile people are carried and then submerged. A census is then taken, and anyone who didn’t show up or refused (even visitors) is captured and dunked. Bored youths waiting for the trials to end soon started a now traditional swimming contest in the deeper part of the river. Thanks to a pair of enterprising visiting bards, a recurring comedy act developed. Two bards playing an oblivious guard and a vampire sit in a single large wooden bath and deliver “Straight Man and Wise Guy” skits. The comedy act has an informative end: it addresses vampire powers and weaknesses, and cautions against explicitly inviting anyone into your home, or your bath.
9	化装舞会——上流社会与贵族阶层的盛会。参与者身着高度遮掩的面具与服饰，在舞厅中翩翩起舞。由于身份看似被隐藏，人们得以尽情释放。挑战权威的言论、奇装异服、放荡舞姿、公开示爱、失礼之举、粗俗笑话及公开八卦均被允许。许多被压制与压迫群体的斗士首次在此发表宣言。对于调查贵族联盟与行径者、寻求宫廷影响力的社交攀爬者，以及寻找高层保护与买家的地下世界盗贼而言，化装舞会不容错过。 Masquerade ball – An event for the upper classes and nobility. Participants ballroom dance while wear highly concealing masks and costumes. Because everyone’s identities are ostensibly hidden, participants are expected to cut loose. Statements challenging authority, outrageous clothing, lascivious dancing, public displays of affection, impoliteness, crude jokes, and open gossip is also permitted. Many champions of silenced and oppressed factions voiced their first manifestos here. The masquerade ball is a can’t-miss for anyone investigating aristocratic allegiances and doings, social climbers seeking courtly influence, and underworld rogues looking for high level protection and buyers.
10	地下墓穴狂欢节——每年一次，在大城市中，市民们前往地下墓穴，庆祝又一年生命的延续，并敬仰那些安息于此的逝者。他们通过妥善清理和整理已在墓穴中存放一年的遗骨，将其排列成精致的结构和图案。任何受损的骨头都会在城市广场的巨大火堆中焚烧，其灰烬被用作地下骨雕的砂浆。他们还会向那些负责将尸体分解至骨头的甲虫和老鼠献上供品。在墓穴清理完毕，前一年的逝者得到妥善安置后，便迎来一整天的庆祝活动。狂欢者们点亮墓穴和隧道，在街道上下游行庆祝，佩戴着甲虫、老鼠和骷髅的面具，以驱散可能潜藏在城市地下黑暗深处的恶灵和居民。 Catacomb Carnival – Once per year in the great cities the citizens head to the catacombs to celebrate another year alive and honor the dead interred in them by properly cleaning and arranging the bones of those that have been in the catacombs for a year into elaborate structures and designs. Any bones that are damaged in any way are burned in a great pyre in the city square and the ashes are used in the mortar of the bone sculptures below. They also leave offerings to the beetles and rats that do the job of stripping the bodies down to the bone. After the catacombs have been cleaned and the years previous dead have been attended to there is a day and night of celebration where revelers light the catacombs and tunnels and celebrate in procession above and below the streets wearing masks of beetles, rats, and skeletons to ward off any dark spirits and denizens that might also haunt the dark recesses below the city.
