1d100	风味-护盾术
1	一件精致的丝绸托加长袍，绣着无意义的符文 A delicate samite Toga, embroidered with nonsense Runes
2	琥珀十二面体，每个包裹着一只精致的蜘蛛，爆裂时散发出芬芳的葡萄酒香 Amber Dodecahedrons, each encasing a delicate Arachnid, burst with fragrant Wine
3	苹果大小、亮紫色的光球环绕施法者头部，来回摆动以拦截攻击 Apple-sized, bright lavender Globes, orbit caster's head and lurch to and fro to intercept
4	星界丝带，施法者眼睛颜色的丝带展开并打结以应对攻击 Astral Ribbons, color of the caster's eyes unfurl and knot in response to attacks
5	瓶状绿色梨形躯体，爆裂时洒出大量微小种子 Bottle Green Pear-shaped bodies, burst in a shower of tiny seeds
6	明亮的青绿色链条，中间相连，末端为镣铐，低声吟诵祈祷 Bright teal Chains, linked in the middle, ending in shackles, utter whispered prayers
7	色彩斑斓的青蛙，如游水般在空中游动，朝看不见的飞虫弹射舌头 Brilliantly colored Frogs, swimming in air as water, flick tongues at unseen flies
8	上方鼓胀的水袋，防御性刺破并喷射出油腻的绿色液体 Bulging waterskin above, defensively punctures and releases jets of greasy green liquid
9	个人瀑布般流淌的蓝绿色水帘，宽度不超过一指宽 Cascade of aquamarine in a personal waterfall, no more than a finger-width wide
10	胖乎乎的彩色蘑菇帽在可能遭受攻击的地方策略性地生长 Chubby Toadstools with colorful caps sprout strategically where blows may land
11	茄子色金属的苜蓿状碎片，呈管状聚合并散开 Clover shaped flecks of aubergine metal, in a tube-like shape coalesce and disperse
12	硬币大小的姜饼，排列成三角形，持续时间结束时化为苍白灰烬 Coin sized Ginger Cookies, arrayed in triangle, turn to pale ash when duration elapses
13	涌现出幽暗巨口的吞噬之口，渴望吞噬魔法飞弹 Comping mouths with nether-black maws, eager to dine on Magic Missiles
14	无声的蔚蓝火焰噼啪作响，喙状鸟颅在其轨道上疾驰 Crackling with silent azure Flames, beaked Bird Skulls careen in their orbits
15	跳舞、扭曲的幽灵精灵骷髅四处跳跃，用带刺的刀刃进行格挡 Dancing, twisting, ghostly Elf Skeleton leaps about parrying with barbed blades
16	蒲公英种子头在无形的微风中摇曳，用其冠毛洒下攻击 Dandelion seed heads lilting in non-existent breezes, shower their pappus with strikes
17	精致镂空的圆环，旋转时不可思议地相互扣锁 Delicately filigreed hoops, impossibly interlocked as they spin
18	薄纱般的罩子降下，部分攻击被弹开，可惜并非完全密封 Diaphanous cloche descends and some blows bounce off, sadly not air-tight
19	微小的箭矢捕捉小鬼，用它们的铁翼聚集成球 Diminutive arrow-snatching Imps, ball together with their Iron wings
20	数十只虚幻的麻雀，滑翔俯冲以阻挡攻击 Dozens of insubstantial Sparrows, gliding and diving to interpose
21	暗淡的土色圆盘，略微透明，法术结束时化为面包屑消散 Dull, dun colored disc, slightly translucent, dissolves to bread crumbs when spell ends
22	九只灵质猫优雅地在腿间穿梭，轻盈扑击 Ectoplasmic Felines, one shy of ten, weave through legs gracefully and pounce
23	蛋形肥皂泡，带有彩虹光泽，破裂并重新形成时伴有孩童般的笑声 Egg-shaped soap-bubble, with rainbow sheen, pops and reforms with childlike giggles
24	好斗灰熊的幻象化身 Eidolic representation of a pugnacious Grizzly Bear
25	巨大的橡果，拳头般大小，忠实地漂浮在一臂之遥的周围 Enormous Acorns, easily fist-sized, float dutifully about an arm-span out
26	花束中繁盛的花朵排列，花瓣飘落化作红色烟雾 Exuberant arrangement of Blossoms in bouquet, petals fall becoming red smoke
27	浑圆气泡的灰绿色液滴，能在各处闪现 Fat Fizzy Drops of glaucous liquid, blink from place to place
28	圆盘边缘的蕨类叶片，随声响卷曲与舒展 Fernlike fronds on the edges of a Disc, curl and unfurl in response to noise
29	如溪流般蜿蜒，银色纹身在裸露的皮肤上交织流淌 Flowing like rivulets, silvery tattoos meander and interlace over exposed skin
30	飞旋的扑克牌，牌面花色非本土所见，伴随着低沉的洗牌声 Flurry of Playing Cards, suits not seen in these lands, accompanied by low shuffling sounds
31	菱形镜面般的光滑表面，能够弯曲光线并造成视觉扭曲 Flustering Mirror-like surfaces, shaped like lozenges, bend light and distort
32	空气中漂浮着漆黑的脚印，仿佛有人在攀爬看不见的墙壁 Fuliginous Footprints floating in the air as if someone was walking up invisible walls
33	玻璃穿山甲鳞片无声交错，化作羽毛飘散 Glass pangolin scales, interlocking noiselessly, fall away into feathers
34	闪耀的圆盾上绘有一张嘲讽的面孔，随着时间推移逐渐变得愤怒 Glowing Buckler featuring a mocking face that gets progressively angrier
35	金斑雾气，聚集于脚踝处，升腾成手状触须 Gold-flecked Mist, gathers at ankles and rises in hand-shaped tendrils
36	如薄纱般的链甲袍，轻声细语如溪流潺潺 Gossamer-like Chainmail Hauberk, softly babbling like a brook
37	优雅环绕，一条蜿蜒的肉色双头蛇，每个头部都镶嵌着红宝石般的眼睛 Gracefully encircling, a sinuous sarcoline Serpent with ruby eyes adorning both it's heads
38	六枚斑驳的蛋，仿佛被一位看不见的技艺高超的杂耍者抛掷而出 Half-a-dozen speckled Eggs, as if propelled by an unseen, talented Juggler
39	六边形烟霞小盾，每日颜色变幻莫测 Hexagonal buckler of shimmering smoke, different color on different days
40	蜂蜜味的泡沫（尝尝看吧！）慵懒地拍打着，如同低潮时的海岸线 Honey flavored foam (go ahead, taste it!) lazily laps, like a shore at low tide
41	无形横杆，幽灵般的牵线连接四肢：拉扯以进行招架或闪避 Intangible Cross-Bar, spectral Marionette strings linked to limbs: yanking for parry/dodge
42	交错且可拆卸的板甲，形似犀牛皮 Interlocking and disassembling plates resembling Rhinoceros Hide
43	精致蚀刻的圣甲虫壳，镶嵌着不可思议的宝石，触角微微颤动 Intricately etched Scarab Shell, inlaid with impossible jewels, antennae twitch
44	在被击中前隐形，显露出焦黑且覆盖甲壳的外壳 Invisible until struck, reveals a charred and Chitinous Carapace
45	果冻般的微粒，摇晃着悬浮，彼此包裹并分裂 Jelly-like corpuscles, hovering with wobbles, enveloping each other and splitting
46	骑士之盾携变幻莫测的纹章，自信地飘移以迎敌 Knight's Shield with perplexingly mutable Heraldry drifts confidently to face Foes
47	如同熟透的李子嵌着炽热的余烬石，流淌着嘶嘶作响的香氛 Like Ripe Plums with glowing ember stones, weeping perfume that sizzles
48	忠诚的三腿混血犬，无声咆哮并跃起保卫主人 Loyal three legged Dog of indeterminate breeding, silently snarls & leaps to Master's defense
49	表皮凹凸不平的奇异水果，法术结束时飘落雪花 Lumpy and exotic Fruits with knobby skins, shower of snowflakes at Spell's end
50	弹珠大小的眼睛，每只虹膜颜色各异，相互弹跳碰撞 Marble-sized Eyes, each with a different colored iris, bounce and careen into each other
51	精心堆叠的雪球在空中摇晃不稳 Meticulously packed Snowballs wobbling unsteadily in the air
52	幻影般的薄雾，仿佛折射或弯曲物体，如同水线下的芦苇 Mirage-like Haze, seems to refract/bend objects, like a reed beneath the waterline
53	几乎透明，形似孔雀羽毛末端，但带有一只眼睛 Mostly transparent, resembling the end of a Peacock Feather, but with an Eye
54	珍珠母贝半壳，融化为霜盐卤水 Nacreous Oyster Half shell, melts into rimey-brine
55	狭窄的哈姆萨护符，缺失一指，大小如塔盾，由黑暗构成 Narrow Hamsa with missing finger, size of a Tower Shield, made of darkness
56	精心切割的宝石已逃离镶嵌，翡翠、蓝宝石、红宝石等皆不例外。 Painstakingly cut Gemstones have fled Settings, emeralds, sapphires, rubies, etc.
57	苍白的白色表皮，如蛇蜕般在帮助下脱落 Pale white dermis, like a shed snake skin, sloughs off with help
58	薄如纸，大如门：一层可透视的橡胶状膜 Paper thin, but the size of a Door: a rubbery membrane you can see through
59	栖身警戒的银白色伯劳鸟，随时准备出击以守护其受护者 Perched and watchful electrum Shrikes, posed to strike in defense of their ward
60	施法者的幻影战士从体内走出，进行防御 Phantasmal version of Caster, as a Warrior, steps out from their body to defend
61	罂粟籽大小、拥有精致翅膀的生物，在空中穿梭如蚊蚋 Poppy-seed sized, delicate winged beings, darning the air like gnats
62	带有翡翠绿蝙蝠翅膀的蘑菇球，飘散的烟雾散发出胡萝卜屑的香气 Puffballs with jade green batwings, wispy smoke trails smell of shaved carrots
63	脉动的朱红色球体自行变幻成各种奥术符号 Pulsing vermillion globs shape themselves into various Arcane Symbols
64	被幻影蛇环绕，其鳞片如星光般闪烁 Ringed by phantasmal Serpents with scales that sparkle like starlight
65	河流打磨的石头，完美适合打水漂，旋转不定但碰撞后会融合 River polished stones, perfect for skipping, spin erratically but merge on collision
66	罗宾蛋蓝色金字塔，始终为三个，形成一个三角形，由黄色光束相连 Robin's Egg Blue Pyramids, always 3, forming a Triangle, linked by yellow beams
67	紫色字母组成的萨托方块，不断重新排列/变换其符文 SATOR square of violet letters, constantly re-arranging/altering their script
68	仿佛由滴落的焦油雕刻而成：悬浮着你出生时的占星符号 Seemingly sculpted from dripping Tar: levitating Astrological Symbol of your birth
69	七名幽影矮人迅速用银钉将幽灵般的木板钉在空中 Seven shadowy Dwarfs quickly nail ghostly planks with silver nails to the air
70	一层稀薄的灵质薄膜，留下迅速消逝的足迹 Sheer film of wispy ectoplasm, leaves quickly fading footprints
71	静音铜铃，铃舌覆布，法术结束时发出微弱叮当声 Silent Brass Bells with cloth covered clappers, faint tinkling when the Spell ends
72	施法者周围环绕着银色斑点的圆柱体，裂纹瞬间愈合 Silver-flecked Cylinder surrounds Caster, cracks instantaneously mend
73	一片闪烁的叶子，高如施法者，随季节变化物种与颜色 Single, shimmering Leaf, tall as Caster, changes species/color based on Season
74	六只幽灵般的手掌张开，每根手指上都环绕着微弱的光环 Six spectral Hands, palms outstretched, each finger with a faint glowing ring
75	藏红花沙丁鱼群，惊怯学派，如一体般游动，疾冲向危险 Skittish school of saffron sardines, moving as one, darting toward danger
76	纤细、抓握的手，涂着漆的指甲，有时会不耐烦地突然合拢 Slender, grasping hands with lacquered Fingernails, sometimes snap impatiently
77	抛光玉石制成的小骷髅头，带着嘲弄的笑容，眼中闪烁着微小的粉色火焰 Small Skulls of polished Jade with jeering grins, eyes contain tiny pink flames
78	烟雾石英球体，不规则地曲折移动，若触碰则如燧石般迸发火花 Smoky Quartz Spheres, zig-zagging irregularly, sparking like flint if they touch
79	幽灵之树，怀抱枝干：幽灵松鼠拦截魔法飞弹 Spectral Tree with embracing boughs: ghostly squirrels snatch Magic Missiles
80	斑点蝾螈在你身上匆忙爬动，发出轻微的尖叫声 Spotted Newts busily scramble over your Person, letting out quiet shrieks
81	突然从头皮中长出：坚韧的长发如鞭般挥舞，为你提供防御 Sprouting suddenly from scalp: Long sturdy tresses that whip to your defense
82	初始为紧密圆柱体，展开后成为适合巨人的卷轴。大部分时间空白无字。 Starts as a tight cylinder, unrolls as a Scroll fit for a Giant. Blank most of the time
83	被一座幽灵般的塔楼环绕，形似国际象棋中的车 Surrounded by a wraithlike Tower, resembling a Rook from Chess
84	旋风般的尘魔，骨片、牙齿和啮齿动物头骨如枯叶般沙沙作响 Swirling dust-devil, shards of Bone, Teeth, and Rodent Skulls rustle like dead leaves
85	成千上万的橙色尺蠖，沿着各自的路线勤勉行进 Thousands of orange Inchworms, diligently marching in their own routes
86	紧密排列的鳞片，呈火焰蓝色，中心为赭石色 Tightly arranged, tessellated scales, flame blue with ochre centers
87	紧密排列的奇幻鱼鳞，闪烁着彩虹般的光芒 Tightly packed fanciful Fish-scales, glimmering with all colors of the Rainbow
88	微型秋月复制品缓缓环绕，逐渐消散为一阵干草雨 Tiny replica autumn Moons circle slowly, deflate into a shower of hay straws
89	泰坦玻璃币，币面刻有皱眉的国王，攻击遭遇爽朗笑声化解 Titanic glass Coin, scowling King on the Face, blows met with hearty laughter
90	半透明的雪花石膏龟壳，鳞片闪耀着光芒 Translucent alabaster Turtle shell with radiant scutes
91	三重螺旋三曲枝图，圆圈旋转近乎催眠，呈现铜绿之色 Triple spiral triskelion, circles spinning almost hypnotically, the color of verdigris
92	"青绿色圆盘，餐盘大小，角度“恰到好处”以偏转 Turquoise discs, the size of dinner plates, angled ""just so"" to deflect"
93	一串多面珠链缓缓旋转，形成慢动作的防御屏障 Twirling string of faceted beads, whirling in slow-motion
94	不眨眼的荷鲁斯之眼，约躯干大小，虽为二维却坚韧无比 Unblinking Wedjat Eye, bout the size of your Torso, two-dimensional but hardy
95	不融化的粉状雪球以宽阔的带状轨道环绕旋转 Unmelting balls of powdery Snow loop around in wide, belt-like orbits
96	令人不安的几何形状透明烟雾，角落分裂成更多，然后重新合并 Unsettlingly geometric cloud of see-thru Smoke, corners split into more, then merge
97	垂直的龟甲状环面，会裂开或出现裂纹，但似乎永远不会真正破碎 Vertical tortoiseshell Toruses, splinter/crack but never seem to actually break
98	一只非常愤怒的螃蟹，拥有一只大提琴大小的钳子，用细长的腿侧步移动 Very angry Crab with one Cello-sized Claw sidesteps on spindly legs
99	微微摇晃中，覆盖着柔软苔藓的球体沿着预定路径蹒跚前行 With slight wobble, tender moss covered globes lurch along predetermined paths
100	蠕虫扭动的墙，盾形，最终溶解成一滩麦酒 Writhing wall of worms, shield shaped, disintegrates into a puddle of Ale
