1d100	风味-著作
1	《为人类服务》：一本关于烹饪人类精细艺术的食人魔食谱。 To Serve Man: An ogre cookbook on the delicate art of cooking humans.
2	《似曾相识，却又陌生：新伙伴照料指南》 It's Familiar, But Not Too Familiar: A guide on how to take care of you're newly acquired companion.
3	谁动了我的奶酪？：初学者逐步掌握法师之手的指南。 Who Moved My Cheese?: Step by step guide to Mage Hand for beginners.
4	我们都曾犯错：死灵术入门——复活亡妻指南 We've All Made Mistakes: Intro to Necromancy raising your dead wife.
5	《舰队与幻想》：一部讲述奇特英雄故事的小说。 Of Fleet and Fancy: a Novel that tells the tales of Odd Heroes.
6	你被入侵了吗？：一本关于如何保护自己免受食人魔、哥布林、狗头人和林地小动物侵害的指南书。 Are you being invaded?: A guide book on how to protect one's self from Ogres, Goblins, Kobolds, and woodland critters.
7	《食人魔的绳结指南》：一本关于如何打各种绳结的简易指南。 Ogre's Guide to tying Knots: A Simplistic Guide on how to Tie Various Knots.
8	《卡沃尔的陨落》：一部关于穴居人战争的虚构作品。 The Fall of Cavour: A Fictional Piece about the caveman wars.
9	《特米娜的狗头人指南》卷一至卷六：一本全面介绍狗头人内外特征的入门野外指南。（掷1d6决定具体卷数） Temina's Guide to Kobolds Volume 1 - 6: An introductory Field Guide to all the ins and out on Kobolds. (1d6 to see which volume it is)
10	男人对女人的了解：一本精装书，内有一百页空白。 What Men know about Women: A Hard cover Book with One Hundred Empty Pages.
11	修士阿尔伯特的陷阱生存指南：粉笔、绳索、火把和坚固的杆子是你最好的朋友。还有头脑。 Friar Albert's Guide to Surviving Traps: Chalk, rope, torches and a sturdy pole are your best friends. And a brain.
12	修士阿尔伯特的森林小径指南：地衣和苔藓，你这个傻瓜。学会区分它们。 Friar Albert's Guide to Forest Trails: Lichen and moss, you fool. Learn the difference.
13	修道士阿尔伯特的酿造指南：冒险时最好别尝试这个。 Friar Albert's Guide to Brewing: You should probably not be adventuring while doing this.
14	阿尔伯特修士的[设定]历史指南：布拉金斯，安静点，专心听讲！ Friar Albert's Guide to the History of [setting]: Braggins be quiet and pay attention!
15	阿尔伯特修士的草药与植物指南：若记不住，不妨嚼些毒芹来镇定神经。 Friar Albert's Guide to Herbs and Plants: If you can't remember this then chew on some hemlock for your nerves.
16	阿尔伯特修士的出版法指南：如果你只读了署名就去世了，我可不能为此负责。 Friar Albert's Guide to Publishing Law: No I can't be held responsible if you only read the byline and then die.
17	修士阿尔伯特的逃离学院并藏身教堂地窖指南：一部回忆录。 Friar Albert's Guide to Fleeing the Academy and Hiding in a Church Cellar: A Memoir.
18	美之眼中的眼魔：为家中眼魔提供的经典时尚建议！ Beholder in the eye of Beauty: Classic fashion tips for the beholder in your family!
19	地图，地图，地图：大量地图供您阅读享受。 Maps, Maps, Maps: Tons of maps for your reading pleasure.
20	《风骚的亚龙女仆》：一部经典的泰姆瑞尔传说，讲述了一位风骚的蜥蜴人女仆的故事。 The Lusty Argonian Maid: A classic Tamriel tale of a lusty lizardfolk maid.
21	哈丁博士的魔法科学指南：哈丁博士的书中阐述魔法是压制超自然现象科学解释的骗局。 Dr. Harding's Guide to Magic Science: Dr. Harding's book describes how magic is a hoax to supress scientific explanations of the supernatural.
22	地下城主与寻找之道：一本描述罕见生物的神秘书籍。 Dungeon Masters and how to find them: mysterious book describing the seldom-seen beasts.
23	怪物秘密巢穴指南：关于打造完美家园，怪物所需了解的一切。 A Monster's Guide to Secret Lairs: Everything a monster needs to know about making the perfect home.
24	《费伦生存指南》[第一版]：由布隆修道院的圣·莫伊拉撰写（并绘制插图），作为有志冒险者或来访天界生物的完整参考。该书由一位隐士撰写，基于口述传闻，包含了许多可能不应遵循的“事实”。 The Faerun Survival Guide [1st edition]: Written (and illustrated by) St. Moyra of Bron Abbey as the complete reference for would-be adventurers or visiting celestials. Written by a recluse and based on what had been told to the author by word of mouth, it contains many “facts” that should probably not be followed.
25	墙后：一本用人皮制成的书。这本书总是湿漉漉的，散发着新鲜尸体的气味。书中讲述了一个水下洞穴中的封印。不知为何，读完这本书后，你会产生一种想要打破封印的冲动。 Behind The Wall: A book made out human skin. This book is constantly wet and smells like a fresh corpse. This book talks about a seal in a cave underwater. Unsure of why but after reading this you get the feeling that you want to break the seal.
26	梦中陌生人：这本书讲述了作者回忆一个堕落生物在她的梦中逐渐靠近她的经历。这本书似乎是一本日记，且未完成。当你阅读这本书最后一页时，你将受到1d8点精神伤害。 Stranger in my dreams: This book talks about the author recalling a depraved creature who over time got closer and closer to her in her dreams. The book seems to be a diary and was never finished. When you read the last finished page in this book you take 1d8 points of psychic damage.
27	《好奇害死猫》：当你翻开这本厚重的深红色书籍，很快发现里面只有一页。你一开始阅读，文字便滴落在地。你无法理解任何内容，但立刻意识到这些文字预示了你的死亡。 Curiosity Kills the Cat: When you open this thick maroon colored book you quickly realize there is only one page inside. The text drips onto the floor as soon as you begin to read it. You cannot understand any of the text but you immediately realize the text tells of your demise.
28	海洋的影响：这本书只能在靠近海洋或雨天时阅读。书中讲述了一个在海洋中等待你的人，他提到了为你保留的所有奖赏。若你成功通过DC16的洞察检定，会发现此人是在欺骗你。至于他是否真实存在，你无从知晓。 Influence of the Ocean: This book can only be read when near the ocean or on a rainy day. Inside the book talks about a man who is waiting for you in the ocean. He mentions all of the rewards he is keeping for you. If you roll and succeed an insight check DC16 you'll find out that this is man is lying to you. If he is real or not you don't know.
29	盗贼日记：这是一本袖珍皮革日记。每当玩家写完一页，就会丢失一枚金币，且不知去向。 Diary of a Thief: This book is a pocket sized leather diary. Every time a player finishes a page of this book they lose a gold coin Unsure of where it went.
30	楚夫叔叔的花生酱难题：阅读此书时，房间会越来越浓地弥漫花生酱的气味。读完时，书将化为一罐无尽的花生酱。正常情况下无法摆脱此书，唯有将罐子投入火中焚烧方能销毁。若尝试舀一勺此花生酱食用，将承受1d4点精神伤害。 Uncle Chuv's Peanut Butter Problem: Upon reading this the room will smell more and more like peanut butter. When the book is finished it will mold into a jar of endless peanut butter. It is impossible to get rid of this book normally. The only way to get rid of this book is to burn the jar in fire. If you attempt to eat a spoonful of this peanut butter you take 1d4 points of psychic damage.
31	《变幻的秘密》：这本闪闪发光的书散发着熏香的气味。书中内容涉及你的一个秘密（询问玩家）。阅读此书会让房间里的每个人知晓你的一个秘密。 Changing Secrets: This sparkling book smells like incense. Inside the book talks about one of your secrets (ask player). This book when read causes every person in the room to know one secret of yours.
32	行为模式：影响情绪的拼布作品选集——一本小型精装图案书，其中的图案会轻微影响人的情绪。 Patterns of Behavior: an anthology of mood effecting quilt work - a small hardcover picture book of patterns that slightly effect one's mood.
33	《法庭上的永恒智慧箴言：从乡村到都市的说服之语》：这是一部哲学与法律摘要的完整汇编，为初出茅庐的律师提供心智技能，助其机智过人，智胜对手。 Timeless Words of Wisdom for the Courtroom, Phrases That Persuade From the Backwoods to the Big City: This is a full compendium of philosophical and legal summaries that can arm a budding lawyer with a mental skill set to be cunning and out think their opponent.
