1d36	荒野风味-山脉
1	远处落石的隆隆声让你不寒而栗 The distant rumble of a Rockfall sets your teeth on edge
2	一条险峻的小径突然终止于一处陡峭的悬崖，树木从崖壁上生长而出。 A precarious Path abruptly ends with a sheer drop, Trees growing out of the Cliff
3	脚下的石头松软易碎，使得攀登变得更加艰难 Stone underfoot is mealy and crumbling, making an ascent much more arduous
4	巨大的红色氧化斑块可能是古老铁矿的迹象 Huge Red Flecks of Oxidation might be a sign of ancient Iron deposits
5	一座突出的海角经过长时间侵蚀，形似鹰钩鼻 A prominent Promontory has been eroded over time to resemble an Aquiline Nose
6	芬芳的紫色花朵如瀑布般从陡峭的山坡上倾泻而下，形成一片绚丽的色彩 Sweet-smelling Purple Flowers cascade down a steep slope in a vibrant splash
7	清澈的融雪在下方集水区形成一个小湖 Crystal Clear snowmelt forms a small Lake in a catchment below
8	坚韧的核桃树林中栖息着众多树栖哺乳动物，地面散落着果壳。 Hardy Walnut Trees teem with arboreal mammals, ground littered with Shells
9	这里的白杨树紧密生长，形成一个巨大的克隆群落，外观极为整齐划一。 Growing close together in a massive clonal Colony, the Aspens here are very uniform
10	地质上奇特且不合常理：一块由冰川搬运而来的谷仓大小的巨石 Odd and Out Of Place geologically: A Barn-Sized Boulder dropped by a Glacier
11	狭窄的山谷，地面上铺满了青色的地衣 Narrow Valley, positively carpeted with cyan colored Lichen
12	一堵大部分已坍塌的低矮石墙旁，顽强地生长着一簇簇坚韧的草丛。 Tussocks of tough Grass sprout from along a low Stone Wall that has mostly collapsed
13	柔和的低沉轰鸣声是附近瀑布的第一个迹象 A soft, dull roaring sound is the first sign of a nearby Waterfall
14	高海拔牧群数个世纪的踩踏，在这条山脊上开辟出一条蜿蜒小径。 Centuries of use by High Altitude Grazers has cut a winding Trail along this Ridge
15	此处基岩形成了高耸而狭窄的尖峰；其中一座峰顶孤零零地长着一棵松树 Here the Bedrock forms tall, narrow Spires; a single Pine sprouts from the top of one
16	侵蚀使得前方的山峰呈现出与一只沉睡的猫相似的轮廓 Erosion has provided the Peak ahead a passing resemblance to a sleeping Cat
17	闪耀的石膏矿床点缀着饱经风霜的悬崖峭壁 Sparkling Gypsum deposits grace a weather scarred escarpment
18	一棵古老得不可思议的云杉，自诞生起便横向生长，至今依然存活。 An impossibly old Spruce started its life growing sideways and still lives to this day
19	看似随时可能倒塌的高大石棚，在悬崖上向前倾斜 Looking like it could topple any moment, a Tall Dolmen leans forward on a Bluff
20	破败的矿工小屋，被熊洗劫一空，显然已风光不再 Dilapidated Miner's Cabin, ransacked by Bears has definitely seen better days
21	蓝色的冰牙从这里的鹅卵石中刺出，有的和你一样高 Teeth of blue Ice protrude from the Pebbles here, some as tall as you
22	某位巨人细心地在山脊上凿出了巨人之阶，每一级都如长矛般高耸 Someone enormous considerately carved Giant Steps here, each as tall as a Spear
23	翠绿的山麓骤然转变为一面陡峭的圆顶山壁 Verdant Foothills suddenly give way to a sheer-faced Dome
24	一片桦树林，苍白剥落的树干与附近其他树林形成鲜明对比 A Brikenshaw of Birches with pale, peeling Trunks contrasts with other nearby groves
25	不祥的岩石艺术，描绘了悬垂下方墙壁上的龙与蛇 Foreboding Rock Art, depicting Dragons snakes along the wall beneath an Overhang
26	平坦的山顶和散落的黑曜石碎片暗示着附近有一座死火山 Flat peak and chunks of black Obsidian are clues to a nearby Extinct Volcano
27	一道厚重的黑色岩层在此处划破了岩面，或许揭示了远古的灾难。 A thick Black Stratum scars the Rock Face here, perhaps revealing ancient cataclysm
28	蜘蛛网般的裂缝遍布一片冰冻的高山湖泊 Spidery Cracks have formed across a Frozen Alpine Lake
29	积雪紧贴着那些似乎永远见不到阳光的阴暗角落。 Drifts of Snow cling to the shady places that never seem to see the Sun
30	陡峭岩石上嵌入的旧岩钉滴下锈迹斑斑的污渍 Rusty stains drip down from old Pitons embedded in the Steep Rock
31	远古工匠将这座山峰雕刻成了一位沉静、蓄须的国王面容。 Antediluvian Artisans chiseled this Peak into the face of a stoic, bearded King
32	目前干涸的河床，每年雪融时都会激流汹涌 Bone-dry currently, this Riverbed rages with rapids on the annual snowmelt
33	几乎呈锯齿状的山峰，从此处望去与一颗微弱的星星几乎完美对齐 Almost serrated, the Peak visible from here aligns almost perfectly with a faint Star
34	一声遥远的呼喊在群峰间回荡，随后是一声震耳欲聋的咆哮。 A distant cry for Shout echoes throughout the Peaks, followed by a ear-splitting Roar
35	锅状火山口边缘沸腾着有毒的黄色水液 Cauldron-like caldera brims with noxious, sizzling yellow water
36	前方险峻的渡口处，喧嚣的瀑布激荡翻腾，泡沫四溅 Cacophonous cataracts churn and foam at the treacherous ford ahead
