1d36	荒野风味-沙漠
1	仅剩飘动的布料和几根帐篷杆，这里刚经历了一场突如其来的山洪。 Only fluttering Fabric and a few Tent Poles remain here after a recent Flash Flood
2	口干舌燥的干河床，其陡峭的沙岸在沙地中刻出一道深深的沟壑。 Cottonmouthed Wadi with steep, sandy banks gouges its way through the sand
3	几乎像章鱼一样，一株巨大的多刺肉质植物的藤蔓缠绕在布满灰尘的岩石上 Almost like an Octopus, arms of a huge Spiny Succulent coil around dusty rocks
4	几条动物足迹在泛黄的簇草丛中交错穿行 Several animal tracks crisscross between yellowing, tufted Grass
5	这些多节的橄榄树必定是依靠渴求的根须找到了水源。 Thirsty taproots must have found some water for these knobby Olive Trees
6	体型微小但脾气暴躁的猫头鹰居住在巨大仙人掌的高处洞穴中 Diminutive but very Grumpy Owls live in tall Holes within an immense Cactus
7	低矮的黑色火山岩台地从风蚀的沙丘中突兀地伸出 Squat Black Volcanic Mesa protrude from the windswept Dunes here
8	一只献给雨神的空供篮悬挂在一棵矮壮树干的枝头 An empty Offering Basket to the Rain Gods hangs from the limb of a stubby Trunk
9	三棵扭曲且被风侵蚀的树木似乎是目力所及范围内唯一的景物 Three twisted and wind-blasted Trees seem to be the only thing around far as eyes see
10	肥硕的紫色果实与洋红色花朵装点着此地的仙人掌 Fat Violet Fruits and Magenta Flowers crown the Cacti here
11	老套情节的转折：烈日下，长角蛇发女妖的头骨逐渐生锈 Twist on an old Trope: Horned Gorgon Skull Rusts in the Glaring Sun
12	只有一座塔楼平滑的城垛在沙丘间隐约可见 Only the smoothed Crenelations of a Tower are barely visible in the Dunes here
13	"白色粉笔般的“蘑菇”状岩石，由充满沙粒的风精心雕琢而成 White Chalk ""Mushroom"" formations of rock, lovingly carved by sand-filled winds"
14	滑稽的西瓜形状、带刺的仙人掌，只在雨后绽放出明亮的黄色花朵 Comically melon shaped, spiny Cacti only flower bright yellow after rains
15	巨大的龟壳，曾被改造为一种庇护所 The enormous Shell of a Tortoise, previously repurposed as a form of Shelter
16	一座由珍贵木材制成的粗糙拱门矗立于此，通向虚无的门户 A crude archway of Precious Wood stands here, a portal to nowhere
17	石质斜坡似乎在脚下聚集起大片的沙丘。 Stony Slopes seem to gather the sands around their feet in large drifts
18	孤独的骆驼足迹线延伸至远方沙丘，却不见其主人的踪迹 Lonely line of Camel Tracks ascends a distant Dune with no trace of the maker
19	蛇形风痕，由持续的风在沙地上形成催眠般的图案 Snake-like shapes, formed by steady wind produce hypnotic patterns on the sand
20	一尊古代女王的雕像，面容早已被风沙侵蚀，倒卧于此 Statue of an Ancient Queen, her features long since worn away is toppled here
21	通往遥远过去的窗口，一块布满海贝壳化石的巨大石灰岩 Window to distant past, massive hunk of Limestone full of fossil Sea Shells
22	四面八方皆是令人发狂的平坦，但此处的土地却是独特的细黑沙。 Maddening flat in all directions, but the ground here is distinctive fine black sand
23	秃鹫试探性地啄食着一具不幸驴尸的坚韧皮肉 Vultures tentatively pick at the leathery skin of an Unlucky Donkey corpse
24	成千上万的滚草被悬崖围住，堆积如山，高达巨人的肩膀 Thousands of Tumbleweeds, corralled by a Cliff, piled up to a Giant's shoulders
25	透过闪烁的薄雾，几乎可以辨认出一片山脉的轮廓 Through the shimmering Haze, one can almost make out a Mountain Range
26	一块人高的巨石堆上，破烂的蓝色丝绸在风中飘扬。 Tattered Blue Silk whips in the wind, atop a cairn of boulders, man-sized
27	石蛋静卧于石巢之中，远古的爬行动物母亲早已灭绝 Stone Eggs rest in a Stone Nest, ancient Reptile Mother long since extinct
28	这里的沙地似乎饥渴难耐，已经吞噬了一辆古老木车的大部分 The Sands here seem hungry, having swallowed most of an old wooden Cart
29	巍峨的砂岩拱门构成了这里近乎异域风情的建筑景观 Formidable Arches of Sandstone make for almost alien architecture here
30	七十七级石阶依旧矗立于此，向上延伸，却只通向无尽的天空。 Seventy-seven Stone Steps still stand here, leading upward, to nothing but Sky
31	在烈日持续炙烤下，这片土地干裂遍布，边缘卷曲。 Fired in the steady Sun, the baked ground here is full of cracks and curled edges
32	从一处高地上，你可以辨认出下方有一个由人、山羊和鸟组成的地画 From an Overlook, you can make out a Man, Goat, and Bird Geoglyph below
33	有人或某物将白色石块排列成圆圈放置于此 Someone or something has taken white Rocks and arranged them in Circles here
34	稀疏的克里索特灌木似乎是这里唯一能维持生命的植物 Scraggly Creosote Bushes seem to be the only thing capable of sustaining life here
35	棕榈树随风摇曳，饥渴的鸟儿和贪婪的骆驼在此绿洲中畅饮 Palms sway as thristy Birds and Greedy Camels drink deeply from an Oasis here
36	前方的湖泊本应是令人欣喜的景象，若不是它咸得令人难以置信。 The Lake ahead would be a welcome sight, were it not so incredibly salty
