1d37	荒野风味-洞穴
1	霉味浓重，氨气刺鼻且空间狭小 Musty, ammonia-heavy Smell and small
2	脚下如雪般堆积的蝙蝠粪便 Snow-like drifts of Bat Guano underfoot
3	此处石笋如冰凌般低垂至眼际，脆弱至极，连呼吸都可能将其折断 Icicles of stone droop down at eye level here, so fragile even breath could break them
4	轻微的嘶嘶声，无害的真菌周期性地喷出小孢子云。 Slight hissing sound as harmless Fungus wheezes out small spore-puffs periodically
5	一阵暖风携带着硫磺的气味，从一条手臂宽的裂缝中飘出 A warm breeze, a Sulphur smell wafts from a yawning crack, wide as an arm
6	水珠沿着洞壁坚定地流淌，形成苦涩的水洼 Water trickles down the walls in determined rivulets, forming bitter puddles
7	滑溜的地面，覆盖着刺鼻的积水，深度足以淹没一枚硬币，让这里的一切都显得异常潮湿。 Slick floors, coated in acrid water a coin high make everything feel very clammy here
8	任何光线都会从墙壁和地面的闪烁内含物上反射，宛如星光点点 Any light bounces off sparkling inclusions in the walls and floor, almost like starlight
9	令人烦躁的无规律滴水声从上方回荡，让干燥的喉咙倍感紧张 Aggravatingly arrhythmic dripping echoes from above, making dry necks nervous
10	覆盖着矿化结块的古老骨架大部分完好，横陈在地 Covered in mineralized lumpy accretions, a mostly intact ancient Skeleton sprawls
11	天花板上的珍珠质矿物漩涡美丽得几乎令人分心 Nacreous mineral swirls on the ceiling are almost distractingly beautiful
12	某只巨大史前野兽的黑色石质股骨从洞壁中突兀地伸出 The black stone Femur of some gargantuan, prehistoric Beast juts out from the wall
13	毫无价值的紫色水晶遍布其中闪烁，宛如晶洞内部 Worthless purple Crystal shimmers throughout, like the inside of a Geode
14	清澈池底矗立着被淹没的石笋，它们的生长已停滞 Submerged Stalagmites, their growth stunted, stand at the bottom of a clear pool
15	高悬于洞壁之上，是一段用古老矮人符文刻写的墓志铭：格鲁斯将是我的终结。 High on the cavern wall is an Epitaph in older Dwarf Runes: Grues Be My End
16	历经千年，矿物质形成了诡异的手状结构，仿佛在黑暗中抓握。 Over millennia, minerals have made eerily hand-like formations grasping at darkness
17	几乎因年代久远而石化，大部分烧焦的火把堆积在此处。 Almost petrified with age, mostly burnt Torches lie in a pile here
18	墙壁上以赭石颜料绘制的古老群兽图案，动感十足，令人叹为观止 Sublimely kinetic depictions of ancient Herd Animals grace the wall in ochre pigment
19	一株苍白尖塔的巨大树干被随意折断至齐腰高，仅剩残骸 Unceremoniously broken waist-high, the huge trunk of a pale Spire is all that remains
20	完全失明、象牙色的鱼儿在浅小的湖泊中漫无目的地游动。 Completely blind, ivory colored Fish swim oblivious within a small, shallow Lake
21	低沉的轰鸣声短暂响起后，一股滚烫的水流从小型间歇泉中喷涌而出 Low rumble briefly before a Spurt of scalding Water shoots up from a small Geyser
22	如同融化的蜡一般，矿物质的堆积形成了一个几乎像王座般的团块 Like melted Wax, the buildup of minerals forms an almost Throne-like Lump
23	即便最轻微的声音也会回荡良久，仿佛在嘲弄每一个动作 Even the slightest sound echoes for what seems like ages, mocking every movement
24	悬挂于洞顶，一座由卷曲钟乳石触须构成的鱿鱼形结构 Suspended from the ceiling, a Squid-Shaped structure of curling Stalactite tentacles
25	精致的白色黏液丝从洞顶垂下，黏稠且大多无害 Dainty white strands of Slime dangle from the roof, sticky and mostly harmless
26	布满尖顶的岩层，此处的地貌宛如苏丹的宫殿 Replete with pointy parapets, the formation here looks almost like a Sultan's Palace
27	经过几个世纪，尖尖的顶端相遇，如今形成了数十根细长的石柱 After centuries, pointy Tips met, and now dozens of thin Columns have formed
28	两根石笋宛如一对年迈的夫妻，温柔地面对面矗立，显得诡异而温馨 Looking eerily like an elderly married couple, two Stalagmites face each other tenderly
29	墙上突出着奇异的圆盘形状，颜色比周围的岩石更深 Strange disc shapes protrude from the wall here, darker color than the surrounding rock
30	一道石化的瀑布凝固在原地，部分遮掩着一个幽暗的小壁龛 A Waterfall of stone, petrified in place, partially conceals a small, dark alcove
31	逐渐矿化的部分宛如一头愤怒公牛侧卧的头部 Gradual mineralization somewhat resembles the head of a furious Bull on its side
32	从天花板上覆盖的藻类散发出柔和的蓝光，不足以用来阅读 Soft blue glow emanates from the algae that cake the ceiling above, not enough to read by
33	逐渐的斜坡通向冒着气泡、毫无生气的死水，以及一座狭窄的天然桥梁 The gradual Decline gives way to Bubbling, Lifeless Waters and a narrow natural bridge
34	此处尖锐的钟乳石让人联想到鳄鱼的嘴巴，想必只是巧合 Sharp Stalactites here bring to mind a Crocodile's mouth, surely just coincidence
35	若这些巨大的、形似翻开书本的岩层上刻有文字，又能揭示出怎样的秘密呢？ What secrets could be gleaned if these huge, open-book-shaped formations had writing?
36	细看之下发现，这里的岩层其实并非侏儒们堆叠而成 Double take reveals that formations here are not, in fact, Gnomes stacked atop each other
37	一片令人叹为观止的矿物花边，宛如最精致的精灵蕾丝，直立在前方展开 A breathtakingly beautiful Mineral Filigree, like finest Elf-lace, fans out, upright, ahead
